"year","player_id","total_points","total_won"
1996,102770,183,72
1996,102785,219,111
1996,102800,NA,NA
1996,102811,NA,NA
1996,102821,624,283
1996,102834,197,98
1996,102839,5454,2637
1996,102845,10368,5356
1996,102854,8676,4268
1996,102856,2616,1262
1996,102863,208,110
1996,102869,4163,2009
1996,102881,547,248
1996,102882,8881,4611
1996,102887,671,342
1996,102905,396,177
1996,102925,1512,719
1996,102950,927,466
1996,102956,123,41
1996,103007,NA,NA
1996,103009,315,148
1996,103017,1781,877
1996,103018,262,111
1996,103029,NA,NA
1996,103060,1269,654
1996,103084,481,225
1996,103103,539,276
1996,103104,103,41
1996,103114,209,89
1996,103133,154,68
1996,103151,2339,1177
1996,103163,995,507
1996,103166,NA,NA
1996,103171,139,61
1996,103182,439,211
1996,103193,339,148
1996,103240,167,70
1996,103252,622,294
1996,103344,149,65
1996,103420,567,279
1996,103454,NA,NA
1996,200008,NA,NA
1996,200009,NA,NA
1996,200067,NA,NA
1996,200617,NA,NA
1996,200748,NA,NA
1996,200754,NA,NA
1996,201293,NA,NA
1996,201352,NA,NA
1997,101404,9761,4964
1997,101736,3566,1818
1997,101868,1340,657
1997,101889,7294,3701
1997,101962,482,240
1997,101965,8150,4109
1997,102035,13081,6851
1997,102106,2809,1369
1997,102110,4106,1994
1997,102143,351,171
1997,102148,8231,4179
1997,102202,7818,3915
1997,102227,6432,3116
1997,102233,4533,2245
1997,102257,12090,6402
1997,102269,2086,1031
1997,102271,7925,3946
1997,102286,1724,822
1997,102287,6290,3165
1997,102300,367,182
1997,102318,3908,1884
1997,102344,8204,4076
1997,102358,7830,4081
1997,102374,10649,5641
1997,102381,118,52
1997,102401,6735,3362
1997,102405,998,470
1997,102434,7161,3529
1997,102450,10406,5365
1997,102456,11109,5824
1997,102494,230,123
1997,102497,84,28
1997,102538,284,108
1997,102539,7749,3856
1997,102548,3065,1494
1997,102562,5802,2967
1997,102563,8926,4535
1997,102571,122,53
1997,102585,418,196
1997,102610,9278,4863
1997,102615,4251,2117
1997,102667,238,102
1997,102694,815,401
1997,102703,NA,NA
1997,102730,612,294
1997,102770,2051,1092
1997,102780,146,66
1997,102783,890,472
1997,102785,787,398
1997,102800,NA,NA
1997,102821,1485,715
1997,102839,5251,2650
1997,102845,12858,6557
1997,102854,6300,3060
1997,102856,9757,4998
1997,102863,235,115
1997,102869,5831,2829
1997,102881,500,228
1997,102882,10522,5371
1997,102887,1358,656
1997,102905,1034,535
1997,102925,6759,3301
1997,102950,2828,1416
1997,102965,253,112
1997,102987,521,251
1997,102998,1167,564
1997,103007,87,30
1997,103009,678,317
1997,103017,6567,3331
1997,103018,444,209
1997,103029,111,46
1997,103060,1141,541
1997,103066,NA,NA
1997,103084,655,308
1997,103096,3003,1467
1997,103103,7175,3563
1997,103114,1044,508
1997,103133,145,67
1997,103151,977,443
1997,103163,6069,3097
1997,103166,122,51
1997,103176,121,55
1997,103182,390,188
1997,103184,103,48
1997,103185,171,84
1997,103193,275,116
1997,103206,890,401
1997,103252,3121,1532
1997,103264,317,161
1997,103305,389,175
1997,103318,120,49
1997,103344,704,326
1997,103387,164,79
1997,103420,113,46
1997,103454,252,121
1997,103498,239,114
1997,103632,NA,NA
1997,103720,199,83
1997,200008,NA,NA
1997,200009,NA,NA
1997,200033,NA,NA
1997,200067,NA,NA
1997,200104,NA,NA
1997,200108,NA,NA
1997,200748,NA,NA
1998,101404,8143,4177
1998,101736,12406,6668
1998,101868,424,197
1998,101885,1348,689
1998,101889,7508,3718
1998,101962,805,430
1998,101965,9354,4739
1998,102035,9534,4865
1998,102106,8939,4510
1998,102110,4895,2388
1998,102148,9325,4662
1998,102202,7353,3678
1998,102227,7294,3649
1998,102231,4085,1987
1998,102233,3321,1661
1998,102257,11465,5950
1998,102269,461,218
1998,102271,8439,4213
1998,102282,156,70
1998,102286,6846,3367
1998,102287,5567,2648
1998,102300,664,307
1998,102306,1465,712
1998,102318,6294,3182
1998,102344,12160,6308
1998,102358,8105,4247
1998,102374,12575,6543
1998,102401,6774,3366
1998,102405,630,287
1998,102434,8613,4267
1998,102450,13391,6933
1998,102456,10888,5555
1998,102538,1709,796
1998,102539,9775,4876
1998,102548,7321,3578
1998,102562,6684,3364
1998,102563,12182,6241
1998,102567,484,225
1998,102585,277,132
1998,102610,10928,5663
1998,102615,3688,1751
1998,102667,208,99
1998,102694,2623,1284
1998,102703,NA,NA
1998,102720,4,0
1998,102730,2502,1202
1998,102770,5597,2699
1998,102780,115,51
1998,102783,3809,1857
1998,102785,459,217
1998,102800,NA,NA
1998,102811,459,219
1998,102821,162,87
1998,102834,866,425
1998,102839,7159,3498
1998,102845,12483,6409
1998,102851,641,291
1998,102854,8336,4130
1998,102856,9963,5096
1998,102863,558,268
1998,102869,6816,3331
1998,102882,9367,4847
1998,102887,7047,3493
1998,102905,985,481
1998,102925,4807,2437
1998,102950,6235,3127
1998,102956,37,9
1998,102987,907,411
1998,102998,8771,4428
1998,103007,106,43
1998,103009,179,79
1998,103017,9435,4783
1998,103018,374,187
1998,103029,112,47
1998,103060,998,472
1998,103066,299,134
1998,103084,3188,1573
1998,103096,5514,2649
1998,103103,9066,4581
1998,103110,888,442
1998,103114,721,332
1998,103133,334,155
1998,103151,3888,1995
1998,103163,8915,4507
1998,103166,1285,638
1998,103171,739,357
1998,103176,239,102
1998,103182,860,426
1998,103184,1089,533
1998,103188,389,184
1998,103193,496,239
1998,103206,5731,2860
1998,103248,699,358
1998,103252,1028,440
1998,103264,5090,2577
1998,103280,236,116
1998,103285,105,42
1998,103318,NA,NA
1998,103339,114,48
1998,103344,225,110
1998,103387,NA,NA
1998,103420,314,148
1998,103451,98,40
1998,103454,247,110
1998,103484,204,91
1998,103487,106,44
1998,103498,5990,3035
1998,103598,1875,965
1998,103602,NA,NA
1998,103632,96,38
1998,103714,318,150
1998,103720,3441,1736
1998,103735,NA,NA
1998,103758,725,334
1998,103819,623,308
1998,103821,NA,NA
1998,103852,90,33
1998,104117,NA,NA
1998,200008,NA,NA
1998,200009,NA,NA
1998,200033,NA,NA
1998,200056,NA,NA
1998,200060,NA,NA
1998,200067,NA,NA
1998,200069,NA,NA
1998,200104,NA,NA
1998,200108,NA,NA
1998,200120,NA,NA
1998,200748,NA,NA
1998,200754,NA,NA
1998,201281,NA,NA
1998,201305,NA,NA
1998,201328,NA,NA
1998,201383,NA,NA
1998,201453,NA,NA
1999,101404,2320,1108
1999,101736,11151,6105
1999,101885,4437,2268
1999,101889,3879,1853
1999,101962,7966,4066
1999,101965,8788,4434
1999,102035,7669,3880
1999,102106,5351,2576
1999,102110,5722,2862
1999,102148,9390,4722
1999,102179,2740,1359
1999,102202,5826,2941
1999,102227,6908,3448
1999,102231,1676,795
1999,102233,1707,801
1999,102257,10774,5608
1999,102271,8047,3926
1999,102286,3746,1825
1999,102287,4768,2320
1999,102300,571,278
1999,102306,3026,1434
1999,102318,7618,3837
1999,102344,9385,4929
1999,102358,11434,5955
1999,102374,9552,4886
1999,102381,143,64
1999,102401,4380,2126
1999,102405,115,48
1999,102434,9645,4933
1999,102450,11930,6180
1999,102456,8313,4217
1999,102494,275,148
1999,102497,555,269
1999,102512,330,159
1999,102538,891,392
1999,102539,5908,2892
1999,102548,6098,2987
1999,102558,366,171
1999,102562,8692,4411
1999,102563,6718,3362
1999,102567,1860,912
1999,102571,109,45
1999,102585,235,98
1999,102610,9420,4844
1999,102615,804,402
1999,102642,767,362
1999,102667,109,50
1999,102694,2680,1370
1999,102703,550,273
1999,102720,1468,736
1999,102730,472,233
1999,102770,6570,3222
1999,102780,128,60
1999,102783,7032,3479
1999,102800,1009,469
1999,102811,NA,NA
1999,102821,5556,2728
1999,102834,5291,2644
1999,102839,12148,6245
1999,102845,10212,5121
1999,102854,8546,4296
1999,102856,10841,5662
1999,102860,1079,559
1999,102863,1991,958
1999,102869,5038,2488
1999,102880,133,75
1999,102882,8597,4447
1999,102887,4625,2182
1999,102905,7634,3840
1999,102925,6612,3238
1999,102950,8304,4133
1999,102956,NA,NA
1999,102965,515,242
1999,102987,956,443
1999,102998,7888,3985
1999,103007,153,70
1999,103009,135,47
1999,103017,11095,5764
1999,103018,4604,2266
1999,103060,364,154
1999,103066,NA,NA
1999,103084,5921,2939
1999,103096,7753,3862
