"player_id","year","first_return","first_won"
100644,"2023",4134,1207
100644,"2017",3754,1076
100644,"2020",2361,773
100644,"2022",1925,654
100644,"2019",3551,1131
100644,"2018",3826,1247
100644,"2014",395,121
100644,"2024",4878,1453
100644,"2021",3697,1157
100644,"2016",3447,1022
100644,"2013",42,17
100644,"2015",1532,374
101404,"1984",NA,NA
101404,"1994",3551,1135
101404,"1985",NA,NA
101404,"2010",27,1
101404,"1991",2175,809
101404,"1987",NA,NA
101404,"2011",62,15
101404,"1996",4115,1290
101404,"1986",NA,NA
101404,"1999",622,167
101404,"1997",2747,739
101404,"1990",NA,NA
101404,"1992",2566,844
101404,"1995",4565,1537
101404,"1989",NA,NA
101404,"1988",NA,NA
101404,"1998",2470,794
101404,"1993",4397,1419
101736,"1990",NA,NA
101736,"2004",2329,666
101736,"1998",3735,1178
101736,"1994",3071,960
101736,"1988",NA,NA
101736,"2002",3010,991
101736,"1999",3437,1097
101736,"1989",NA,NA
101736,"1995",3822,1228
101736,"1986",NA,NA
101736,"2003",2767,929
101736,"1991",2535,810
101736,"1993",1808,582
101736,"1992",2418,731
101736,"2006",989,285
101736,"1987",NA,NA
101736,"2000",2188,642
101736,"1997",955,268
101736,"2001",2865,906
101736,"1996",2425,758
101736,"2005",2338,735
101868,"1995",643,148
101868,"1993",74,16
101868,"2007",202,40
101868,"1998",147,38
101868,"2001",39,9
101868,"2003",485,115
101868,"2005",582,139
101868,"2004",335,80
101868,"2009",60,14
101868,"2006",683,178
101868,"1992",37,7
101868,"2002",341,82
101868,"1996",492,100
101868,"1997",411,109
101885,"1998",378,83
101885,"1996",119,34
101885,"1999",1353,294
101885,"2004",1590,367
101885,"2002",2411,552
101885,"2003",1838,412
101885,"2007",402,103
101885,"2000",1395,307
101885,"2005",1797,423
101885,"2006",867,189
101885,"2001",2271,573
101889,"1997",2041,632
101889,"2005",NA,NA
101889,"1988",NA,NA
101889,"1991",1919,574
101889,"1989",NA,NA
101889,"1995",2429,730
101889,"2001",536,145
101889,"1993",1905,631
101889,"1994",1794,523
101889,"2003",NA,NA
101889,"2000",499,142
101889,"1992",2262,692
101889,"1996",2740,820
101889,"1998",2109,623
101889,"2004",NA,NA
101889,"1999",1140,321
101889,"1990",82,27
101962,"2000",3035,839
101962,"2010",87,25
101962,"2007",190,43
101962,"1999",2471,729
101962,"1991",NA,NA
101962,"2002",3380,981
101962,"1994",1951,558
101962,"1990",NA,NA
101962,"1998",248,82
101962,"2004",71,11
101962,"1993",1539,466
101962,"1995",508,163
101962,"2005",438,116
101962,"1997",141,39
101962,"1996",1659,472
101962,"2003",3073,868
101962,"2006",116,32
101962,"1992",162,66
101962,"2008",281,81
101962,"2001",2938,859
101965,"2004",1353,346
101965,"1992",3504,1129
101965,"1999",2597,709
101965,"2000",3103,918
101965,"1993",2900,862
101965,"1997",2463,746
101965,"2003",1964,593
101965,"1990",NA,NA
101965,"1998",2697,773
101965,"1996",3154,980
101965,"2001",1764,470
101965,"2005",NA,NA
101965,"1994",4202,1306
101965,"2002",2287,671
101965,"1995",3815,1202
101965,"1991",2178,735
102035,"2006",1598,455
102035,"2001",2152,638
102035,"2000",2337,627
102035,"2003",2106,608
102035,"2005",1840,578
102035,"2002",1877,571
102035,"2007",1971,627
102035,"1996",2747,843
102035,"2008",877,227
102035,"2004",2138,587
102035,"1993",489,161
102035,"1999",2260,693
102035,"1991",29,9
102035,"1994",2802,891
102035,"1998",2684,836
102035,"1997",3872,1218
102035,"1992",27,7
102035,"1995",3050,993
102093,"2024",148,40
102106,"1995",115,23
102106,"2007",543,165
102106,"1994",103,35
102106,"2004",1434,402
102106,"2000",1753,509
102106,"2003",1597,456
102106,"1998",2588,818
102106,"1999",1472,449
102106,"2006",1693,483
102106,"2001",1795,490
102106,"2002",1924,546
102106,"2005",2424,740
102106,"1997",797,241
102110,"1996",1079,257
102110,"1991",101,21
102110,"2003",77,17
102110,"2001",442,138
102110,"1993",382,89
102110,"1999",1698,427
102110,"1997",1143,260
102110,"1995",489,90
102110,"2005",NA,NA
102110,"1998",1406,317
102110,"1989",NA,NA
102110,"2002",51,16
102110,"2006",33,4
102110,"1992",175,46
102110,"2000",658,140
102110,"1994",344,97
102110,"2004",42,13
102143,"2003",400,102
102143,"2005",133,39
102143,"2002",327,73
102143,"1997",108,22
102143,"2001",371,107
102143,"2006",77,24
102143,"2004",208,42
102143,"2000",180,45
102148,"2010",53,11
102148,"2001",2669,806
102148,"2006",2068,651
102148,"1997",2393,752
102148,"1998",2665,799
102148,"1996",717,217
102148,"2000",2480,743
102148,"2009",1745,529
102148,"1993",2157,721
102148,"2005",1880,590
102148,"1992",1986,711
102148,"1990",111,48
102148,"1999",2675,835
102148,"2007",2028,602
102148,"1994",1865,624
102148,"2003",1732,546
102148,"1991",1854,651
102148,"1995",2066,643
102148,"2008",1348,388
102148,"1989",NA,NA
102148,"2004",1619,495
102148,"2002",2649,864
102179,"2000",824,207
102179,"1996",79,16
102179,"2001",1563,411
102179,"2004",1884,467
102179,"2002",1634,412
102179,"1999",733,163
102179,"2005",871,209
102179,"2007",292,72
102179,"2003",1759,475
102179,"2006",157,40
102202,"2002",1510,395
102202,"1996",1965,551
102202,"2007",41,7
102202,"1999",1734,492
102202,"1992",636,161
102202,"2006",1561,426
102202,"1997",2287,604
102202,"1995",2262,574
102202,"2001",802,229
102202,"1993",2014,551
102202,"1994",1745,454
102202,"2003",1740,484
102202,"1998",2243,598
102202,"2004",1714,438
102202,"2005",2017,512
102227,"2000",1747,517
102227,"1999",1854,531
102227,"1993",122,48
102227,"1998",2130,630
102227,"2002",1535,441
102227,"2001",1563,462
102227,"1995",228,58
102227,"1996",293,87
102227,"2005",474,122
102227,"2003",2326,740
102227,"2006",58,6
102227,"2004",2135,665
102227,"1997",1833,499
102231,"2000",1168,338
102231,"1998",1154,286
102231,"2006",283,77
102231,"2005",943,252
102231,"2003",125,28
102231,"2002",572,165
102231,"1995",20,3
102231,"2004",577,187
102231,"1999",500,135
102231,"2001",2146,558
102231,"1994",36,9
102233,"1999",466,118
102233,"2008",NA,NA
102233,"1995",506,142
102233,"1993",202,63
102233,"2001",169,40
102233,"1996",914,264
102233,"1991",144,45
102233,"1997",1411,376
102233,"2004",NA,NA
102233,"2000",341,73
102233,"2003",NA,NA
102233,"1990",NA,NA
102233,"1994",234,59
102233,"2007",NA,NA
102233,"1992",NA,NA
102233,"2005",33,9
102233,"1998",946,239
102233,"2002",45,12
102233,"2006",NA,NA
102257,"1996",3045,840
102257,"1995",2829,700
102257,"2006",842,209
102257,"1994",2677,705
102257,"2003",973,249
102257,"1999",3256,924
102257,"1992",188,67
102257,"2005",2349,605
102257,"2002",2494,687
102257,"1997",3593,863
102257,"2001",2975,855
102257,"1998",3369,887
102257,"1993",1506,392
102257,"2000",1725,456
102257,"2004",2117,511
102269,"2002",58,9
102269,"2005",221,65
102269,"2006",152,41
102269,"1997",598,146
102269,"2001",106,19
102269,"1996",124,25
102269,"2003",323,95
102269,"1995",63,17
102269,"2000",169,46
102269,"1998",150,41
102269,"2004",699,186
102271,"1999",2355,670
102271,"2005",65,13
102271,"1995",296,61
102271,"2003",1793,508
102271,"2004",1687,462
102271,"2000",2737,819
102271,"1997",2394,771
102271,"1996",1520,421
102271,"1998",2499,729
102271,"2002",1351,382
102271,"1993",NA,NA
102271,"2001",2378,685
102271,"1994",45,16
102282,"1994",30,6
102282,"2006",33,5
102282,"1998",54,14
102286,"1999",1085,319
102286,"2001",642,164
102286,"1992",NA,NA
102286,"1994",183,50
102286,"2003",190,53
102286,"2000",645,161
102286,"1993",27,5
102286,"1997",493,132
102286,"2004",NA,NA
102286,"1995",367,113
102286,"2002",59,19
102286,"1996",212,49
102286,"2005",NA,NA
102286,"1998",1936,542
102287,"2000",1905,539
102287,"1995",268,90
102287,"2001",2711,852
102287,"2003",1240,370
102287,"1993",17,1
102287,"1996",146,32
102287,"2002",1414,387
102287,"2007",102,34
102287,"2006",882,253
102287,"1998",1566,438
102287,"2005",328,96
102287,"2004",830,217
102287,"1999",1398,396
102287,"1997",1900,579
102300,"1998",162,46
102300,"1995",89,24
102300,"2004",59,23
102300,"1999",162,48
102300,"2002",126,39
102300,"1997",92,24
102300,"2005",36,6
102300,"2003",117,27
102300,"2000",144,37
102300,"2006",167,32
102300,"1996",31,5
102300,"2001",103,22
102300,"1994",58,14
102300,"1993",90,18
102306,"1999",850,227
102306,"2000",175,44
102306,"2007",46,8
102306,"2001",100,28
102306,"2002",938,253
102306,"1998",398,99
102306,"2005",234,65
102306,"2004",349,82
102306,"2003",28,5
102318,"2003",784,181
102318,"2002",2961,963
102318,"1998",1913,578
102318,"1996",222,72
102318,"2007",1193,328
102318,"1995",149,43
102318,"2000",2548,748
102318,"2006",1558,461
102318,"1994",116,31
102318,"2004",2684,751
