"player_id","year","double_fault","service_points"
102456,"1994",0,94
102456,"1997",NA,NA
102456,"1999",68,1768
102456,"2003",NA,NA
102456,"1998",NA,NA
102456,"2000",57,2100
102456,"2001",148,3733
102456,"2005",89,2273
102456,"2002",125,3410
102494,"2006",65,1161
102494,"2003",46,829
102494,"2002",30,415
102494,"2000",74,1397
102494,"1999",6,145
102494,"2001",70,947
102494,"2004",40,940
102494,"1997",4,119
102494,"2005",70,1626
102497,"1999",7,274
102497,"2001",2,87
102497,"1995",3,38
102497,"2005",0,79
102497,"1996",2,132
102497,"2002",4,156
102497,"1997",3,49
102497,"2000",6,36
102512,"2008",29,704
102512,"2003",13,188
102512,"1999",8,163
102512,"2009",2,170
102512,"2000",6,89
102512,"2007",12,337
102512,"2006",5,61
102539,"2003",10,236
102539,"1998",NA,NA
102539,"2002",NA,NA
102539,"1996",103,2654
102539,"2005",29,665
102539,"1997",NA,NA
102539,"1995",92,1660
102539,"1993",6,62
102539,"2007",26,403
102539,"1999",50,1268
102539,"2001",NA,NA
102539,"2004",119,2031
102539,"2000",67,1222
102539,"2006",2,68
102539,"1994",0,47
102548,"1999",NA,NA
102548,"2005",11,480
102548,"2006",18,1146
102548,"2000",NA,NA
102548,"2004",1,125
102548,"1996",2,50
102548,"2003",6,170
102548,"1997",51,1502
102548,"1998",144,3745
102548,"2002",14,685
102548,"2001",NA,NA
102548,"2007",3,46
102558,"2005",5,123
102558,"2004",9,138
102558,"2008",NA,NA
102558,"2007",NA,NA
102558,"1999",6,179
102558,"2000",3,211
102558,"2003",38,895
102558,"2002",3,124
102558,"2001",9,172
102565,"2005",96,1548
102565,"2003",78,1583
102565,"2004",17,374
102565,"2006",NA,NA
102565,"2007",47,752
102565,"2002",48,974
102567,"1996",2,80
102567,"1998",NA,NA
102567,"2002",56,957
102567,"2007",15,396
102567,"2008",13,394
102567,"2000",NA,NA
102567,"1999",26,556
102567,"2006",17,380
102567,"2004",2,85
102567,"2001",14,720
102567,"2003",NA,NA
102567,"2009",9,126
102567,"2005",23,654
102571,"1997",5,66
102571,"2004",79,1193
102571,"2006",9,104
102571,"2003",193,2280
102571,"1996",25,339
102571,"1999",5,64
102571,"2002",67,656
102571,"2005",79,1237
102585,"2002",2,119
102585,"2000",16,278
102585,"1998",6,141
102585,"1999",5,126
102585,"2003",3,89
102585,"1997",7,218
102585,"1996",5,165
102585,"2007",NA,NA
102610,"1999",56,1931
102610,"2005",63,2272
102610,"2002",97,4763
102610,"2004",65,1942
102610,"1998",66,3232
102610,"2001",39,1771
102610,"1993",10,366
102610,"1997",NA,NA
102610,"1995",110,4185
102610,"2000",NA,NA
102610,"2003",NA,NA
102610,"1994",24,1051
102610,"2006",10,315
102610,"1996",NA,NA
102615,"2003",36,898
102615,"1996",10,305
102615,"1999",40,409
102615,"1993",4,56
102615,"2002",3,44
102615,"1992",10,107
102615,"1998",47,994
102615,"2007",2,144
102615,"2000",9,182
102615,"1997",34,904
102615,"2001",20,353
102615,"2005",19,245
102615,"2004",100,1581
102642,"2002",52,831
102642,"2000",65,1470
102642,"2003",99,2381
102642,"2005",101,3094
102642,"2007",4,98
102642,"2004",160,4173
102642,"2006",41,1067
102642,"1999",14,402
102642,"2001",5,233
102667,"1998",5,107
102667,"2004",2,111
102667,"2007",2,59
102667,"2000",3,65
102667,"2001",2,63
102667,"2008",5,63
102667,"2003",5,111
102667,"1995",4,43
102667,"2006",7,291
102667,"1993",1,54
102667,"1999",NA,NA
102667,"1997",6,121
102694,"2005",115,1961
102694,"2007",8,87
102694,"2002",116,2671
102694,"1997",11,433
102694,"2004",93,2054
102694,"2006",44,964
102694,"1999",60,1354
102694,"1994",6,162
102694,"2000",17,443
102694,"1996",34,950
102694,"1995",27,574
102694,"2001",133,2694
102694,"1998",67,1339
102694,"2003",NA,NA
102720,"2000",9,365
102720,"1998",0,4
102720,"2005",38,1309
102720,"2001",19,946
102720,"2007",12,554
102720,"1999",20,736
102720,"2003",12,436
102720,"2004",23,864
102720,"2006",46,1437
102720,"2008",5,206
102730,"2005",1,155
102730,"2004",20,431
102730,"1999",3,21
102730,"2000",17,383
102730,"2001",44,1141
102730,"1998",20,396
102730,"1997",NA,NA
102730,"2002",64,1602
102730,"2003",31,823
102770,"2000",1,70
102770,"1997",29,1020
102770,"2003",93,1630
102770,"1999",144,3311
102770,"1998",54,1392
102770,"2002",27,732
102770,"2006",2,76
102770,"2001",17,347
102770,"1996",2,91
102770,"2004",4,176
102780,"2009",3,67
102780,"2005",NA,NA
102780,"1998",7,62
102780,"1997",11,78
102780,"2000",16,99
102780,"2002",6,58
102780,"2004",8,110
102780,"2003",10,132
102780,"2001",NA,NA
102780,"2007",NA,NA
102780,"1999",NA,NA
102780,"2008",NA,NA
102783,"2007",53,1766
102783,"2009",NA,NA
102783,"2003",NA,NA
102783,"2006",NA,NA
102783,"1999",61,1539
102783,"2000",NA,NA
102783,"1997",16,418
102783,"2004",NA,NA
102783,"2008",122,3534
102783,"2001",239,5153
102783,"2002",NA,NA
102783,"2011",54,1523
102783,"1998",84,1898
102783,"2010",57,1514
102783,"2005",102,1912
102783,"1995",5,74
102785,"1998",22,212
102785,"2001",27,470
102785,"2000",3,64
102785,"1997",25,384
102785,"2004",67,1103
102785,"2003",4,62
102785,"2006",1,48
102785,"1996",10,115
102785,"2005",27,355
102785,"2002",5,67
102788,"2008",7,147
102788,"2007",3,118
102788,"2001",53,1311
102788,"2002",26,791
102788,"2004",51,1192
102788,"2006",7,201
102788,"2005",5,133
102788,"2003",50,1307
102821,"2011",NA,NA
102821,"2003",44,1190
102821,"1998",2,78
102821,"2000",49,1322
102821,"2007",NA,NA
102821,"1997",18,736
102821,"2004",7,279
102821,"2008",NA,NA
102821,"2010",NA,NA
102821,"1996",17,325
102821,"2009",NA,NA
102821,"1999",64,1561
102821,"2005",6,181
102821,"2002",77,1938
102821,"2001",78,2479
102834,"2001",28,1015
102834,"1993",1,89
102834,"2004",30,848
102834,"2005",84,1967
102834,"1994",NA,NA
102834,"2003",22,647
102834,"1998",12,405
102834,"2007",70,1649
102834,"1996",2,96
102834,"1999",77,2682
102834,"2002",17,352
102834,"2000",95,3275
102834,"1995",2,83
102834,"2006",89,2578
102845,"2009",27,477
102845,"2010",5,168
102845,"2008",122,3841
102845,"2004",NA,NA
102845,"2001",NA,NA
102845,"2000",74,2432
102845,"2005",NA,NA
102845,"1995",10,482
102845,"1997",NA,NA
102845,"2007",79,2125
102845,"2002",54,1808
102845,"1998",NA,NA
102845,"2006",72,2559
102845,"1999",NA,NA
102845,"1996",60,2256
102845,"2003",NA,NA
102851,"2003",40,645
102851,"2002",2,69
102851,"2001",5,88
102851,"2006",10,128
102851,"1994",7,127
102851,"2000",5,77
102851,"1998",22,332
102851,"2004",NA,NA
102851,"2005",10,305
102860,"2000",NA,NA
102860,"2009",61,975
102860,"2008",NA,NA
102860,"2007",200,4103
102860,"2005",73,1610
102860,"2001",47,1451
102860,"2004",NA,NA
102860,"2006",NA,NA
102860,"1999",11,547
102860,"2003",NA,NA
102860,"2002",64,1615
102863,"2009",2,46
102863,"2007",NA,NA
102863,"2008",5,94
102863,"1996",3,69
102863,"2006",10,365
102863,"2002",NA,NA
102863,"2000",8,182
102863,"2001",NA,NA
102863,"2003",NA,NA
102863,"1998",NA,NA
102863,"1995",3,113
102863,"2005",NA,NA
102863,"2004",NA,NA
102863,"1999",35,940
102863,"1997",2,71
102864,"2003",6,114
102864,"2006",2,54
102869,"2001",128,3324
102869,"2004",70,1642
102869,"1995",10,472
102869,"2002",66,1818
102869,"2000",98,2374
102869,"2006",9,223
102869,"2003",58,1391
102869,"1999",111,2601
102869,"1994",6,105
102869,"2005",3,182
102869,"1997",128,3034
102869,"1996",52,1356
102869,"1998",114,3406
102880,"1999",3,68
102880,"2005",87,1434
102880,"2000",118,1705
102880,"2003",90,1645
102880,"2001",53,942
102880,"2004",106,1935
102880,"2002",74,1286
102881,"1997",11,265
102881,"1994",6,118
102881,"2007",1,9
102881,"2008",1,79
102881,"1995",6,164
102881,"1993",3,165
102881,"2006",3,49
102881,"1996",5,274
102885,"2006",6,53
102886,"2006",10,140
102886,"2005",20,359
102886,"2001",3,35
102886,"2003",24,838
102886,"2012",NA,NA
102886,"2004",10,224
102886,"2010",12,104
102887,"1995",NA,NA
102887,"1999",33,822
102887,"1994",NA,NA
102887,"2007",NA,NA
102887,"2000",4,287
102887,"2005",8,234
102887,"1997",NA,NA
102887,"2002",NA,NA
102887,"2006",32,649
102887,"1998",77,1772
102887,"2001",20,519
102887,"2009",1,65
102887,"2003",26,528
102887,"2008",NA,NA
102887,"2004",NA,NA
102887,"2010",2,177
102887,"1996",NA,NA
102904,"2000",8,224
102904,"2006",11,252
102904,"2001",10,195
102925,"2003",103,2024
102925,"1996",38,702
102925,"1999",163,3352
102925,"1998",39,1036
102925,"2001",84,1202
102925,"2000",130,2549
102925,"2005",84,1524
102925,"1995",10,289
102925,"2006",97,2679
102925,"2002",70,855
102925,"1997",224,3407
102925,"2004",33,392
102925,"2007",63,925
102945,"2007",10,119
102945,"2005",5,76
102950,"2007",6,383
102950,"2005",18,818
102950,"2006",36,1690
102950,"1997",42,927
102950,"2003",117,3617
102950,"1996",11,449
102950,"2001",178,4052
102950,"2000",NA,NA
102950,"1998",56,1578
102950,"2009",2,37
102950,"1999",82,1893
102950,"2008",1,68
102950,"2002",111,4213
102950,"2004",16,715
102956,"2001",2,49
102956,"2000",7,78
102956,"2004",2,57
102956,"1998",0,0
102956,"1996",4,43
102956,"1999",NA,NA
102956,"2007",8,84
102956,"1995",NA,NA
102956,"2006",3,54
102956,"2002",3,53
102965,"2006",4,129
102965,"2003",13,225
102965,"1999",10,271
102965,"2001",40,808
102965,"2000",14,309
102965,"2004",20,252
102965,"2005",8,275
102965,"1997",NA,NA
102965,"2002",NA,NA
102967,"2006",46,2380
102967,"2010",46,1284
102967,"2013",19,400
102967,"2012",2,83
102967,"2004",5,254
102967,"2011",13,275
102967,"2014",3,215
102967,"2009",130,3565
102967,"2005",9,304
102967,"2008",98,3522
102967,"2002",3,146
102967,"2007",89,3482
102985,"2004",2,88
102985,"2006",7,266
102987,"2000",26,860
102987,"2001",78,1998
102987,"2007",5,119
102987,"1999",33,489
102987,"2004",0,80
102987,"1997",5,69
102987,"2003",15,367
102987,"2005",2,83
102987,"2002",NA,NA
102987,"1998",28,474
102987,"2006",5,81
102998,"2003",NA,NA
102998,"2002",85,2289
102998,"2005",59,1175
102998,"2006",14,132
102998,"1999",159,4005
102998,"1997",28,581
102998,"2000",115,2486
102998,"2007",11,124
102998,"2001",NA,NA
102998,"1998",NA,NA
102998,"2004",134,3399
102998,"1995",5,69
102999,"2006",69,1272
102999,"2008",7,221
102999,"2010",6,93
102999,"2001",15,197
102999,"2007",51,851
102999,"2003",9,272
102999,"2002",NA,NA
102999,"2011",6,115
103009,"1993",NA,NA
103009,"1995",1,66
103009,"2004",NA,NA
103009,"2005",69,1154
103009,"2006",11,205
103009,"2003",NA,NA
103009,"1997",33,359
103009,"2002",2,68
103009,"1999",2,71
103009,"2000",1,69
103009,"1998",6,93
103009,"1994",NA,NA
103009,"1996",8,158
103032,"2005",6,240
103035,"2005",22,675
103035,"2007",13,390
103035,"2010",5,167
103035,"2003",2,58
103035,"2004",8,275
103035,"2006",41,1670
103063,"2005",17,410
103063,"2001",2,71
103063,"2002",7,336
103063,"2009",45,958
