"player_id","year","bp","bp_converted"
102456,"2002",326,133
102494,"2006",93,38
102494,"2003",78,30
102494,"2002",47,18
102494,"2000",150,56
102494,"1999",9,7
102494,"2001",110,43
102494,"2004",66,33
102494,"1997",9,7
102494,"2005",125,48
102497,"1999",19,7
102497,"2001",7,4
102497,"1995",1,1
102497,"2005",2,0
102497,"1996",0,0
102497,"2002",18,8
102497,"1997",0,0
102497,"2000",0,0
102512,"2008",59,16
102512,"2003",17,6
102512,"1999",10,4
102512,"2009",10,3
102512,"2000",6,2
102512,"2007",22,8
102512,"2006",7,2
102539,"2003",29,16
102539,"1998",NA,NA
102539,"2002",NA,NA
102539,"1996",351,162
102539,"2005",42,10
102539,"1997",NA,NA
102539,"1995",165,62
102539,"1993",3,1
102539,"2007",40,13
102539,"1999",168,63
102539,"2001",NA,NA
102539,"2004",163,64
102539,"2000",99,28
102539,"2006",14,4
102539,"1994",2,1
102548,"1999",NA,NA
102548,"2005",59,20
102548,"2006",98,44
102548,"2000",NA,NA
102548,"2004",4,2
102548,"1996",6,1
102548,"2003",19,8
102548,"1997",163,68
102548,"1998",320,146
102548,"2002",61,28
102548,"2001",NA,NA
102548,"2007",4,1
102558,"2005",14,2
102558,"2004",11,1
102558,"2008",NA,NA
102558,"2007",NA,NA
102558,"1999",13,2
102558,"2000",13,1
102558,"2003",53,19
102558,"2002",10,2
102558,"2001",10,1
102565,"2005",78,26
102565,"2003",86,27
102565,"2004",22,7
102565,"2006",NA,NA
102565,"2007",28,11
102565,"2002",41,21
102567,"1996",3,1
102567,"1998",NA,NA
102567,"2002",81,22
102567,"2007",40,9
102567,"2008",23,8
102567,"2000",NA,NA
102567,"1999",31,12
102567,"2006",35,16
102567,"2004",2,1
102567,"2001",79,38
102567,"2003",NA,NA
102567,"2009",16,6
102567,"2005",43,16
102571,"1997",4,1
102571,"2004",104,42
102571,"2006",7,1
102571,"2003",156,66
102571,"1996",40,19
102571,"1999",1,0
102571,"2002",38,18
102571,"2005",71,23
102585,"2002",13,1
102585,"2000",21,7
102585,"1998",9,4
102585,"1999",10,3
102585,"2003",3,3
102585,"1997",13,7
102585,"1996",20,6
102585,"2007",NA,NA
102610,"1999",125,51
102610,"2005",176,74
102610,"2002",461,182
102610,"2004",150,55
102610,"1998",430,195
102610,"2001",143,43
102610,"1993",49,17
102610,"1997",NA,NA
102610,"1995",441,182
102610,"2000",NA,NA
102610,"2003",NA,NA
102610,"1994",145,66
102610,"2006",44,14
102610,"1996",NA,NA
102615,"2003",58,24
102615,"1996",13,2
102615,"1999",43,17
102615,"1993",1,1
102615,"2002",0,0
102615,"1992",11,4
102615,"1998",64,19
102615,"2007",16,4
102615,"2000",13,4
102615,"1997",93,42
102615,"2001",16,8
102615,"2005",15,5
102615,"2004",137,47
102642,"2002",75,30
102642,"2000",75,27
102642,"2003",152,67
102642,"2005",233,86
102642,"2007",8,4
102642,"2004",347,111
102642,"2006",63,22
102642,"1999",24,9
102642,"2001",25,14
