"player_id","name_first","name_last","hand","dob","ioc","height"
100644,"Alexander","Zverev","R",19970420,"GER",198
101868,"Dick","Norman","L",19710301,"BEL",203
101885,"Wayne","Arthurs","L",19710318,"AUS",190
101962,"Younes","El Aynaoui","R",19710912,"MAR",193
102093,"Martin","Damm","L",20030930,"USA",203
102106,"Davide","Sanguinetti","R",19720825,"ITA",188
102143,"Nicolas","Thomann","R",19721129,"FRA",183
102148,"Fabrice","Santoro","R",19721209,"FRA",178
102179,"Antony","Dupuis","R",19730224,"FRA",185
102227,"Sargis","Sargsian","R",19730603,"ARM",180
102231,"Alex","Calatrava","R",19730614,"ESP",190
102269,"Jeff","Salzenstein","L",19731014,"USA",185
102282,"Tetsuya","Chaen","R",19731105,"JPN",NA
102287,"Albert","Portas","R",19731115,"ESP",188
102306,"Michael","Kohlmann","R",19740111,"GER",188
102374,"Alex","Corretja","R",19740411,"ESP",180
102381,"Werner","Eschauer","R",19740426,"AUT",188
102382,"Julian","Knowle","L",19740429,"AUT",188
102401,"Scott","Draper","L",19740605,"AUS",178
102434,"Vincent","Spadea","R",19740719,"USA",183
102456,"Felix","Mantilla","R",19740923,"ESP",180
102494,"Tomas","Behrend","R",19741212,"GER",193
102497,"Mashiska","Washington","R",19741219,"USA",180
102512,"Joseph","Sirianni","R",19750117,"AUS",175
102539,"Bohdan","Ulihrach","R",19750223,"CZE",188
102548,"Juan Antonio","Marin","R",19750302,"CRC",175
102558,"Eric","Taino","L",19750318,"PHI",175
102565,"Alexander","Waske","R",19750331,"GER",188
102567,"George","Bastl","R",19750401,"SUI",183
102571,"Gregory","Carraz","R",19750409,"FRA",190
102585,"Sebastian","Prieto","R",19750519,"ARG",180
102610,"Albert","Costa","R",19750625,"ESP",180
102615,"Dennis","Van Scheppingen","R",19750705,"NED",185
102642,"Cyril","Saulnier","R",19750816,"FRA",190
102667,"Satoshi","Iwabuchi","L",19751007,"JPN",175
102694,"Lars","Burgsmuller","R",19751206,"GER",183
102720,"Tomas","Zib","R",19760131,"CZE",178
102730,"Ivo","Heuberger","R",19760219,"SUI",188
102770,"John","Van Lottum","R",19760410,"NED",185
102780,"Frederic","Niemeyer","R",19760424,"CAN",190
102783,"Rainer","Schuettler","R",19760425,"GER",180
102785,"Glenn","Weiner","R",19760427,"USA",188
102788,"Jan","Vacek","R",19760510,"CZE",198
102821,"Cecil","Mamiit","R",19760627,"PHI",173
102834,"Paul","Goldstein","R",19760804,"USA",178
102845,"Carlos","Moya","R",19760827,"ESP",190
102851,"Giorgio","Galimberti","R",19760905,"ITA",180
102860,"Agustin","Calleri","R",19760914,"ARG",183
102863,"Takao","Suzuki","R",19760920,"JPN",175
102864,"Frank","Moser","R",19760923,"GER",193
102869,"Galo","Blanco","R",19761008,"ESP",173
102880,"Alexander","Popp","R",19761104,"GER",201
102881,"David","Skoch","R",19761106,"CZE",183
102885,"Vishal","Uppal","R",19761110,"IND",NA
102886,"Frantisek","Cermak","R",19761114,"CZE",193
102887,"Ramon","Delgado","R",19761114,"PAR",185
102904,"Leos","Friedl","R",19770101,"CZE",183
102925,"Justin","Gimelstob","R",19770126,"USA",196
102945,"Luke","Bourgeois","R",19770303,"AUS",188
102950,"Fernando","Vicente","R",19770308,"ESP",180
102956,"Sultan","Khalfan","R",19770316,"QAT",NA
102965,"Jamie","Delgado","R",19770321,"GBR",178
102967,"Marc","Gicquel","R",19770330,"FRA",188
102985,"Gustavo","Marcaccio","R",19770503,"ARG",170
102987,"Andre","Sa","R",19770506,"BRA",185
102998,"Jan Michael","Gambill","R",19770603,"USA",190
102999,"Stefano","Galvani","R",19770603,"ITA",178
103009,"Razvan","Sabau","R",19770618,"ROU",185
103032,"Francisco","Fogues","L",19770806,"ESP",190
103035,"Alessio","Di Mauro","L",19770809,"ITA",185
103063,"Sebastien","De Chaunac","R",19771007,"FRA",183
103076,"Justin","Oneal","R",19771024,"USA",NA
103084,"Guillermo","Canas","R",19771125,"ARG",185
103096,"Arnaud","Clement","R",19771217,"FRA",173
103104,"Bjorn","Rehnquist","R",19780105,"SWE",175
103105,"Ruben","Ramirez Hidalgo","R",19780106,"ESP",183
103110,"Daniele","Bracciali","R",19780110,"ITA",180
103114,"Martin","Lee","L",19780113,"GBR",180
103133,"Olivier","Mutis","R",19780202,"FRA",175
103151,"Mariano","Zabaleta","R",19780228,"ARG",183
103153,"Gilles","Elseneer","R",19780306,"BEL",188
103157,"Arvind","Parmar","R",19780322,"GBR",193
103163,"Tommy","Haas","R",19780403,"GER",188
103165,"Gorka","Fraile","R",19780407,"ESP",180
103169,"Oscar","Hernandez","R",19780410,"ESP",180
103171,"Raemon","Sluiter","R",19780413,"NED",185
103175,"Toshihide","Matsui","R",19780419,"JPN",178
103176,"David","Sanchez","R",19780420,"ESP",183
103181,"Jiri","Vanek","R",19780424,"CZE",185
103182,"Markus","Hipfl","R",19780426,"AUT",178
103184,"Bob","Bryan","L",19780429,"USA",193
103185,"Mike","Bryan","R",19780429,"USA",190
103188,"Michael","Russell","R",19780501,"USA",173
103193,"Peter","Wessels","R",19780507,"NED",196
103201,"Adrian","Garcia","R",19780525,"CHI",175
103204,"Hugo","Armando","R",19780527,"USA",183
103206,"Sebastien","Grosjean","R",19780529,"FRA",175
103209,"Leonardo","Azzaro","L",19780530,"ITA",188
103228,"Marcos","Daniel","R",19780704,"BRA",180
103230,"Tasuku","Iwami","L",19780709,"JPN",168
103238,"Jean Claude","Scherrer","R",19780720,"SUI",188
103240,"Kevin","Kim","R",19780726,"USA",180
103248,"Harel","Levy","R",19780805,"ISR",185
103250,"Rodolphe","Cadart","L",19780808,"FRA",183
103252,"Alberto","Martin","R",19780820,"ESP",175
103254,"Yves","Allegro","R",19780824,"SUI",183
103264,"Mariano","Puerta","L",19780919,"ARG",180
103280,"Martin","Verkerk","R",19781031,"NED",196
103285,"Radek","Stepanek","R",19781127,"CZE",185
103290,"Radim","Zitko","R",19781208,"CZE",NA
103292,"Gaston","Gaudio","R",19781209,"ARG",175
103294,"Christophe","Rochus","R",19781215,"BEL",170
103305,"Daniel","Elsner","R",19790104,"GER",183
103318,"Zeljko","Krajan","R",19790203,"CRO",178
103319,"Jeff","Morrison","R",19790204,"USA",185
103333,"Ivo","Karlovic","R",19790228,"CRO",208
103339,"Wesley","Whitehouse","L",19790313,"RSA",190
103344,"Ivan","Ljubicic","R",19790319,"CRO",193
103356,"Michel","Kratochvil","R",19790407,"SUI",185
103369,"Melle","Van Gemerden","R",19790509,"NED",183
103373,"Sergio","Roitman","R",19790516,"ARG",185
103385,"Paul","Baccanello","R",19790612,"AUS",183
103393,"Yuri","Schukin","R",19790626,"KAZ",188
103395,"Julio","Silva","R",19790701,"BRA",173
103401,"Jan","Hernych","R",19790707,"CZE",190
103403,"Takahiro","Terachi","R",19790708,"JPN",NA
103408,"Brian","Vahaly","R",19790719,"USA",183
103420,"Michal","Tabara","R",19790811,"CZE",175
103424,"Tobias","Clemens","R",19790814,"GER",185
103428,"Juan Ignacio","Chela","R",19790830,"ARG",190
103429,"Peter","Luczak","R",19790831,"AUS",183
103435,"Massimo","Dellacqua","R",19790906,"ITA",193
103437,"Francesco","Piccari","R",19790907,"ITA",NA
103444,"Jean Rene","Lisnard","R",19790925,"MON",173
103448,"Gabriel","Trujillo Soler","R",19790930,"ESP",NA
103451,"Bjorn","Phau","R",19791004,"GER",175
103465,"Paul","Logtens","R",19791107,"NED",175
103470,"Robert","Kendrick","R",19791115,"USA",190
103484,"James","Blake","R",19791228,"USA",185
103487,"Federico","Luzzi","R",19800103,"ITA",188
103490,"Santiago","Ventura","R",19800105,"ESP",183
103503,"Robin","Vik","R",19800205,"CZE",183
103506,"Martin","Vassallo Arguello","R",19800210,"ARG",183
103507,"Juan Carlos","Ferrero","R",19800212,"ESP",183
103516,"Nathan","Healey","R",19800227,"AUS",180
103520,"Pavel","Snobel","L",19800228,"CZE",190
103521,"Andrea","Stoppini","R",19800229,"ITA",190
103530,"Zack","Fleishman","R",19800317,"USA",188
103534,"Nicolas","Devilder","L",19800325,"FRA",173
103535,"Olivier","Patience","R",19800325,"FRA",180
103538,"James","Auckland","R",19800401,"GBR",NA
103543,"David","Marrero","R",19800408,"ESP",183
103553,"Alun","Jones","R",19800426,"AUS",180
103559,"David","Sherwood","R",19800506,"GBR",193
103565,"Stephane","Robert","R",19800517,"FRA",185
103566,"Michael","Llodra","L",19800518,"FRA",190
103580,"Alexander","Peya","R",19800627,"AUT",183
103581,"Flavio","Saretta","R",19800628,"BRA",183
103582,"Michael","Berrer","L",19800701,"GER",193
103592,"Jerome","Haehnel","R",19800714,"FRA",185
103594,"Oliver","Marach","R",19800716,"AUT",185
103598,"Xavier","Malisse","R",19800719,"BEL",185
103602,"Fernando","Gonzalez","R",19800729,"CHI",183
103623,"Jacob","Adaktusson","R",19800831,"SWE",193
103626,"Tomas","Tenconi","R",19800903,"ITA",178
103646,"Lars","Uebel","R",19801014,"GER",180
103653,"Jasper","Smit","R",19801117,"NED",NA
103656,"Albert","Montanes","R",19801126,"ESP",175
103657,"Ivo","Klec","R",19801128,"SVK",183
