"player_id","year","second_won","second_serve"
100644,"2023",922,1638
100644,"2017",1177,1931
100644,"2020",487,863
100644,"2022",400,683
100644,"2019",788,1393
100644,"2018",1094,1862
100644,"2014",146,257
100644,"2024",1116,1855
100644,"2021",880,1438
100644,"2016",1143,1949
100644,"2013",6,18
100644,"2015",493,903
101404,"1996",1497,2560
101404,"2011",13,39
101404,"1988",NA,NA
101404,"1991",497,875
101404,"1989",NA,NA
101404,"1985",NA,NA
101404,"1987",NA,NA
101404,"1997",1067,1876
101404,"1990",NA,NA
101404,"1998",838,1501
101404,"1999",226,405
101404,"1993",1509,2425
101404,"1992",751,1315
101404,"1984",NA,NA
101404,"1995",1641,2795
101404,"1994",1299,2185
101404,"2010",16,24
101404,"1986",NA,NA
101736,"1992",785,1352
101736,"1997",367,661
101736,"1995",1151,1910
101736,"1986",NA,NA
101736,"1993",592,1062
101736,"1990",NA,NA
101736,"2005",827,1396
101736,"1994",940,1620
101736,"1987",NA,NA
101736,"1988",NA,NA
101736,"2000",785,1273
101736,"2001",860,1454
101736,"2002",1000,1623
101736,"1998",1123,1934
101736,"1999",1141,1870
101736,"2006",362,622
101736,"1996",771,1421
101736,"1991",786,1340
101736,"2004",838,1382
101736,"2003",928,1548
101736,"1989",NA,NA
101868,"2006",210,396
101868,"1995",220,348
101868,"1997",127,226
101868,"2001",13,22
101868,"1992",11,28
101868,"2007",66,94
101868,"2003",171,277
101868,"1996",179,332
101868,"1998",47,76
101868,"2005",158,280
101868,"2002",144,239
101868,"2004",113,211
101868,"1993",22,37
101868,"2009",40,46
101885,"2006",322,523
101885,"2005",701,1089
101885,"2004",604,986
101885,"2007",124,203
101885,"1998",169,275
101885,"2003",643,1036
101885,"2002",916,1459
101885,"2000",642,976
101885,"2001",941,1465
101885,"1999",568,889
101885,"1996",52,76
101889,"1995",855,1523
101889,"2003",NA,NA
101889,"1988",NA,NA
101889,"1992",727,1308
101889,"1994",572,1071
101889,"1990",26,46
101889,"1997",699,1353
101889,"2001",176,321
101889,"1999",366,667
101889,"2000",171,311
101889,"2004",NA,NA
101889,"1991",664,1175
101889,"1993",603,1136
101889,"1989",NA,NA
101889,"2005",NA,NA
101889,"1996",996,1782
101889,"1998",721,1365
101962,"2001",901,1555
101962,"1996",508,921
101962,"2006",39,71
101962,"2004",19,45
101962,"2002",1006,1723
101962,"1994",646,1184
101962,"2000",972,1740
101962,"2003",845,1526
101962,"2005",114,237
101962,"2008",82,153
101962,"2010",21,42
101962,"1992",42,87
101962,"1995",153,320
101962,"1990",NA,NA
101962,"2007",50,98
101962,"1991",NA,NA
101962,"1998",91,154
101962,"1993",531,996
101962,"1997",49,86
101962,"1999",825,1441
101965,"2000",1270,2214
101965,"1990",NA,NA
101965,"2004",495,848
101965,"2005",NA,NA
101965,"1994",1626,2951
101965,"1998",1039,1956
101965,"1991",752,1380
101965,"1997",926,1739
101965,"2003",710,1284
101965,"1995",1425,2693
101965,"2002",976,1761
101965,"1992",1285,2362
101965,"1996",1201,2230
101965,"2001",669,1277
101965,"1999",974,1776
101965,"1993",1076,1969
102035,"1994",921,1758
102035,"1997",1488,2591
102035,"1993",180,355
102035,"2001",739,1377
102035,"2007",638,1237
102035,"2000",831,1447
102035,"1998",956,1773
102035,"2005",655,1152
102035,"1991",11,28
102035,"1992",9,24
102035,"1996",901,1674
102035,"2003",766,1379
102035,"1995",1024,1916
102035,"2002",671,1212
102035,"1999",797,1434
102035,"2006",469,884
102035,"2004",797,1417
102035,"2008",289,552
102093,"2024",38,64
102106,"2005",860,1633
102106,"1998",919,1812
102106,"2003",542,1042
102106,"1999",594,1204
102106,"2000",623,1247
102106,"2001",643,1273
102106,"2002",731,1385
102106,"2007",181,372
102106,"1995",35,76
102106,"2006",622,1185
102106,"1997",305,634
102106,"2004",499,930
102106,"1994",41,93
102110,"1997",392,712
102110,"1989",NA,NA
102110,"1991",42,62
102110,"1998",474,852
102110,"2002",18,28
102110,"2003",43,65
102110,"1999",540,962
102110,"2004",8,17
102110,"1992",47,94
102110,"2000",209,336
102110,"1993",115,206
102110,"2001",148,257
102110,"1995",170,329
102110,"2005",NA,NA
102110,"1994",119,212
102110,"1996",383,628
102110,"2006",20,37
102143,"2006",27,51
102143,"1997",38,58
102143,"2005",42,78
102143,"2001",117,215
102143,"2004",83,152
102143,"2003",167,277
102143,"2000",72,120
102143,"2002",117,207
102148,"2009",609,1179
102148,"2004",604,1123
102148,"1993",725,1293
102148,"1995",599,1097
102148,"2000",1022,1849
102148,"2008",499,908
102148,"1991",645,1188
102148,"2010",21,42
102148,"2006",721,1388
102148,"2001",1117,2024
102148,"1998",1079,1988
102148,"2005",658,1199
102148,"1989",NA,NA
102148,"1994",646,1161
102148,"1997",1036,1860
102148,"1999",989,1835
102148,"2002",964,1726
102148,"1990",29,74
102148,"2003",554,1069
102148,"1992",704,1240
102148,"2007",773,1394
102148,"1996",283,533
102179,"1999",290,517
102179,"2005",330,603
102179,"2001",540,990
102179,"1996",30,61
102179,"2002",570,1009
102179,"2003",656,1165
102179,"2000",321,589
102179,"2007",81,134
102179,"2004",644,1151
102179,"2006",69,118
102202,"2005",604,1168
102202,"2004",525,947
102202,"1992",266,464
102202,"1996",665,1177
102202,"1994",642,1131
102202,"2006",461,851
102202,"1997",894,1569
102202,"2003",573,1056
102202,"1995",871,1531
102202,"1999",578,1037
102202,"2002",498,890
102202,"2007",7,13
102202,"1998",824,1477
102202,"2001",302,511
102202,"1993",713,1302
102227,"2002",549,998
102227,"1999",655,1216
102227,"1993",38,62
102227,"2004",617,1136
102227,"1997",660,1206
102227,"2006",19,38
102227,"1998",729,1334
102227,"2005",118,254
102227,"1995",82,184
102227,"2001",558,1020
102227,"1996",97,180
102227,"2003",776,1343
102227,"2000",557,1076
102231,"2001",826,1574
102231,"2002",174,352
102231,"2000",432,830
102231,"2006",100,172
102231,"1995",10,27
102231,"1998",422,794
102231,"1994",13,31
102231,"1999",186,358
102231,"2004",175,303
102231,"2003",45,89
102231,"2005",253,526
102233,"2001",57,105
102233,"1992",NA,NA
102233,"1998",365,640
102233,"1997",406,752
102233,"1990",NA,NA
102233,"2002",21,34
102233,"2006",NA,NA
102233,"2004",NA,NA
102233,"2008",NA,NA
102233,"1991",55,104
102233,"2000",125,208
102233,"1995",144,280
102233,"2003",NA,NA
102233,"2005",10,24
102233,"1994",67,139
102233,"2007",NA,NA
102233,"1999",192,328
102233,"1996",271,524
102233,"1993",58,91
102257,"2003",310,499
102257,"1994",943,1605
102257,"1996",964,1694
102257,"1999",1168,1922
102257,"1992",55,117
102257,"2002",833,1326
102257,"2001",1057,1762
102257,"2000",651,1089
102257,"1998",1337,2156
102257,"2006",297,533
102257,"1997",1407,2276
102257,"2005",881,1383
102257,"1993",519,866
102257,"1995",1064,1832
102257,"2004",722,1127
102269,"2004",216,399
102269,"2006",43,73
102269,"2000",64,120
102269,"2003",90,174
102269,"2005",67,126
102269,"1996",41,77
102269,"1997",180,350
102269,"1995",15,39
102269,"1998",35,67
102269,"2001",35,76
102269,"2002",17,28
102271,"1993",NA,NA
102271,"2001",896,1647
102271,"1996",566,1055
102271,"2002",486,924
102271,"1999",896,1693
102271,"2004",570,1025
102271,"1994",16,34
102271,"1998",943,1777
102271,"2000",983,1807
102271,"2005",22,49
102271,"1997",891,1721
102271,"1995",140,243
102271,"2003",615,1100
102282,"1998",14,28
102282,"2006",16,19
102282,"1994",5,11
102286,"1999",349,664
102286,"2004",NA,NA
102286,"2003",81,137
102286,"2005",NA,NA
102286,"2001",307,553
102286,"2002",16,31
102286,"1998",702,1269
102286,"1996",104,187
102286,"1995",135,254
102286,"1993",13,21
102286,"2000",315,556
102286,"1994",46,89
102286,"1992",NA,NA
102286,"1997",169,312
102287,"1996",41,87
102287,"1997",513,939
102287,"2007",37,73
102287,"1999",447,840
102287,"2004",258,511
102287,"1993",12,30
102287,"2000",774,1459
102287,"1995",91,167
102287,"2002",504,956
102287,"2005",114,212
102287,"2006",315,643
102287,"1998",532,1064
102287,"2001",1084,2026
102287,"2003",375,744
102300,"2000",61,121
102300,"2004",34,65
102300,"1994",16,36
102300,"2003",48,94
102300,"1997",45,74
102300,"2005",15,27
102300,"1993",18,43
102300,"1996",14,27
102300,"1995",34,66
102300,"2002",52,89
102300,"2006",59,115
102300,"1999",75,128
102300,"2001",43,78
102300,"1998",73,130
102306,"2000",52,111
102306,"1999",305,621
102306,"2007",12,22
102306,"2001",23,46
102306,"2004",98,172
102306,"2005",76,139
102306,"2002",295,564
102306,"2003",10,21
102306,"1998",144,274
