"player_id","year","returns","returns_won"
100644,"2023",6666,2514
100644,"2017",1869,574
100644,"2020",3706,1456
100644,"2022",2264,939
100644,"2019",NA,NA
100644,"2018",1735,596
100644,"2014",651,244
100644,"2024",NA,NA
100644,"2021",1541,512
100644,"2016",5791,2201
100644,"2013",56,22
100644,"2015",2495,841
101868,"2006",316,132
101868,"1995",542,143
101868,"1997",667,227
101868,"2001",51,12
101868,"1992",72,23
101868,"2007",77,14
101868,"2003",847,269
101868,"1996",45,20
101868,"1998",210,66
101868,"2005",903,284
101868,"2002",593,181
101868,"2004",532,161
101868,"1993",117,36
101868,"2009",127,43
101885,"2006",NA,NA
101885,"2005",NA,NA
101885,"2004",NA,NA
101885,"2007",622,204
101885,"1998",666,209
101885,"2003",1743,444
101885,"2002",1970,518
101885,"2000",NA,NA
101885,"2001",1630,592
101885,"1999",1013,260
101885,"1996",205,66
101962,"2001",1936,604
101962,"1996",1144,455
101962,"2006",122,50
101962,"2004",NA,NA
101962,"2002",NA,NA
101962,"1994",2184,716
101962,"2000",NA,NA
101962,"2003",NA,NA
101962,"2005",63,22
101962,"2008",NA,NA
101962,"2010",129,41
101962,"1992",NA,NA
101962,"1995",395,191
101962,"1990",NA,NA
101962,"2007",227,70
101962,"1991",NA,NA
101962,"1998",407,170
101962,"1993",NA,NA
101962,"1997",239,91
101962,"1999",1994,654
102093,"2024",222,74
102106,"2005",4027,1517
102106,"1998",NA,NA
102106,"2003",NA,NA
102106,"1999",NA,NA
102106,"2000",NA,NA
102106,"2001",3000,1063
102106,"2002",NA,NA
102106,"2007",976,357
102106,"1995",210,60
102106,"2006",2919,1044
102106,"1997",1381,544
102106,"2004",2415,867
102106,"1994",192,79
102143,"2006",128,43
102143,"1997",180,52
102143,"2005",213,78
102143,"2001",558,197
102143,"2004",347,96
102143,"2003",698,255
102143,"2000",300,100
102143,"2002",548,177
102148,"2009",2817,1058
102148,"2004",NA,NA
102148,"1993",1721,819
102148,"1995",3326,1313
102148,"2000",NA,NA
102148,"2008",2189,806
102148,"1991",NA,NA
102148,"2010",92,28
102148,"2006",3375,1315
102148,"2001",NA,NA
102148,"1998",4673,1863
102148,"2005",3035,1205
102148,"1989",NA,NA
102148,"1994",1922,875
102148,"1997",2373,1064
102148,"1999",NA,NA
102148,"2002",2192,805
102148,"1990",NA,NA
102148,"2003",1297,566
102148,"1992",NA,NA
102148,"2007",3380,1268
102148,"1996",1262,496
102179,"1999",NA,NA
102179,"2005",1502,507
102179,"2001",2687,951
102179,"1996",147,54
102179,"2002",1001,369
102179,"2003",3025,1057
102179,"2000",1366,435
102179,"2007",447,151
102179,"2004",3086,1034
102179,"2006",280,83
102227,"2002",1243,500
102227,"1999",1520,670
102227,"1993",178,73
102227,"2004",1585,702
102227,"1997",NA,NA
102227,"2006",104,30
102227,"1998",3642,1390
102227,"2005",769,256
102227,"1995",445,181
102227,"2001",NA,NA
102227,"1996",NA,NA
102227,"2003",3974,1580
102227,"2000",1252,588
102231,"2001",1475,594
102231,"2002",929,325
102231,"2000",716,232
102231,"2006",451,163
102231,"1995",48,15
102231,"1998",668,283
102231,"1994",60,26
102231,"1999",169,64
102231,"2004",454,210
102231,"2003",201,64
102231,"2005",1593,547
102269,"2004",1108,357
102269,"2006",259,84
102269,"2000",269,83
102269,"2003",544,204
102269,"2005",358,126
102269,"1996",241,79
102269,"1997",1062,383
102269,"1995",112,38
102269,"1998",242,78
102269,"2001",182,55
102269,"2002",86,23
102282,"1998",81,29
102282,"2006",49,9
102282,"1994",42,9
102287,"1996",246,80
102287,"1997",3149,1285
102287,"2007",NA,NA
102287,"1999",1430,498
102287,"2004",1421,504
102287,"1993",39,9
102287,"2000",3381,1310
102287,"1995",466,195
102287,"2002",827,338
102287,"2005",539,212
102287,"2006",1456,524
102287,"1998",2805,1071
102287,"2001",4844,1994
102287,"2003",2059,771
102306,"2000",NA,NA
102306,"1999",1459,508
102306,"2007",NA,NA
102306,"2001",164,57
102306,"2004",559,190
102306,"2005",380,141
102306,"2002",1576,555
102306,"2003",49,16
102306,"1998",353,160
102374,"1994",5632,2370
102374,"1997",3397,1558
102374,"2003",NA,NA
102374,"1999",NA,NA
102374,"2001",1521,510
102374,"1995",1889,913
102374,"1996",3018,1349
102374,"2005",454,169
102374,"2002",NA,NA
102374,"1992",1908,815
102374,"2000",NA,NA
102374,"2004",2830,1057
102374,"1993",3147,1273
102374,"1998",NA,NA
102381,"2007",743,294
102381,"1997",60,21
102381,"2000",325,111
102381,"2001",337,132
102381,"1999",68,21
102381,"2006",90,30
102381,"2003",733,263
102381,"2008",NA,NA
102381,"2004",210,87
102382,"1992",130,61
102382,"1994",54,20
102382,"2004",619,235
102382,"2001",283,107
102382,"2003",497,179
102382,"2012",46,12
102382,"2002",1264,425
102382,"1993",68,25
102382,"2005",60,13
102401,"2003",2268,762
102401,"1997",1852,737
102401,"2001",818,273
102401,"2002",NA,NA
102401,"2000",560,181
102401,"1999",905,347
102401,"1995",NA,NA
102401,"1996",1827,769
102401,"2005",428,131
102401,"1998",1437,443
102434,"2004",NA,NA
102434,"1995",3899,1607
102434,"2003",NA,NA
102434,"2010",41,8
102434,"2002",1394,485
102434,"2007",4154,1576
102434,"2001",275,91
102434,"1996",1860,847
102434,"1997",3512,1334
