"player_id","year","returns","returns_won"
103188,"2010",2634,978
103188,"2006",NA,NA
103188,"2001",2122,797
103188,"2012",1719,656
103188,"2013",1670,611
103188,"2007",2048,739
103188,"2011",2175,783
103188,"2009",535,206
103188,"2014",1433,533
103188,"2000",601,218
103188,"2008",513,207
103188,"2003",162,63
103188,"2002",1406,537
103188,"2015",NA,NA
103188,"1998",NA,NA
103204,"2002",NA,NA
103204,"2005",457,161
103204,"2003",NA,NA
103204,"2001",735,281
103204,"2006",261,85
103204,"2004",483,165
103204,"2007",259,106
103204,"2008",164,68
103204,"2000",NA,NA
103240,"2009",1658,568
103240,"1999",NA,NA
103240,"2001",249,81
103240,"2006",1845,684
103240,"2010",226,77
103240,"2005",3544,1293
103240,"1996",NA,NA
103240,"2004",311,116
103240,"2002",284,108
103240,"2000",555,206
103240,"2003",NA,NA
103240,"2007",1256,450
103240,"2008",NA,NA
103252,"2010",603,232
103252,"2003",NA,NA
103252,"2007",1114,416
103252,"1998",497,175
103252,"2004",3833,1462
103252,"2009",1912,682
103252,"2000",NA,NA
103252,"1996",309,118
103252,"2002",NA,NA
103252,"1999",NA,NA
103252,"2001",4663,1890
103252,"1997",NA,NA
103252,"2005",3826,1506
103252,"2006",2855,1140
103252,"2008",539,203
103305,"2000",633,234
103305,"2004",615,219
103305,"2005",154,62
103305,"2002",NA,NA
103305,"1997",NA,NA
103305,"2001",815,284
103339,"1998",NA,NA
103339,"2007",181,56
103339,"2004",141,45
103339,"2006",367,135
103373,"2009",443,139
103373,"2007",NA,NA
103373,"2000",187,71
103373,"2008",1973,760
103373,"2005",NA,NA
103373,"2003",440,158
103373,"2006",746,318
103401,"2007",1564,582
103401,"2011",613,235
103401,"2005",NA,NA
103401,"2014",267,93
103401,"2015",264,92
103401,"2004",1508,566
103401,"2009",NA,NA
103401,"2016",NA,NA
103401,"2010",NA,NA
103401,"2006",NA,NA
103401,"2002",NA,NA
103401,"2000",NA,NA
103401,"2013",685,242
103401,"2008",978,365
103401,"2012",286,112
103408,"2002",1269,503
103408,"2006",131,37
103408,"2003",2601,962
103408,"2004",888,316
103408,"2005",222,83
103420,"1996",288,126
103420,"1997",NA,NA
103420,"2001",NA,NA
103420,"2005",1256,500
103420,"2004",NA,NA
103420,"1998",168,65
103420,"2008",NA,NA
103420,"2002",771,286
103420,"2000",609,247
103420,"1999",273,131
103424,"2006",363,121
103448,"2008",118,38
103451,"2010",1558,588
