"","player_id","year","bp","bp_converted"
"470",102257,"2006",NA,NA
"471",102257,"2002",NA,NA
"482",102257,"1995",NA,NA
"483",102257,"2003",66,27
"485",102257,"2000",NA,NA
"486",102267,"2005",NA,NA
"487",102267,"2003",NA,NA
"489",102267,"1994",NA,NA
"493",102269,"2001",9,6
"495",102269,"2004",29,14
"496",102269,"1997",43,18
"500",102269,"2001",2,0
"509",102271,"1995",NA,NA
"510",102271,"2003",NA,NA
"512",102271,"2005",5,1
"514",102271,"1999",NA,NA
"515",102271,"2002",122,55
"519",102271,"2004",NA,NA
"524",102271,"1994",6,2
"526",102282,"2006",0,0
"527",102282,"1994",2,0
"528",102286,"1996",NA,NA
"529",102286,"1994",NA,NA
"532",102286,"2005",NA,NA
"535",102286,"2004",NA,NA
"536",102286,"1997",NA,NA
"540",102286,"2001",NA,NA
"541",102286,"1995",NA,NA
"543",102287,"2003",98,31
"545",102287,"2002",NA,NA
"546",102287,"2005",36,10
"549",102287,"2004",38,16
"551",102287,"1998",131,55
"552",102287,"2000",200,103
"553",102287,"2007",NA,NA
"556",102287,"2002",104,41
"558",102287,"1997",96,36
"561",102287,"2005",15,11
"562",102287,"2006",47,17
"564",102287,"2001",201,85
"566",102287,"1997",218,103
"573",102300,"1999",NA,NA
"574",102300,"2001",NA,NA
"575",102300,"2002",NA,NA
"577",102300,"2006",NA,NA
"580",102300,"1993",9,1
"581",102300,"2005",NA,NA
"583",102306,"2000",NA,NA
"584",102306,"1999",46,19
"587",102306,"2004",21,11
"591",102306,"2003",3,1
"593",102306,"2002",61,25
"594",102306,"1998",35,20
"595",102306,"2005",22,9
"601",102318,"2005",NA,NA
"604",102318,"2009",22,10
"606",102318,"2001",NA,NA
"607",102318,"2002",143,51
"610",102318,"1995",14,7
"611",102318,"2002",NA,NA
"612",102318,"1998",NA,NA
"613",102318,"2006",120,34
"616",102318,"1995",9,4
"622",102344,"2001",NA,NA
"623",102344,"2004",NA,NA
"624",102344,"1999",NA,NA
"625",102344,"2002",NA,NA
"626",102344,"1991",6,4
"627",102344,"2003",NA,NA
"628",102344,"1998",NA,NA
"629",102344,"2000",NA,NA
"630",102344,"1997",161,56
"636",102344,"1994",117,57
"644",102358,"1999",NA,NA
"646",102358,"2003",NA,NA
"647",102358,"2004",NA,NA
"653",102358,"1991",57,15
"655",102358,"2001",370,148
"657",102358,"2002",NA,NA
"660",102358,"1990",NA,NA
"664",102374,"2003",NA,NA
"665",102374,"1995",NA,NA
"667",102374,"1995",247,125
"670",102374,"1996",348,170
"678",102374,"2002",NA,NA
"681",102374,"1994",450,201
"683",102374,"1994",177,58
"686",102381,"2001",15,6
"687",102381,"2003",43,12
"689",102381,"2000",19,7
"694",102381,"2001",16,8
