"","player_id","year","second_won","second_serve"
"470",102257,"2000",292,470
"471",102257,"2003",NA,NA
"482",102257,"1995",459,846
"483",102257,"1992",20,52
"485",102257,"2002",NA,NA
"486",102267,"2006",NA,NA
"487",102267,"2005",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"1995",15,39
"495",102269,"2004",159,310
"496",102269,"2001",15,26
"500",102269,"1996",25,47
"509",102271,"2005",22,49
"510",102271,"1995",NA,NA
"512",102271,"2003",NA,NA
"514",102271,"1996",NA,NA
"515",102271,"2001",NA,NA
"519",102271,"1994",NA,NA
"524",102271,"1993",NA,NA
"526",102282,"2006",16,19
"527",102282,"1998",14,28
"528",102286,"2005",NA,NA
"529",102286,"1995",NA,NA
"532",102286,"2002",NA,NA
"535",102286,"1996",NA,NA
"536",102286,"2003",NA,NA
"540",102286,"1997",NA,NA
"541",102286,"1994",NA,NA
"543",102287,"2005",93,179
"545",102287,"2003",137,229
"546",102287,"2003",238,515
"549",102287,"1995",60,96
"551",102287,"1998",324,695
"552",102287,"2006",177,380
"553",102287,"2000",364,750
"556",102287,"2004",53,91
"558",102287,"2001",572,979
"561",102287,"2001",512,1047
"562",102287,"1998",208,369
"564",102287,"1997",204,422
"566",102287,"1996",41,87
"573",102300,"1998",NA,NA
"574",102300,"2005",NA,NA
"575",102300,"1993",18,43
"577",102300,"1994",16,36
"580",102300,"1997",NA,NA
"581",102300,"2004",NA,NA
"583",102306,"2004",44,98
"584",102306,"2001",23,46
"587",102306,"2002",101,162
"591",102306,"2005",45,79
"593",102306,"1999",108,190
"594",102306,"1998",77,133
"595",102306,"2000",NA,NA
"601",102318,"2009",86,170
"604",102318,"1998",NA,NA
"606",102318,"2003",NA,NA
"607",102318,"1994",NA,NA
"610",102318,"2007",NA,NA
"611",102318,"1995",28,59
"612",102318,"1997",NA,NA
"613",102318,"2001",NA,NA
"616",102318,"1992",NA,NA
"622",102344,"1991",5,21
"623",102344,"2002",363,583
"624",102344,"1997",377,776
"625",102344,"1993",14,23
"626",102344,"1994",185,400
"627",102344,"2005",NA,NA
"628",102344,"2000",NA,NA
"629",102344,"1994",196,348
"630",102344,"2002",NA,NA
"636",102344,"1992",14,30
"644",102358,"1997",NA,NA
"646",102358,"1993",NA,NA
"647",102358,"2002",NA,NA
"653",102358,"1992",135,249
"655",102358,"1998",NA,NA
"657",102358,"1992",254,443
"660",102358,"2001",706,1147
"664",102374,"2005",10,20
"665",102374,"1997",NA,NA
"667",102374,"1998",NA,NA
"670",102374,"2005",81,142
"678",102374,"1995",327,565
"681",102374,"2004",236,391
"683",102374,"2003",NA,NA
"686",102381,"2000",33,52
"687",102381,"2003",68,121
"689",102381,"2000",18,29
"694",102381,"2004",33,75
"696",102381,"2004",18,35
"697",102381,"2001",52,78
"699",102382,"2012",5,17
"700",102382,"2001",40,75
"701",102382,"2003",59,126
"704",102382,"1993",15,25
"708",102382,"2004",73,137
"709",102382,"1994",13,30
"712",102388,"2007",NA,NA
"713",102401,"2002",NA,NA
"717",102401,"1997",NA,NA
"718",102401,"1999",NA,NA
"719",102401,"2001",40,57
"720",102401,"1999",236,379
"723",102401,"2001",144,266
"726",102401,"1997",415,720
"727",102401,"2005",82,167
"728",102401,"1996",450,760
"729",102401,"1998",NA,NA
"732",102405,"2000",24,39
"733",102405,"2008",NA,NA
"736",102405,"1996",NA,NA
"738",102434,"2000",NA,NA
"739",102434,"2000",99,164
"740",102434,"1996",414,696
"741",102434,"2009",115,208
"743",102434,"2008",NA,NA
"746",102434,"2006",463,882
"747",102434,"2003",NA,NA
"748",102434,"1993",94,198
"750",102434,"2002",295,530
"752",102434,"2007",433,707
"753",102434,"2010",8,16
"755",102434,"2006",283,493
"758",102434,"1998",398,656
"760",102434,"1996",NA,NA
"763",102434,"1997",463,884
"772",102450,"1994",64,124
"774",102450,"2000",NA,NA
"775",102450,"2002",NA,NA
"777",102450,"1997",NA,NA
"781",102450,"1998",NA,NA
"782",102450,"2007",216,372
"783",102450,"2005",330,525
"784",102450,"2006",293,596
"785",102450,"1996",NA,NA
"787",102450,"2006",468,776
"790",102456,"1996",323,625
"794",102456,"2000",205,424
"798",102456,"2002",322,621
"804",102456,"1998",NA,NA
"809",102456,"2005",246,490
"811",102494,"2003",164,267
"812",102494,"2003",NA,NA
"813",102494,"2001",56,89
"816",102494,"2001",127,243
"818",102494,"2005",167,344
"822",102494,"2006",79,142
"827",102494,"1997",13,24
"828",102494,"1999",20,30
"830",102496,"2004",NA,NA
"834",102497,"2002",9,18
"840",102497,"1999",25,42
"842",102512,"2008",32,62
"844",102512,"1999",32,66
"847",102512,"2009",38,81
"848",102512,"2006",10,18
"852",102538,"1998",NA,NA
"855",102538,"1995",NA,NA
"859",102538,"2000",NA,NA
"862",102538,"2003",NA,NA
"863",102538,"2001",NA,NA
"868",102539,"2004",259,494
"871",102539,"2004",151,241
"876",102539,"1995",NA,NA
"881",102539,"1996",626,1056
"882",102539,"1999",268,467
"883",102539,"2002",NA,NA
"888",102539,"1999",NA,NA
"892",102548,"2001",NA,NA
"894",102548,"1997",193,376
"897",102548,"2003",25,54
"900",102548,"2002",55,99
"901",102548,"2005",72,145
"906",102548,"2002",63,150
"910",102556,"1995",NA,NA
"913",102556,"2003",NA,NA
"914",102556,"2001",NA,NA
"919",102556,"1998",NA,NA
"920",102558,"1999",20,27
"922",102558,"2005",14,21
"925",102558,"2002",34,58
"927",102558,"1999",25,42
"930",102558,"2000",NA,NA
"932",102558,"2008",NA,NA
"934",102562,"1997",NA,NA
"939",102562,"2002",NA,NA
"942",102562,"2006",180,347
"945",102562,"2006",NA,NA
"946",102562,"2005",NA,NA
"947",102562,"1993",6,14
"949",102562,"1996",NA,NA
"952",102563,"2002",NA,NA
"953",102563,"1994",47,95
"955",102563,"2007",NA,NA
"957",102563,"1998",NA,NA
"958",102563,"1993",50,87
"964",102563,"2009",NA,NA
"969",102563,"1995",12,20
"971",102563,"1995",46,91
"978",102565,"2005",155,278
"979",102565,"2007",117,217
"981",102565,"2003",41,64
"985",102567,"2005",NA,NA
"988",102567,"2009",10,24
"989",102567,"2002",61,109
"991",102567,"2000",NA,NA
"994",102567,"1999",NA,NA
"995",102567,"2007",14,31
"999",102567,"2006",NA,NA
"1000",102567,"2002",101,194
"1003",102567,"2008",28,45
"1012",102571,"1997",15,29
"1014",102571,"2002",83,157
"1015",102571,"1996",56,104
"1021",102585,"2000",27,56
"1022",102585,"1996",19,31
"1030",102610,"1997",NA,NA
"1031",102610,"1999",305,589
"1037",102610,"1993",31,44
"1038",102610,"2006",22,39
"1041",102610,"2006",17,36
"1042",102610,"2004",NA,NA
"1045",102610,"1995",355,588
"1048",102610,"1998",NA,NA
"1052",102610,"2002",574,987
"1055",102615,"1992",21,34
"1059",102615,"2001",46,95
"1063",102615,"1993",10,21
"1064",102615,"2007",19,29
"1074",102615,"1999",77,143
"1078",102630,"2002",41,72
"1080",102630,"2005",NA,NA
"1087",102642,"2001",NA,NA
"1092",102642,"2000",86,145
"1097",102642,"2007",13,17
"1108",102655,"2004",NA,NA
"1125",102667,"2006",18,24
"1127",102667,"1998",10,13
"1133",102694,"2002",257,416
"1140",102694,"2006",75,129
"1145",102694,"2004",147,257
"1147",102694,"2007",12,20
"1149",102694,"1994",31,58
"1157",102696,"2007",NA,NA
"1159",102703,"2000",NA,NA
"1160",102703,"2007",320,640
"1167",102703,"2009",NA,NA
"1170",102703,"1998",NA,NA
"1175",102703,"2001",NA,NA
"1177",102720,"2004",45,63
"1180",102720,"2006",NA,NA
"1197",102730,"2005",32,56
"1199",102730,"1998",90,147
"1210",102730,"1998",NA,NA
"1212",102737,"1999",NA,NA
"1220",102740,"2006",NA,NA
"1221",102740,"2000",NA,NA
"1222",102740,"2004",NA,NA
"1230",102770,"2001",69,172
"1232",102770,"2004",NA,NA
"1242",102770,"1997",137,232
"1243",102770,"2001",NA,NA
"1244",102780,"1997",14,30
"1245",102780,"2003",NA,NA
"1246",102780,"2004",22,37
"1247",102780,"2009",NA,NA
"1248",102780,"2001",NA,NA
"1249",102780,"2004",NA,NA
"1250",102780,"2000",19,31
"1251",102780,"2005",NA,NA
"1252",102780,"2009",12,21
"1253",102780,"2000",NA,NA
"1254",102780,"2002",13,24
"1255",102780,"2003",31,45
"1256",102780,"1998",15,25
"1257",102780,"2008",NA,NA
"1258",102780,"2002",NA,NA
"1259",102780,"1999",NA,NA
"1260",102780,"2007",NA,NA
"1261",102783,"1998",179,300
"1262",102783,"1999",329,532
"1263",102783,"2007",225,442
"1264",102783,"2008",300,586
"1265",102783,"2006",NA,NA
"1266",102783,"2002",NA,NA
"1267",102783,"1995",11,19
"1268",102783,"2000",NA,NA
"1269",102783,"2010",NA,NA
"1270",102783,"1998",169,346
"1271",102783,"2007",143,247
"1272",102783,"1997",68,102
"1273",102783,"2001",584,897
"1274",102783,"2005",357,727
"1275",102783,"2005",NA,NA
"1276",102783,"2011",65,111
"1277",102783,"2011",208,409
"1278",102783,"2008",434,723
"1279",102783,"2010",294,550
"1280",102783,"2009",NA,NA
"1281",102783,"2003",NA,NA
"1282",102783,"1999",NA,NA
"1283",102783,"1997",23,47
"1284",102783,"2004",NA,NA
"1285",102783,"2001",523,1016
"1286",102785,"2006",12,20
"1287",102785,"2004",108,174
"1288",102785,"2001",60,94
"1289",102785,"1997",32,46
"1290",102785,"1996",29,54
"1291",102785,"2001",35,76
"1292",102785,"2005",24,43
"1293",102785,"1998",22,35
"1294",102785,"2003",9,24
"1295",102785,"2002",20,34
"1296",102785,"1998",15,24
"1297",102785,"2004",104,221
"1298",102785,"2005",51,102
"1299",102785,"2000",13,20
"1300",102785,"1997",47,72
"1301",102788,"2003",188,377
"1302",102788,"2005",5,9
"1303",102788,"2005",18,32
"1304",102788,"2006",29,40
"1305",102788,"2008",14,28
"1306",102788,"2003",88,147
"1307",102788,"2004",67,112
"1308",102788,"2007",4,15
"1309",102788,"2002",NA,NA
"1311",102788,"2001",117,234
"1313",102788,"2004",171,341
"1314",102788,"2001",149,249
"1315",102788,"2002",188,308
"1316",102788,"2007",14,21
"1317",102800,"1996",NA,NA
"1318",102800,"1999",53,95
"1319",102800,"1998",NA,NA
"1320",102800,"2004",NA,NA
"1321",102800,"1999",27,68
"1322",102800,"2001",21,32
"1323",102800,"2013",NA,NA
"1324",102800,"2008",NA,NA
"1325",102800,"2001",NA,NA
"1326",102800,"2002",NA,NA
"1327",102800,"2006",27,52
"1328",102800,"2004",23,40
"1329",102800,"2005",14,23
"1330",102800,"1997",NA,NA
"1331",102800,"2017",NA,NA
"1332",102800,"2005",16,23
"1333",102800,"2007",14,20
"1334",102800,"2003",24,63
"1336",102802,"2003",NA,NA
"1337",102802,"2005",NA,NA
"1338",102802,"1997",NA,NA
"1339",102802,"2002",NA,NA
"1340",102811,"2006",23,41
"1341",102811,"2001",NA,NA
"1342",102811,"1996",NA,NA
"1343",102811,"2003",9,17
"1344",102811,"2007",12,16
"1345",102811,"2008",23,38
"1346",102811,"2004",NA,NA
"1347",102811,"2003",NA,NA
"1348",102811,"2007",91,145
"1349",102811,"1998",NA,NA
"1350",102811,"2005",24,43
"1351",102811,"1999",NA,NA
"1352",102811,"2005",46,74
"1353",102811,"2006",52,78
"1354",102811,"2002",NA,NA
"1355",102811,"2008",15,26
"1356",102812,"2008",NA,NA
"1357",102812,"1999",NA,NA
"1358",102812,"2001",NA,NA
"1359",102812,"1998",NA,NA
"1360",102812,"2005",NA,NA
"1361",102812,"1997",NA,NA
"1362",102812,"2003",NA,NA
"1363",102812,"2000",NA,NA
"1364",102821,"2001",321,653
"1365",102821,"1999",NA,NA
"1366",102821,"2004",23,43
"1367",102821,"2009",NA,NA
"1368",102821,"2000",193,390
"1369",102821,"1996",88,156
"1370",102821,"2003",40,71
"1371",102821,"2000",101,166
"1372",102821,"1999",289,614
"1373",102821,"1997",100,218
"1374",102821,"2005",7,9
"1375",102821,"2010",NA,NA
"1376",102821,"1997",32,59
"1377",102821,"2001",179,293
"1378",102821,"2005",26,44
"1379",102821,"2008",NA,NA
"1380",102821,"1998",17,28
"1381",102821,"2004",49,88
"1382",102821,"2003",155,336
"1383",102821,"2011",NA,NA
"1384",102821,"2002",235,457
"1385",102821,"2007",NA,NA
"1386",102821,"2002",167,273
"1387",102826,"2009",NA,NA
"1388",102826,"1993",NA,NA
"1389",102826,"1998",NA,NA
"1390",102826,"1994",NA,NA
"1391",102826,"1995",NA,NA
"1392",102826,"1999",NA,NA
"1393",102826,"2004",NA,NA
"1394",102830,"2003",NA,NA
"1395",102830,"2004",NA,NA
"1396",102830,"2001",NA,NA
"1397",102830,"1999",NA,NA
"1398",102830,"2000",NA,NA
"1399",102830,"2010",NA,NA
"1400",102834,"2001",75,119
"1401",102834,"2005",186,313
"1402",102834,"1998",51,88
"1403",102834,"1996",21,37
"1404",102834,"2005",192,401
"1405",102834,"1999",201,377
"1406",102834,"2006",221,364
"1407",102834,"2007",118,201
"1408",102834,"2006",289,609
"1409",102834,"2004",65,110
"1410",102834,"2007",175,355
"1411",102834,"1995",14,29
