"","player_id","year","second_won","second_serve"
"9414",105223,"2008",NA,NA
"9415",105223,"2016",481,798
"9416",105223,"2018",174,343
"9417",105223,"2014",106,169
"9418",105223,"2006",95,156
"9419",105223,"2006",129,232
"9420",105223,"2009",221,454
"9421",105223,"2016",166,323
"9422",105223,"2010",60,120
"9423",105223,"2009",NA,NA
"9424",105223,"2010",78,153
"9425",105223,"2015",30,47
"9426",105223,"2013",NA,NA
"9427",105223,"2019",NA,NA
"9428",105223,"2019",121,208
"9429",105223,"2018",NA,NA
"9430",105223,"2013",280,520
"9431",105223,"2022",7,17
"9432",105226,"2020",111,203
"9433",105226,"2010",NA,NA
"9434",105226,"2022",20,56
"9435",105226,"2017",65,115
"9436",105226,"2017",20,33
"9437",105226,"2012",NA,NA
"9438",105226,"2011",NA,NA
"9439",105226,"2023",9,26
"9440",105226,"2019",NA,NA
"9441",105226,"2018",38,66
"9442",105226,"2021",32,59
"9443",105226,"2009",NA,NA
"9444",105226,"2013",NA,NA
"9445",105226,"2020",108,173
"9446",105227,"2020",189,360
"9447",105227,"2023",NA,NA
"9448",105227,"2008",NA,NA
"9449",105227,"2012",NA,NA
"9450",105227,"2005",14,29
"9451",105227,"2023",9,19
"9452",105227,"2006",115,205
"9453",105227,"2024",98,167
"9454",105227,"2013",NA,NA
"9455",105227,"2010",NA,NA
"9456",105227,"2019",414,697
"9457",105227,"2022",NA,NA
"9458",105227,"2017",NA,NA
"9459",105227,"2015",327,630
"9460",105227,"2017",411,786
"9461",105227,"2009",NA,NA
"9462",105227,"2008",713,1141
"9463",105227,"2021",NA,NA
"9464",105227,"2015",674,1156
"9465",105227,"2020",NA,NA
"9466",105227,"2016",512,959
"9467",105227,"2006",NA,NA
"9468",105227,"2014",NA,NA
"9469",105227,"2018",NA,NA
"9470",105227,"2019",NA,NA
"9471",105227,"2016",891,1466
"9472",105227,"2024",176,323
"9473",105227,"2014",317,691
"9474",105227,"2018",395,712
"9475",105227,"2011",NA,NA
"9476",105227,"2007",NA,NA
"9477",105229,"2011",NA,NA
"9478",105229,"2005",9,18
"9479",105229,"2006",NA,NA
"9480",105229,"2016",7,19
"9481",105229,"2007",13,29
"9482",105229,"2015",8,12
"9483",105229,"2010",5,24
"9484",105231,"2008",8,21
"9485",105231,"2006",8,18
"9486",105231,"2007",16,30
"9487",105233,"2013",13,20
"9488",105238,"2017",458,765
"9489",105238,"2018",98,171
"9490",105238,"2016",300,491
"9491",105238,"2009",4,7
"9492",105238,"2012",637,1074
"9493",105238,"2011",440,927
"9494",105238,"2009",6,15
"9495",105238,"2007",NA,NA
"9496",105238,"2011",838,1380
"9497",105238,"2018",85,167
"9498",105238,"2010",417,767
"9499",105238,"2014",NA,NA
"9500",105238,"2013",NA,NA
"9501",105238,"2015",445,842
"9502",105238,"2012",514,988
"9503",105238,"2015",NA,NA
"9504",105238,"2006",NA,NA
"9505",105238,"2014",495,828
"9506",105238,"2016",NA,NA
"9507",105238,"2010",426,720
"9508",105238,"2017",371,687
"9509",105239,"2013",NA,NA
"9510",105239,"2014",NA,NA
"9511",105239,"2015",NA,NA
"9512",105245,"2014",8,15
"9513",105250,"2017",7,25
"9514",105250,"2015",NA,NA
"9515",105252,"2005",1,10
"9516",105254,"2011",11,21
"9517",105254,"2015",10,21
"9518",105254,"2009",12,25
"9519",105254,"2016",13,25
"9520",105254,"2013",6,16
"9521",105254,"2019",10,21
"9522",105254,"2015",12,20
"9523",105254,"2017",25,54
"9524",105254,"2016",48,90
"9525",105254,"2011",NA,NA
"9526",105255,"2012",NA,NA
"9527",105255,"2013",NA,NA
"9528",105259,"2009",NA,NA
"9529",105259,"2004",NA,NA
"9530",105259,"2008",NA,NA
"9531",105259,"2007",NA,NA
"9532",105261,"2007",NA,NA
"9533",105262,"2011",11,21
"9534",105269,"2015",13,18
"9535",105269,"2015",11,23
"9536",105269,"2023",NA,NA
"9537",105270,"2011",14,31
"9538",105270,"2012",27,54
"9539",105270,"2015",8,17
"9540",105270,"2011",21,43
"9541",105270,"2013",22,51
"9542",105271,"2016",5,10
"9543",105271,"2013",NA,NA
"9544",105271,"2017",18,31
"9545",105271,"2024",11,16
"9546",105271,"2014",NA,NA
"9547",105271,"2015",NA,NA
"9548",105271,"2017",12,12
"9549",105273,"2015",NA,NA
"9550",105273,"2011",NA,NA
"9551",105273,"2013",NA,NA
"9552",105273,"2005",NA,NA
"9553",105273,"2004",NA,NA
"9554",105273,"2014",NA,NA
"9555",105273,"2018",NA,NA
"9556",105273,"2016",NA,NA
"9557",105273,"2009",NA,NA
"9558",105273,"2012",NA,NA
"9559",105273,"2010",NA,NA
"9560",105273,"2017",11,22
"9561",105273,"2008",NA,NA
"9562",105273,"2007",NA,NA
"9563",105278,"2022",8,15
"9564",105278,"2013",NA,NA
"9565",105281,"2015",15,23
"9566",105283,"2013",18,33
"9567",105283,"2012",5,15
"9568",105283,"2011",18,37
"9569",105284,"2010",NA,NA
"9570",105286,"2012",21,48
"9571",105286,"2008",10,20
"9572",105286,"2013",21,23
"9573",105286,"2013",9,15
"9574",105286,"2011",43,87
"9575",105288,"2011",NA,NA
"9576",105292,"2013",NA,NA
"9577",105292,"2022",6,16
"9578",105292,"2014",NA,NA
"9579",105292,"2016",77,161
"9580",105292,"2019",7,16
"9581",105292,"2015",141,289
"9582",105292,"2018",NA,NA
"9583",105292,"2015",NA,NA
"9584",105292,"2019",14,18
"9585",105292,"2017",31,57
"9586",105294,"2012",20,38
"9587",105299,"2014",NA,NA
"9588",105299,"2015",NA,NA
"9589",105299,"2017",50,105
"9590",105299,"2012",NA,NA
"9591",105299,"2018",11,25
"9592",105299,"2013",NA,NA
"9593",105300,"2011",10,31
"9594",105300,"2012",13,31
"9595",105300,"2012",28,49
"9596",105302,"2013",9,20
"9597",105302,"2016",8,14
"9598",105302,"2015",33,69
"9599",105302,"2014",40,62
"9600",105302,"2017",17,36
"9601",105302,"2014",85,174
"9602",105302,"2016",26,40
"9603",105305,"2009",NA,NA
"9604",105305,"2010",NA,NA
"9605",105311,"2011",NA,NA
"9606",105311,"2018",354,723
"9607",105311,"2023",NA,NA
"9608",105311,"2022",NA,NA
"9609",105311,"2022",264,531
"9610",105311,"2021",NA,NA
"9611",105311,"2016",393,691
"9612",105311,"2008",NA,NA
"9613",105311,"2019",NA,NA
"9614",105311,"2010",NA,NA
"9615",105311,"2018",511,871
"9616",105311,"2020",148,279
"9617",105311,"2017",403,699
"9618",105311,"2024",22,45
"9619",105311,"2013",NA,NA
"9620",105311,"2009",NA,NA
"9621",105311,"2016",413,873
"9622",105311,"2017",535,1042
"9623",105311,"2014",NA,NA
"9624",105311,"2012",NA,NA
"9625",105311,"2015",NA,NA
"9626",105311,"2020",8,13
"9627",105311,"2021",32,48
"9628",105318,"2011",NA,NA
"9629",105318,"2010",7,20
"9630",105318,"2011",22,29
"9631",105318,"2012",NA,NA
"9632",105325,"2015",13,34
"9633",105331,"2009",28,57
"9634",105331,"2012",NA,NA
"9635",105332,"2022",115,187
"9636",105332,"2010",42,78
"9637",105332,"2019",461,956
"9638",105332,"2014",313,651
"9639",105332,"2015",292,601
"9640",105332,"2018",562,1021
"9641",105332,"2020",194,407
"9642",105332,"2022",352,766
"9643",105332,"2017",542,918
"9644",105332,"2013",589,1048
"9645",105332,"2020",221,387
"9646",105332,"2016",608,1240
"9647",105332,"2017",491,1052
"9648",105332,"2010",93,184
"9649",105332,"2019",633,1054
"9650",105332,"2015",522,907
"9651",105332,"2011",111,209
"9652",105332,"2012",589,1030
"9653",105332,"2018",491,1017
"9654",105332,"2024",43,81
"9655",105332,"2011",168,355
"9656",105332,"2013",496,1047
"9657",105332,"2021",235,376
"9658",105332,"2014",206,358
"9659",105332,"2016",496,894
"9660",105332,"2023",72,141
"9661",105332,"2024",30,70
"9662",105332,"2012",471,1001
"9663",105332,"2021",411,900
"9664",105334,"2020",17,29
"9665",105334,"2009",NA,NA
"9666",105334,"2015",NA,NA
"9667",105334,"2017",35,53
"9668",105334,"2016",48,71
"9669",105334,"2013",NA,NA
"9670",105334,"2012",NA,NA
"9671",105334,"2019",NA,NA
"9672",105334,"2017",NA,NA
"9673",105334,"2010",NA,NA
"9674",105334,"2016",29,46
"9675",105334,"2011",NA,NA
"9676",105336,"2012",14,28
"9677",105339,"2010",15,30
"9678",105339,"2008",NA,NA
"9679",105339,"2015",9,16
"9680",105339,"2015",30,65
"9681",105339,"2010",13,21
"9682",105339,"2014",15,24
"9683",105339,"2019",NA,NA
"9684",105341,"2018",178,338
"9685",105341,"2022",8,18
"9686",105341,"2015",23,50
"9687",105341,"2016",119,253
"9688",105341,"2021",45,76
"9689",105341,"2017",64,105
"9690",105341,"2010",17,31
"9691",105341,"2018",147,241
"9692",105341,"2017",155,298
"9693",105341,"2020",5,17
"9694",105341,"2008",18,28
"9695",105341,"2019",275,505
"9696",105341,"2013",17,30
"9697",105341,"2016",52,92
"9698",105341,"2019",195,313
"9699",105349,"2018",20,51
"9700",105349,"2020",8,14
"9701",105349,"2016",36,72
"9702",105349,"2008",NA,NA
"9703",105349,"2012",NA,NA
"9704",105349,"2013",NA,NA
"9705",105349,"2016",42,93
"9706",105349,"2011",NA,NA
"9707",105349,"2010",NA,NA
"9708",105349,"2018",NA,NA
"9709",105349,"2017",22,40
"9710",105349,"2019",NA,NA
"9711",105357,"2012",11,19
"9712",105357,"2020",259,490
"9713",105357,"2018",285,576
"9714",105357,"2012",24,47
"9715",105357,"2022",273,485
"9716",105357,"2015",142,284
"9717",105357,"2016",341,580
"9718",105357,"2015",65,102
"9719",105357,"2013",12,17
"9720",105357,"2013",49,94
"9721",105357,"2016",333,607
"9722",105357,"2011",6,15
"9723",105357,"2021",NA,NA
"9724",105357,"2018",371,588
"9725",105357,"2023",20,46
"9726",105357,"2020",344,578
"9727",105357,"2023",45,83
"9728",105357,"2017",115,229
"9729",105357,"2010",10,21
"9730",105357,"2017",60,105
"9731",105357,"2022",173,258
"9732",105357,"2019",322,538
"9733",105357,"2019",490,869
"9734",105359,"2020",59,137
"9735",105359,"2017",62,100
"9736",105359,"2020",53,79
"9737",105359,"2018",37,63
"9738",105359,"2022",NA,NA
"9739",105359,"2019",NA,NA
"9740",105359,"2023",16,36
"9741",105359,"2023",21,32
"9742",105359,"2018",35,57
"9743",105359,"2019",87,153
"9744",105359,"2021",29,54
"9745",105359,"2021",29,57
"9746",105367,"2004",NA,NA
"9747",105367,"2010",NA,NA
"9748",105367,"2012",NA,NA
"9749",105367,"2005",NA,NA
"9750",105367,"2011",NA,NA
"9751",105372,"2011",NA,NA
"9752",105372,"2013",NA,NA
"9753",105373,"2014",NA,NA
"9754",105373,"2012",NA,NA
"9755",105373,"2017",170,284
"9756",105373,"2018",315,499
"9757",105373,"2020",30,59
"9758",105373,"2016",245,469
"9759",105373,"2017",218,410
"9760",105373,"2011",NA,NA
"9761",105373,"2015",380,764
"9762",105373,"2016",211,347
"9763",105373,"2013",399,760
"9764",105373,"2010",NA,NA
"9765",105373,"2007",NA,NA
"9766",105373,"2019",NA,NA
"9767",105373,"2009",13,32
"9768",105373,"2018",118,232
"9769",105373,"2019",190,320
"9770",105373,"2013",249,418
"9771",105373,"2007",14,24
"9772",105373,"2015",NA,NA
"9773",105376,"2012",22,47
"9774",105376,"2022",NA,NA
"9775",105376,"2019",197,339
"9776",105376,"2017",162,343
"9777",105376,"2013",90,147
"9778",105376,"2016",19,32
"9779",105376,"2019",310,636
"9780",105376,"2014",NA,NA
"9781",105376,"2020",28,43
"9782",105376,"2021",262,451
"9783",105376,"2018",462,745
"9784",105376,"2021",172,333
"9785",105376,"2017",249,422
"9786",105376,"2020",56,107
"9787",105376,"2016",29,63
"9788",105376,"2015",51,96
"9789",105376,"2010",18,30
"9790",105376,"2018",346,737
"9791",105376,"2013",47,95
"9792",105376,"2022",208,402
"9793",105376,"2015",13,21
"9794",105379,"2014",63,112
"9795",105379,"2016",323,655
"9796",105379,"2013",310,594
"9797",105379,"2015",329,580
"9798",105379,"2018",NA,NA
"9799",105379,"2010",NA,NA
"9800",105379,"2020",157,332
"9801",105379,"2012",50,117
"9802",105379,"2013",149,248
"9803",105379,"2022",NA,NA
"9804",105379,"2014",121,278
"9805",105379,"2021",289,513
"9806",105379,"2016",233,385
"9807",105379,"2022",180,368
"9808",105379,"2018",331,701
"9809",105379,"2017",261,522
"9810",105379,"2012",NA,NA
"9811",105379,"2019",NA,NA
"9812",105379,"2021",253,479
"9813",105379,"2011",7,13
"9814",105379,"2011",NA,NA
"9815",105379,"2017",336,542
"9816",105379,"2015",240,513
"9817",105379,"2020",215,367
"9818",105385,"2006",32,66
"9819",105385,"2017",317,605
"9820",105385,"2011",228,439
"9821",105385,"2012",321,672
"9822",105385,"2014",NA,NA
"9823",105385,"2009",69,132
"9824",105385,"2007",NA,NA
"9825",105385,"2007",52,105
"9826",105385,"2011",291,440
"9827",105385,"2015",NA,NA
"9828",105385,"2012",82,151
"9829",105385,"2010",47,85
"9830",105385,"2013",40,86
"9831",105385,"2021",11,24
"9832",105385,"2019",18,36
"9833",105385,"2016",302,482
"9834",105385,"2018",160,288
"9835",105385,"2014",290,468
"9836",105385,"2010",83,162
"9837",105385,"2005",79,159
"9838",105385,"2008",119,203
"9839",105385,"2018",55,75
"9840",105385,"2017",NA,NA
"9841",105385,"2008",325,612
"9842",105385,"2016",318,604
"9843",105385,"2013",14,16
"9844",105386,"2009",NA,NA
"9845",105386,"2013",NA,NA
"9846",105386,"2008",NA,NA
"9847",105386,"2014",NA,NA
"9848",105386,"2012",NA,NA
"9849",105394,"2009",NA,NA
"9850",105394,"2008",NA,NA
"9851",105394,"2007",NA,NA
"9852",105401,"2015",14,28
"9853",105402,"2010",NA,NA
"9854",105402,"2007",5,17
"9855",105402,"2009",NA,NA
"9856",105402,"2011",NA,NA
"9857",105402,"2012",6,14
"9858",105404,"2007",15,40
"9859",105404,"2012",11,18
"9860",105404,"2012",16,34
"9861",105406,"2021",21,46
"9862",105406,"2020",9,19
"9863",105406,"2021",12,15
"9864",105406,"2017",9,23
"9865",105406,"2020",32,47
"9866",105408,"2011",NA,NA
"9867",105408,"2010",NA,NA
"9868",105413,"2014",NA,NA
"9869",105413,"2010",7,16
"9870",105413,"2018",41,67
"9871",105413,"2022",11,21
"9872",105413,"2016",NA,NA
"9873",105413,"2017",11,19
"9874",105413,"2020",52,84
"9875",105413,"2019",5,15
"9876",105413,"2020",167,314
"9877",105413,"2018",23,53
"9878",105413,"2019",NA,NA
"9879",105413,"2021",114,191
"9880",105413,"2016",54,110
"9881",105413,"2013",NA,NA
"9882",105413,"2021",137,273
"9883",105413,"2014",12,21
"9884",105413,"2017",30,54
"9885",105419,"2007",NA,NA
"9886",105426,"2016",14,39
"9887",105427,"2013",10,23
"9888",105428,"2015",NA,NA
"9889",105428,"2011",NA,NA
"9890",105430,"2015",NA,NA
"9891",105430,"2023",92,168
"9892",105430,"2017",180,301
"9893",105430,"2023",160,320
"9894",105430,"2019",493,776
"9895",105430,"2019",351,673
"9896",105430,"2018",298,574
"9897",105430,"2014",NA,NA
"9898",105430,"2022",151,288
"9899",105430,"2016",164,314
"9900",105430,"2021",94,158
"9901",105430,"2014",32,74
"9902",105430,"2013",NA,NA
"9903",105430,"2009",NA,NA
"9904",105430,"2020",NA,NA
"9905",105430,"2022",137,233
"9906",105430,"2024",114,205
"9907",105430,"2021",191,390
"9908",105430,"2016",58,101
"9909",105430,"2017",259,478
"9910",105430,"2020",111,181
"9911",105430,"2018",218,345
"9912",105430,"2024",75,123
"9913",105430,"2012",NA,NA
"9914",105431,"2014",NA,NA
"9915",105431,"2010",NA,NA
"9916",105431,"2013",NA,NA
"9917",105431,"2011",NA,NA
"9918",105431,"2009",NA,NA
"9919",105432,"2020",17,23
"9920",105432,"2022",NA,NA
"9921",105432,"2020",47,104
"9922",105432,"2018",24,41
"9923",105432,"2017",18,29
"9924",105432,"2018",61,131
"9925",105432,"2021",7,12
"9926",105432,"2019",181,343
"9927",105432,"2019",86,137
"9928",105432,"2021",31,57
"9929",105432,"2017",15,25
"9930",105432,"2023",NA,NA
"9931",105434,"2015",NA,NA
"9932",105434,"2020",19,28
"9933",105434,"2013",NA,NA
"9934",105434,"2021",15,17
"9935",105434,"2012",NA,NA
"9936",105434,"2019",NA,NA
"9937",105434,"2014",NA,NA
"9938",105436,"2012",NA,NA
"9939",105436,"2018",19,38
"9940",105436,"2019",NA,NA
"9941",105436,"2013",NA,NA
"9942",105436,"2017",7,11
"9943",105436,"2018",31,61
"9944",105436,"2015",9,19
"9945",105436,"2014",6,19
"9946",105438,"2016",400,780
"9947",105438,"2015",14,31
"9948",105438,"2014",43,76
"9949",105438,"2012",48,96
"9950",105438,"2014",39,81
"9951",105438,"2012",52,90
"9952",105438,"2016",256,433
"9953",105438,"2017",16,30
"9954",105438,"2010",8,21
"9955",105440,"2009",13,29
"9956",105441,"2013",17,32
"9957",105441,"2016",50,94
"9958",105441,"2020",13,27
"9959",105441,"2016",23,36
"9960",105441,"2021",15,35
"9961",105441,"2015",92,194
"9962",105441,"2015",41,58
"9963",105441,"2018",46,86
"9964",105441,"2017",50,86
"9965",105441,"2014",25,48
"9966",105442,"2010",NA,NA
"9967",105442,"2013",NA,NA
"9968",105448,"2017",13,27
"9969",105448,"2014",NA,NA
"9970",105449,"2022",280,524
"9971",105449,"2017",NA,NA
"9972",105449,"2024",14,28
"9973",105449,"2013",229,436
"9974",105449,"2014",NA,NA
"9975",105449,"2011",46,85
"9976",105449,"2016",413,794
"9977",105449,"2012",75,132
"9978",105449,"2014",316,610
"9979",105449,"2021",253,459
"9980",105449,"2015",NA,NA
"9981",105449,"2021",238,380
"9982",105449,"2017",527,820
"9983",105449,"2020",116,247
"9984",105449,"2012",77,132
"9985",105449,"2013",75,117
"9986",105449,"2016",522,817
"9987",105449,"2022",NA,NA
"9988",105449,"2018",430,800
"9989",105449,"2010",16,31
"9990",105449,"2019",379,684
"9991",105449,"2018",467,723
"9992",105449,"2023",58,126
"9993",105449,"2020",141,236
"9994",105449,"2019",233,389
"9995",105449,"2023",27,45
"9996",105450,"2015",NA,NA
"9997",105450,"2017",9,25
"9998",105450,"2014",NA,NA
"9999",105453,"2008",NA,NA
"10000",105453,"2014",NA,NA
"10001",105453,"2010",82,145
"10002",105453,"2023",9,19
"10003",105453,"2013",NA,NA
"10004",105453,"2013",230,455
"10005",105453,"2010",91,191
"10006",105453,"2019",455,771
"10007",105453,"2009",NA,NA
"10008",105453,"2007",53,77
"10009",105453,"2024",126,215
"10010",105453,"2023",27,44
"10011",105453,"2021",NA,NA
"10012",105453,"2020",64,111
"10013",105453,"2012",NA,NA
"10014",105453,"2019",238,431
"10015",105453,"2016",NA,NA
"10016",105453,"2009",70,140
"10017",105453,"2016",1054,1689
"10018",105453,"2015",NA,NA
"10019",105453,"2011",298,552
"10020",105453,"2011",NA,NA
"10021",105453,"2007",54,124
"10022",105453,"2024",NA,NA
"10023",105453,"2020",45,78
"10024",105453,"2017",511,895
"10025",105453,"2018",838,1329
"10026",105453,"2017",NA,NA
"10027",105453,"2018",296,576
"10028",105454,"2017",39,84
"10029",105454,"2009",NA,NA
"10030",105454,"2017",18,35
"10031",105454,"2008",26,43
"10032",105454,"2009",38,61
"10033",105454,"2015",10,20
"10034",105454,"2016",31,58
"10035",105456,"2009",NA,NA
"10036",105456,"2010",NA,NA
"10037",105456,"2014",NA,NA
"10038",105456,"2013",NA,NA
"10039",105456,"2011",NA,NA
"10040",105463,"2014",NA,NA
"10041",105463,"2008",NA,NA
"10042",105464,"2012",NA,NA
"10043",105464,"2007",NA,NA
"10044",105464,"2016",31,45
"10045",105464,"2009",NA,NA
"10046",105464,"2014",NA,NA
"10047",105464,"2015",NA,NA
"10048",105464,"2013",NA,NA
"10049",105464,"2023",NA,NA
"10050",105464,"2010",NA,NA
"10051",105464,"2011",NA,NA
"10052",105464,"2020",NA,NA
"10053",105464,"2008",NA,NA
"10054",105467,"2018",12,18
"10055",105467,"2020",8,12
"10056",105467,"2015",NA,NA
"10057",105467,"2016",26,62
"10058",105467,"2017",21,30
"10059",105467,"2017",1,4
"10060",105471,"2014",NA,NA
"10061",105471,"2012",NA,NA
"10062",105471,"2009",NA,NA
"10063",105471,"2013",1,5
"10064",105471,"2008",NA,NA
"10065",105471,"2011",NA,NA
"10066",105471,"2010",NA,NA
"10067",105472,"2013",15,22
"10068",105472,"2013",21,39
"10069",105477,"2021",32,58
"10070",105477,"2018",102,162
"10071",105477,"2024",58,98
"10072",105477,"2020",13,24
"10073",105477,"2013",12,30
"10074",105477,"2021",44,86
"10075",105477,"2023",16,29
"10076",105477,"2013",13,24
"10077",105477,"2018",34,83
"10078",105477,"2016",44,76
"10079",105477,"2019",32,66
"10080",105477,"2016",80,136
"10081",105477,"2022",34,72
"10082",105477,"2019",47,81
"10083",105477,"2024",50,104
"10084",105477,"2012",24,51
"10085",105477,"2012",18,28
"10086",105477,"2017",41,63
"10087",105477,"2017",33,73
"10088",105479,"2018",NA,NA
"10089",105482,"2013",NA,NA
"10090",105487,"2023",NA,NA
"10091",105487,"2018",66,104
"10092",105487,"2015",40,82
"10093",105487,"2016",94,137
"10094",105487,"2024",45,79
"10095",105487,"2012",22,33
"10096",105487,"2023",27,44
"10097",105487,"2020",10,16
"10098",105487,"2017",53,87
"10099",105487,"2022",92,140
"10100",105487,"2015",45,64
"10101",105487,"2019",29,49
"10102",105487,"2014",58,96
"10103",105487,"2021",NA,NA
"10104",105487,"2021",189,313
"10105",105487,"2018",32,51
"10106",105487,"2012",17,33
"10107",105487,"2022",236,465
"10108",105487,"2024",70,125
"10109",105487,"2016",130,262
"10110",105487,"2014",48,104
"10111",105487,"2011",32,54
"10112",105487,"2019",62,115
"10113",105487,"2020",71,118
"10114",105487,"2017",170,329
"10115",105488,"2010",NA,NA
"10116",105488,"2012",NA,NA
"10117",105488,"2009",NA,NA
"10118",105490,"2015",NA,NA
"10119",105490,"2016",11,14
"10120",105490,"2016",17,37
"10121",105490,"2014",NA,NA
"10122",105493,"2013",NA,NA
"10123",105493,"2012",NA,NA
"10124",105493,"2011",NA,NA
"10125",105493,"2017",21,42
"10126",105493,"2016",29,50
"10127",105493,"2016",12,17
"10128",105493,"2018",13,36
"10129",105493,"2015",NA,NA
"10130",105493,"2019",NA,NA
"10131",105497,"2018",9,19
"10132",105497,"2014",NA,NA
"10133",105497,"2009",NA,NA
"10134",105497,"2010",NA,NA
"10135",105497,"2015",NA,NA
"10136",105497,"2018",27,45
"10137",105497,"2017",23,45
"10138",105497,"2020",7,13
"10139",105497,"2019",NA,NA
"10140",105497,"2007",NA,NA
"10141",105497,"2013",NA,NA
"10142",105497,"2016",10,21
"10143",105497,"2012",NA,NA
"10144",105497,"2006",NA,NA
"10145",105499,"2009",NA,NA
"10146",105499,"2017",50,82
"10147",105499,"2013",NA,NA
"10148",105499,"2016",43,64
"10149",105499,"2014",NA,NA
"10150",105499,"2010",NA,NA
"10151",105499,"2018",19,46
"10152",105499,"2017",45,88
"10153",105499,"2018",16,23
"10154",105499,"2016",12,24
"10155",105501,"2006",12,26
"10156",105502,"2018",9,27
"10157",105502,"2024",17,21
"10158",105502,"2024",NA,NA
"10159",105512,"2016",23,32
"10160",105512,"2015",14,24
"10161",105512,"2021",17,29
"10162",105512,"2016",22,47
"10163",105512,"2015",13,18
"10164",105515,"2016",24,48
"10165",105515,"2018",7,26
"10166",105521,"2011",NA,NA
"10167",105526,"2021",NA,NA
"10168",105526,"2016",329,627
"10169",105526,"2017",519,1020
"10170",105526,"2023",344,569
"10171",105526,"2018",438,850
"10172",105526,"2017",538,854
"10173",105526,"2013",162,306
"10174",105526,"2022",NA,NA
"10175",105526,"2022",227,408
"10176",105526,"2020",231,467
"10177",105526,"2023",294,566
"10178",105526,"2020",253,434
"10179",105526,"2014",244,478
"10180",105526,"2015",NA,NA
"10181",105526,"2024",NA,NA
"10182",105526,"2016",273,451
"10183",105526,"2019",650,1090
"10184",105526,"2019",496,959
"10185",105526,"2013",57,86
"10186",105526,"2014",256,439
"10187",105526,"2018",453,737
"10188",105528,"2017",14,30
"10189",105528,"2016",31,71
"10190",105528,"2013",11,18
"10191",105529,"2012",15,22
"10192",105539,"2014",NA,NA
"10193",105539,"2016",136,221
"10194",105539,"2016",385,749
"10195",105539,"2013",NA,NA
"10196",105539,"2012",68,125
"10197",105539,"2020",50,110
"10198",105539,"2017",226,426
"10199",105539,"2021",109,198
"10200",105539,"2014",160,288
"10201",105539,"2018",305,613
"10202",105539,"2020",15,30
"10203",105539,"2015",NA,NA
"10204",105539,"2018",263,437
"10205",105539,"2011",29,63
"10206",105539,"2019",40,72
"10207",105539,"2008",10,21
"10208",105539,"2010",20,37
"10209",105539,"2017",94,149
"10210",105539,"2009",15,28
"10211",105539,"2021",17,28
"10212",105539,"2019",68,153
"10213",105539,"2010",42,80
"10214",105541,"2015",NA,NA
"10215",105541,"2012",NA,NA
"10216",105541,"2011",NA,NA
"10217",105541,"2013",NA,NA
"10218",105542,"2015",14,26
"10219",105542,"2015",15,35
"10220",105547,"2013",NA,NA
"10221",105550,"2023",172,302
"10222",105550,"2014",52,89
"10223",105550,"2018",433,706
"10224",105550,"2020",161,306
"10225",105550,"2018",NA,NA
"10226",105550,"2013",197,392
"10227",105550,"2021",197,419
"10228",105550,"2020",129,212
"10229",105550,"2016",232,390
"10230",105550,"2023",159,268
"10231",105550,"2014",56,104
"10232",105550,"2017",NA,NA
"10233",105550,"2015",29,44
"10234",105550,"2015",45,89
"10235",105550,"2017",315,595
"10236",105550,"2019",354,681
"10237",105550,"2016",375,640
"10238",105550,"2021",95,171
"10239",105550,"2013",117,204
"10240",105550,"2019",553,910
"10241",105550,"2012",17,39
"10242",105551,"2017",34,69
"10243",105554,"2019",312,586
"10244",105554,"2015",NA,NA
"10245",105554,"2012",NA,NA
"10246",105554,"2011",44,66
"10247",105554,"2018",19,38
"10248",105554,"2020",338,579
"10249",105554,"2023",293,456
"10250",105554,"2022",NA,NA
"10251",105554,"2020",242,474
"10252",105554,"2018",30,56
"10253",105554,"2008",7,16
"10254",105554,"2009",NA,NA
"10255",105554,"2013",NA,NA
"10256",105554,"2021",345,679
"10257",105554,"2016",225,409
"10258",105554,"2019",322,525
"10259",105554,"2016",188,300
"10260",105554,"2023",NA,NA
"10261",105554,"2017",NA,NA
"10262",105554,"2024",153,282
"10263",105554,"2021",458,733
"10264",105554,"2014",73,133
"10265",105554,"2014",77,152
"10266",105554,"2010",NA,NA
"10267",105554,"2024",394,731
"10268",105558,"2013",169,296
"10269",105558,"2010",78,134
"10270",105558,"2011",39,85
"10271",105558,"2012",193,353
"10272",105558,"2009",19,44
"10273",105558,"2010",99,158
"10274",105558,"2009",19,29
"10275",105558,"2013",NA,NA
"10276",105558,"2012",70,121
"10277",105558,"2011",18,25
"10278",105559,"2017",8,20
"10279",105559,"2007",33,69
"10280",105559,"2008",25,59
"10281",105561,"2021",52,90
"10282",105561,"2012",12,17
"10283",105561,"2016",21,30
"10284",105561,"2017",95,155
"10285",105561,"2022",36,55
"10286",105561,"2023",7,18
"10287",105561,"2012",42,82
"10288",105561,"2011",7,15
"10289",105561,"2018",13,17
"10290",105561,"2018",25,34
"10291",105561,"2019",23,33
"10292",105561,"2016",12,24
"10293",105561,"2021",14,25
"10294",105561,"2017",134,249
"10295",105561,"2019",26,61
"10296",105561,"2011",26,53
"10297",105561,"2014",13,34
"10298",105565,"2012",NA,NA
"10299",105566,"2015",NA,NA
"10300",105566,"2018",18,36
"10301",105566,"2011",NA,NA
"10302",105566,"2017",16,27
"10303",105566,"2017",NA,NA
"10304",105572,"2012",14,27
"10305",105572,"2016",118,234
"10306",105572,"2017",13,22
