"","player_id","year","first_return","first_won"
"468",102257,"1999",NA,NA
"470",102257,"2000",734,223
"471",102257,"2003",NA,NA
"482",102257,"1995",1240,254
"483",102257,"1992",86,31
"485",102257,"2002",NA,NA
"486",102267,"2006",NA,NA
"487",102267,"2005",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"1995",63,17
"495",102269,"2004",484,115
"496",102269,"2001",42,11
"500",102269,"1996",73,16
"509",102271,"2005",65,13
"510",102271,"1995",NA,NA
"512",102271,"2003",NA,NA
"514",102271,"1996",NA,NA
"515",102271,"2001",NA,NA
"519",102271,"1994",NA,NA
"524",102271,"1993",NA,NA
"526",102282,"2006",33,5
"527",102282,"1998",54,14
"528",102286,"2005",NA,NA
"529",102286,"1995",NA,NA
"532",102286,"2002",NA,NA
"535",102286,"1996",NA,NA
"536",102286,"2003",NA,NA
"540",102286,"1997",NA,NA
"541",102286,"1994",NA,NA
"543",102287,"2005",276,68
"545",102287,"2003",484,186
"546",102287,"2003",756,184
"549",102287,"1995",134,37
"551",102287,"1998",985,231
"552",102287,"2006",475,114
"553",102287,"2000",919,309
"556",102287,"2004",144,57
"558",102287,"2001",1327,344
"561",102287,"2001",1384,508
"562",102287,"1998",581,207
"564",102287,"1997",796,192
"566",102287,"1996",146,32
"573",102300,"1998",NA,NA
"574",102300,"2005",NA,NA
"575",102300,"1993",90,18
"577",102300,"1994",58,14
"580",102300,"1997",NA,NA
"581",102300,"2004",NA,NA
"583",102306,"2004",207,51
"584",102306,"2001",100,28
"587",102306,"2002",270,100
"591",102306,"2000",NA,NA
"593",102306,"1998",201,67
"594",102306,"1999",289,92
"595",102306,"1999",561,135
"601",102318,"2009",302,63
"604",102318,"1998",NA,NA
"606",102318,"2003",NA,NA
"607",102318,"1994",NA,NA
"610",102318,"2007",NA,NA
"611",102318,"1995",84,24
"612",102318,"1997",NA,NA
"613",102318,"2001",NA,NA
"616",102318,"1992",NA,NA
"622",102344,"1991",21,4
"623",102344,"2002",923,332
"624",102344,"1997",1153,298
"625",102344,"1993",37,15
"626",102344,"1994",548,227
"627",102344,"2005",NA,NA
"628",102344,"2000",NA,NA
"629",102344,"1994",573,165
"630",102344,"2002",NA,NA
"636",102344,"1992",27,4
"644",102358,"1997",NA,NA
"646",102358,"1993",NA,NA
"647",102358,"2002",NA,NA
"653",102358,"1992",335,91
"655",102358,"1998",NA,NA
"657",102358,"1992",603,189
"660",102358,"2001",1659,542
"664",102374,"2005",42,16
"665",102374,"1997",NA,NA
"667",102374,"1998",NA,NA
"670",102374,"2005",226,55
"678",102374,"1995",1045,413
"681",102374,"2004",638,201
"683",102374,"2003",NA,NA
"686",102381,"2007",470,145
"687",102381,"2000",150,26
"689",102381,"1999",43,11
"694",102381,"2003",267,71
"696",102381,"2004",18,8
"697",102381,"2001",95,26
"699",102382,"2012",30,6
"700",102382,"2001",159,44
"701",102382,"2003",185,53
"704",102382,"1993",40,14
"708",102382,"2004",247,65
"709",102382,"1994",37,10
"712",102388,"2007",NA,NA
"713",102401,"2002",NA,NA
"717",102401,"1997",NA,NA
"718",102401,"1999",NA,NA
"719",102401,"2001",90,36
"720",102401,"1999",543,169
"723",102401,"2001",435,102
"726",102401,"1997",1082,320
"727",102401,"2005",269,66
"728",102401,"1996",1051,362
"729",102401,"1998",NA,NA
"732",102405,"2000",72,17
"733",102405,"2008",NA,NA
"736",102405,"1996",NA,NA
"738",102434,"2000",NA,NA
"739",102434,"2000",234,76
"740",102434,"1996",1029,373
"741",102434,"2009",341,71
"743",102434,"2008",NA,NA
"746",102434,"2006",1309,345
"747",102434,"2003",NA,NA
"748",102434,"1993",258,87
"750",102434,"2002",825,205
"752",102434,"2007",1199,412
"753",102434,"2010",17,1
"755",102434,"2006",754,296
"758",102434,"1998",1313,432
"760",102434,"1996",NA,NA
"763",102434,"1997",1179,280
"772",102450,"1994",195,44
"774",102450,"2000",NA,NA
"775",102450,"2002",NA,NA
"777",102450,"1997",NA,NA
"781",102450,"1998",NA,NA
"782",102450,"2007",703,180
"783",102450,"2005",1082,391
"784",102450,"2006",1000,253
"785",102450,"1996",NA,NA
"787",102450,"2006",1309,465
"790",102456,"1996",1241,315
"794",102456,"2000",653,179
"798",102456,"2002",1145,300
"804",102456,"1998",NA,NA
"809",102456,"2005",649,249
"811",102494,"2003",NA,NA
"812",102494,"2003",506,134
"813",102494,"2001",193,73
"816",102494,"2001",362,122
"818",102494,"2005",585,138
"822",102494,"2006",219,71
"827",102494,"1997",30,12
"828",102494,"1999",36,6
"830",102496,"2006",NA,NA
"834",102497,"2002",23,2
"840",102497,"1999",125,31
"842",102512,"2006",46,13
"844",102512,"2003",46,14
"847",102512,"2007",139,41
"848",102512,"2009",112,25
"852",102538,"1998",NA,NA
"855",102538,"1995",NA,NA
"859",102538,"2000",NA,NA
"862",102538,"2003",NA,NA
"863",102538,"2001",NA,NA
"868",102539,"2004",793,180
"871",102539,"2004",440,151
"876",102539,"1995",NA,NA
"881",102539,"1996",1607,543
"882",102539,"1999",743,241
"883",102539,"2002",NA,NA
"888",102539,"1999",NA,NA
"892",102548,"2001",NA,NA
"894",102548,"1997",534,141
"897",102548,"2003",77,18
"900",102548,"2002",173,73
"901",102548,"2005",229,69
"906",102548,"2002",241,69
"910",102556,"1995",NA,NA
"913",102556,"2003",NA,NA
"914",102556,"2001",NA,NA
"919",102556,"1998",NA,NA
"920",102558,"2000",NA,NA
"922",102558,"2005",61,21
"925",102558,"2002",58,12
"927",102558,"1999",35,7
"930",102558,"2005",39,5
"932",102558,"2003",280,57
"934",102562,"1997",NA,NA
"939",102562,"2002",NA,NA
"942",102562,"2006",606,137
"945",102562,"2006",NA,NA
"946",102562,"2005",NA,NA
"947",102562,"1993",23,5
"949",102562,"1996",NA,NA
"952",102563,"2002",NA,NA
"953",102563,"1994",155,51
"955",102563,"2007",NA,NA
"957",102563,"1998",NA,NA
"958",102563,"1993",91,23
"964",102563,"2009",NA,NA
"969",102563,"1995",26,10
"971",102563,"1995",133,31
"978",102565,"2003",810,188
"979",102565,"2006",NA,NA
"981",102565,"2005",517,120
"985",102567,"2005",NA,NA
"988",102567,"2009",33,11
"989",102567,"2002",193,54
"991",102567,"2000",NA,NA
"994",102567,"1999",NA,NA
"995",102567,"2007",58,19
"999",102567,"2006",NA,NA
"1000",102567,"2002",355,84
"1003",102567,"2008",64,21
"1012",102571,"1997",39,7
"1014",102571,"2002",233,42
"1015",102571,"1996",165,59
"1021",102585,"2000",88,21
"1022",102585,"1996",49,15
"1030",102610,"1997",NA,NA
"1031",102610,"1999",993,246
"1037",102610,"1993",109,38
"1038",102610,"2006",103,36
"1041",102610,"2006",105,28
"1042",102610,"2004",NA,NA
"1045",102610,"1995",1461,504
"1048",102610,"1998",NA,NA
"1052",102610,"2002",1871,660
"1055",102615,"1992",56,14
"1059",102615,"2001",114,22
"1063",102615,"1993",28,5
"1064",102615,"2007",62,18
"1074",102615,"1999",187,49
"1078",102630,"2006",NA,NA
"1080",102630,"2002",84,30
"1087",102642,"2004",1330,385
"1092",102642,"2004",1139,260
"1097",102642,"2000",154,38
"1108",102655,"2004",NA,NA
"1125",102667,"2006",64,25
"1127",102667,"1998",31,12
"1133",102694,"2002",617,240
"1140",102694,"2006",211,58
"1145",102694,"2004",439,150
"1147",102694,"2007",46,10
"1149",102694,"1994",105,25
"1157",102696,"2005",NA,NA
"1159",102703,"2000",NA,NA
"1160",102703,"2007",1175,273
"1167",102703,"2009",NA,NA
"1170",102703,"1998",NA,NA
"1175",102703,"2001",NA,NA
"1177",102720,"1999",168,57
"1180",102720,"2006",NA,NA
"1197",102730,"2005",112,42
"1199",102730,"1998",217,66
"1210",102730,"1997",NA,NA
"1212",102737,"2004",NA,NA
"1220",102740,"2004",NA,NA
"1221",102740,"2000",NA,NA
"1222",102740,"2002",NA,NA
"1230",102770,"2001",195,41
"1232",102770,"2004",NA,NA
"1242",102770,"1997",325,101
"1243",102770,"2001",NA,NA
"1244",102780,"2000",58,12
"1245",102780,"1997",23,3
"1246",102780,"2003",NA,NA
"1247",102780,"2001",NA,NA
"1248",102780,"2005",NA,NA
"1249",102780,"2004",NA,NA
