"player_id","year","second_return","second_won"
103252,"2009",662,295
103252,"2000",NA,NA
103252,"1996",116,53
103252,"2002",NA,NA
103252,"1999",NA,NA
103252,"2001",1791,838
103252,"1997",NA,NA
103252,"2005",1242,580
103252,"2006",1037,501
103252,"2008",201,90
103305,"2000",235,102
103305,"2004",247,112
103305,"2005",50,21
103305,"2002",NA,NA
103305,"1997",NA,NA
103305,"2001",334,147
103339,"1998",NA,NA
103339,"2007",59,19
103339,"2004",32,12
103339,"2006",157,73
103373,"2009",166,56
103373,"2007",NA,NA
103373,"2000",72,33
103373,"2008",670,315
103373,"2005",NA,NA
103373,"2003",132,63
103373,"2006",245,123
103401,"2007",552,243
103401,"2011",202,101
103401,"2005",NA,NA
103401,"2014",57,28
103401,"2015",83,37
103401,"2004",556,250
103401,"2009",NA,NA
103401,"2016",NA,NA
103401,"2010",NA,NA
103401,"2006",NA,NA
103401,"2002",NA,NA
103401,"2000",NA,NA
103401,"2013",233,102
103401,"2008",332,136
103401,"2012",110,42
103408,"2002",477,241
103408,"2006",45,16
103408,"2003",957,426
103408,"2004",334,149
103408,"2005",89,42
103420,"1996",122,62
103420,"1997",NA,NA
103420,"2001",NA,NA
103420,"2005",440,218
103420,"2004",NA,NA
103420,"1998",68,27
103420,"2008",NA,NA
103420,"2002",307,125
103420,"2000",226,100
103420,"1999",105,58
103424,"2006",128,61
103448,"2008",45,15
103451,"2010",547,233
103451,"2002",164,66
103451,"2006",1064,457
103451,"1999",128,70
103451,"2007",429,192
103451,"2009",661,312
103451,"2011",215,89
103451,"1998",NA,NA
103451,"2014",133,64
103451,"2004",229,112
103451,"2012",644,269
103451,"2001",171,74
103451,"2008",160,61
103451,"2005",713,311
103451,"2013",180,75
103451,"2003",166,74
103451,"2000",NA,NA
103470,"2011",319,128
103470,"2012",NA,NA
103470,"2005",NA,NA
103470,"2009",681,274
103470,"2007",665,275
103470,"2008",346,135
103470,"2003",400,162
103470,"2004",218,80
103470,"2010",NA,NA
103470,"2006",227,84
103487,"2002",162,64
103487,"2007",NA,NA
103487,"2001",NA,NA
103487,"2005",189,87
103487,"2000",101,43
103487,"2006",76,25
103487,"1998",NA,NA
103490,"2009",327,152
103490,"2007",212,96
103490,"2006",79,33
103490,"2010",290,111
103490,"2004",NA,NA
103490,"2005",707,308
103490,"2008",580,242
103516,"2005",117,51
103516,"2006",178,57
103516,"2004",NA,NA
103516,"2007",146,54
103534,"2004",61,22
103534,"2012",65,40
103534,"2009",567,254
103534,"2007",690,303
103534,"2008",443,211
103534,"2011",NA,NA
103534,"2005",NA,NA
103534,"2006",71,27
103538,"2006",66,29
103543,"2010",71,22
103543,"2008",225,87
103565,"2010",762,352
103565,"2020",NA,NA
103565,"2011",207,92
103565,"2018",97,44
103565,"2015",219,100
103565,"2004",80,37
103565,"2017",276,116
103565,"2016",965,433
103565,"2014",424,203
103565,"2012",NA,NA
103565,"2013",161,79
103566,"2013",NA,NA
103566,"2000",376,152
103566,"2014",227,93
103566,"2008",NA,NA
103566,"2003",359,129
103566,"2006",NA,NA
103566,"2010",NA,NA
103566,"2009",794,344
103566,"2001",517,219
103566,"2002",NA,NA
103566,"2005",775,309
103566,"2007",974,405
103566,"2004",862,389
103566,"2011",NA,NA
103566,"2012",742,308
103582,"2016",313,133
103582,"2007",705,292
103582,"2010",1277,528
103582,"2005",67,23
103582,"2014",247,87
103582,"2015",474,157
103582,"2013",134,54
