"","player_id","year","bp_faced","bp_saved"
"2",100644,"2021",NA,NA
"3",100644,"2020",154,100
"4",100644,"2015",88,63
"6",100644,"2017",NA,NA
"10",100644,"2022",118,81
"11",100644,"2023",176,87
"12",100644,"2014",21,14
"13",100644,"2016",254,183
"14",100644,"2018",NA,NA
"17",100644,"2015",127,64
"18",100644,"2018",141,58
"22",101404,"1997",NA,NA
"25",101404,"1991",NA,NA
"26",101404,"1998",205,147
"27",101404,"1999",NA,NA
"28",101404,"1998",177,90
"30",101404,"1988",NA,NA
"32",101404,"1989",NA,NA
"34",101404,"1992",NA,NA
"36",101404,"1996",NA,NA
"37",101404,"1991",186,127
"38",101404,"1995",NA,NA
"42",101404,"1986",NA,NA
"44",101662,"2000",NA,NA
"46",101662,"1988",NA,NA
"49",101662,"1995",NA,NA
"52",101736,"1999",NA,NA
"55",101736,"1990",NA,NA
"57",101736,"1987",NA,NA
"58",101736,"2000",NA,NA
"65",101736,"2000",119,66
"67",101736,"1997",NA,NA
"70",101736,"2005",NA,NA
"71",101736,"1994",NA,NA
"74",101736,"1998",NA,NA
"75",101736,"2001",115,62
"77",101736,"1992",NA,NA
"82",101736,"1989",NA,NA
"84",101779,"1994",8,3
"86",101779,"1988",NA,NA
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"2001",10,7
"91",101868,"2005",71,40
"93",101868,"2003",48,31
"94",101868,"2009",9,6
"96",101868,"2006",NA,NA
"101",101868,"2003",10,8
"104",101868,"2007",NA,NA
"106",101868,"2004",45,26
"108",101868,"1996",0,0
"112",101868,"1997",22,17
"113",101868,"2007",4,1
"116",101885,"2004",NA,NA
"121",101885,"1999",NA,NA
"124",101885,"2002",160,113
"125",101885,"1996",1,1
"128",101885,"1999",61,34
"129",101885,"1998",15,12
"130",101885,"2003",NA,NA
"131",101885,"2000",NA,NA
"133",101889,"1990",NA,NA
"135",101889,"2000",67,34
"136",101889,"2000",19,14
"139",101889,"1996",NA,NA
"146",101889,"1989",NA,NA
"152",101889,"1998",200,96
"155",101889,"1998",196,127
"164",101962,"1992",NA,NA
"167",101962,"2005",NA,NA
"170",101962,"2000",NA,NA
"172",101962,"1993",NA,NA
"176",101962,"1995",NA,NA
"183",101962,"2001",170,92
"187",101962,"1994",216,119
"189",101965,"2004",NA,NA
"192",101965,"2005",NA,NA
"196",101965,"2001",NA,NA
"200",101965,"1990",NA,NA
"206",101965,"1992",NA,NA
"209",101979,"2008",NA,NA
"217",101979,"1992",NA,NA
"218",101979,"1991",NA,NA
"220",102033,"2004",NA,NA
"221",102033,"2008",NA,NA
"223",102033,"2006",NA,NA
"227",102033,"1996",NA,NA
"228",102033,"1990",NA,NA
"230",102035,"1997",NA,NA
"231",102035,"1993",NA,NA
"234",102035,"2004",NA,NA
"235",102035,"1993",80,40
"239",102035,"1991",12,7
"240",102035,"1998",NA,NA
"241",102035,"2003",NA,NA
"243",102035,"2005",197,98
"248",102035,"2007",NA,NA
"253",102093,"2024",9,6
"254",102106,"2000",NA,NA
"255",102106,"2004",177,92
"259",102106,"2001",64,45
"260",102106,"2005",155,108
"264",102106,"1994",28,18
"265",102106,"2005",208,110
"266",102106,"1997",39,27
"267",102106,"2002",NA,NA
"270",102106,"2007",81,48
"271",102106,"2003",NA,NA
"272",102106,"2001",234,126
"273",102107,"2001",NA,NA
"279",102107,"2002",NA,NA
"280",102107,"2000",NA,NA
"282",102107,"1999",NA,NA
"285",102110,"1995",NA,NA
"287",102110,"2004",5,2
"289",102110,"1997",NA,NA
"298",102110,"2006",7,4
"304",102110,"1999",80,54
"305",102110,"1996",69,53
"311",102143,"2005",1,0
"315",102143,"2005",18,11
"317",102143,"2002",8,5
"323",102148,"1992",NA,NA
"326",102148,"1998",210,147
"327",102148,"1993",NA,NA
"328",102148,"2001",NA,NA
"329",102148,"2009",93,63
"331",102148,"2006",116,78
"334",102148,"1994",NA,NA
"335",102148,"2008",149,79
"336",102148,"1995",121,74
"337",102148,"1995",238,126
"344",102148,"2005",194,106
"347",102148,"2009",183,99
"349",102148,"1989",NA,NA
"350",102148,"2003",NA,NA
"352",102148,"1993",158,101
"353",102148,"1997",NA,NA
"354",102148,"2002",NA,NA
"356",102148,"1990",NA,NA
"358",102179,"2007",8,6
"362",102179,"2000",121,79
"363",102179,"2006",11,7
"365",102179,"2005",28,21
"370",102179,"2003",168,96
"371",102179,"2000",30,26
"375",102179,"2004",60,43
"376",102202,"2007",NA,NA
"377",102202,"2006",129,74
"378",102202,"1992",NA,NA
"379",102202,"1997",NA,NA
"388",102202,"1996",NA,NA
"390",102202,"1998",NA,NA
"392",102202,"2001",73,51
"399",102227,"1995",16,7
"401",102227,"2005",80,39
"404",102227,"2005",22,11
"409",102227,"2004",101,61
"410",102227,"1995",23,10
"412",102227,"1999",99,72
"414",102227,"2000",115,79
"416",102227,"1997",NA,NA
"417",102227,"2000",NA,NA
"418",102227,"2002",74,48
"420",102231,"2006",12,7
"421",102231,"2006",26,20
"422",102231,"1994",9,3
"425",102231,"1998",45,30
"429",102231,"1995",12,7
"435",102231,"2005",22,17
"436",102231,"2001",NA,NA
"438",102233,"2005",NA,NA
"441",102233,"2002",NA,NA
"442",102233,"2008",NA,NA
"443",102233,"1991",NA,NA
"444",102233,"1994",NA,NA
"446",102233,"1998",48,38
"448",102233,"2004",NA,NA
"450",102233,"2000",NA,NA
"455",102233,"1999",NA,NA
"459",102233,"1995",77,38
"460",102233,"2001",NA,NA
"465",102257,"2005",NA,NA
"468",102257,"2006",NA,NA
"470",102257,"1995",NA,NA
"471",102257,"1993",69,45
"482",102257,"2003",NA,NA
"483",102257,"1998",NA,NA
"485",102257,"2000",NA,NA
"486",102267,"2005",NA,NA
"487",102267,"2003",NA,NA
"489",102267,"1994",NA,NA
"493",102269,"2002",4,4
"495",102269,"1998",17,9
"496",102269,"2003",9,5
"500",102269,"1997",69,38
"509",102271,"1996",NA,NA
"510",102271,"1998",NA,NA
"512",102271,"2000",NA,NA
"514",102271,"1999",NA,NA
"515",102271,"2004",NA,NA
"519",102271,"2001",NA,NA
"524",102271,"1994",10,5
"526",102282,"1998",10,5
"527",102282,"1994",6,2
"528",102286,"2003",NA,NA
"529",102286,"2001",NA,NA
"532",102286,"1995",NA,NA
"535",102286,"1994",NA,NA
"536",102286,"2005",NA,NA
"540",102286,"1992",NA,NA
"541",102286,"1996",NA,NA
"543",102287,"2006",57,38
"545",102287,"2005",6,4
"546",102287,"1999",NA,NA
"549",102287,"2001",179,119
"551",102287,"2002",68,50
"552",102287,"2000",224,122
"553",102287,"2005",55,31
"556",102287,"2000",127,82
"558",102287,"2006",116,63
"561",102287,"2002",NA,NA
"562",102287,"1996",36,18
"564",102287,"2003",178,89
"566",102287,"2007",NA,NA
"573",102300,"2001",NA,NA
"574",102300,"2000",NA,NA
"575",102300,"1998",NA,NA
"577",102300,"1995",6,4
"580",102300,"2005",NA,NA
"581",102300,"1996",8,4
"583",102306,"2003",9,4
"584",102306,"1998",29,16
"587",102306,"2000",NA,NA
"591",102306,"2002",125,65
"593",102306,"1999",122,68
"594",102306,"2002",23,19
"595",102306,"2004",8,3
"601",102318,"1995",8,6
"604",102318,"2003",NA,NA
"606",102318,"2006",174,89
"607",102318,"1992",NA,NA
"610",102318,"2002",NA,NA
"611",102318,"2005",NA,NA
"612",102318,"2007",NA,NA
"613",102318,"1991",NA,NA
"616",102318,"1994",NA,NA
"622",102344,"1997",NA,NA
"623",102344,"1993",36,23
"624",102344,"1993",3,1
"625",102344,"1996",NA,NA
"626",102344,"1997",241,116
"627",102344,"1994",73,42
"628",102344,"2002",121,77
"629",102344,"1999",NA,NA
"630",102344,"2001",NA,NA
"636",102344,"2004",NA,NA
"644",102358,"2005",123,69
"646",102358,"1998",105,56
"647",102358,"2000",NA,NA
"653",102358,"2002",NA,NA
"655",102358,"1992",72,39
"657",102358,"1999",NA,NA
"660",102358,"1995",NA,NA
"664",102374,"2001",195,108
"665",102374,"1995",NA,NA
"667",102374,"1997",252,171
"670",102374,"1996",NA,NA
"678",102374,"1993",128,90
"681",102374,"1999",NA,NA
"683",102374,"2001",NA,NA
"686",102381,"1997",6,2
"687",102381,"2007",45,33
"689",102381,"1999",10,7
"694",102381,"2004",7,6
"696",102381,"2000",7,5
"697",102381,"2004",29,18
"699",102382,"1992",0,0
"700",102382,"2003",8,3
"701",102382,"2001",28,14
"704",102382,"2001",NA,NA
"708",102382,"2005",4,2
"709",102382,"2002",26,22
"712",102388,"2007",NA,NA
"713",102401,"2003",121,65
"717",102401,"1996",NA,NA
"718",102401,"2001",3,2
"719",102401,"2003",65,51
"720",102401,"1999",67,45
"723",102401,"2002",NA,NA
"726",102401,"1998",NA,NA
"727",102401,"1997",126,84
"728",102401,"1995",NA,NA
"729",102401,"1997",NA,NA
"732",102405,"1997",NA,NA
"733",102405,"1998",NA,NA
"736",102405,"2000",8,4
"738",102434,"1995",134,98
"739",102434,"1996",133,90
"740",102434,"2009",73,33
"741",102434,"1995",265,142
"743",102434,"2010",5,1
"746",102434,"2006",268,164
"747",102434,"1998",162,103
"748",102434,"2002",161,83
"750",102434,"1998",266,143
"752",102434,"1997",222,118
"753",102434,"2003",NA,NA
"755",102434,"2001",10,9
"758",102434,"1994",NA,NA
"760",102434,"1994",149,81
"763",102434,"2007",147,94
"772",102450,"2001",NA,NA
"774",102450,"2006",195,112
"775",102450,"1994",19,13
"777",102450,"1994",35,14
"781",102450,"2003",NA,NA
"782",102450,"2007",118,73
"783",102450,"2007",NA,NA
"784",102450,"2004",NA,NA
"785",102450,"1999",NA,NA
"787",102450,"1997",NA,NA
"790",102456,"1995",43,20
"794",102456,"2007",36,25
"798",102456,"1994",9,5
"804",102456,"1996",273,147
"809",102456,"1999",183,87
"811",102494,"1999",0,0
"812",102494,"1999",12,8
"813",102494,"2000",39,27
"816",102494,"2003",NA,NA
"818",102494,"2003",54,39
"822",102494,"2000",117,61
"827",102494,"2001",96,50
"828",102494,"1997",7,4
"830",102496,"2006",NA,NA
"834",102497,"2000",9,4
"840",102497,"2002",11,7
"842",102512,"2006",5,1
"844",102512,"2003",4,4
"847",102512,"2003",18,10
"848",102512,"2008",60,36
"852",102538,"2004",NA,NA
"855",102538,"2003",NA,NA
"859",102538,"1998",NA,NA
"862",102538,"1997",NA,NA
"863",102538,"2000",NA,NA
"868",102539,"1994",6,2
"871",102539,"2007",9,5
"876",102539,"1995",NA,NA
"881",102539,"1993",6,1
"882",102539,"2006",11,5
"883",102539,"2001",NA,NA
"888",102539,"1999",105,70
"892",102548,"1996",14,8
"894",102548,"2002",53,23
"897",102548,"1997",114,53
"900",102548,"1997",51,29
"901",102548,"2004",17,9
"906",102548,"2003",2,0
"910",102556,"2003",NA,NA
"913",102556,"1995",NA,NA
"914",102556,"1998",NA,NA
"919",102556,"2001",NA,NA
"920",102558,"1999",0,0
"922",102558,"2005",2,0
"925",102558,"2002",18,10
"927",102558,"1999",11,6
"930",102558,"2000",NA,NA
"932",102558,"2003",40,24
"934",102562,"1993",8,4
"939",102562,"1998",119,74
"942",102562,"2004",NA,NA
"945",102562,"1996",NA,NA
"946",102562,"1999",NA,NA
"947",102562,"1995",35,23
"949",102562,"1995",86,48
"952",102563,"1999",NA,NA
"953",102563,"2009",NA,NA
"955",102563,"2008",NA,NA
"957",102563,"1993",13,9
"958",102563,"1996",NA,NA
"964",102563,"2005",NA,NA
"969",102563,"2001",NA,NA
"971",102563,"1994",28,14
"978",102565,"2005",68,45
"979",102565,"2006",NA,NA
"981",102565,"2003",9,6
"985",102567,"2005",NA,NA
"988",102567,"2009",7,2
"989",102567,"2001",NA,NA
"991",102567,"2008",13,9
"994",102567,"2004",7,5
"995",102567,"2001",46,25
"999",102567,"1999",63,35
"1000",102567,"2006",NA,NA
"1003",102567,"2007",22,10
"1012",102571,"1999",9,5
"1014",102571,"2006",6,3
"1015",102571,"1996",44,25
"1021",102585,"1999",23,13
"1022",102585,"2003",15,10
"1030",102610,"2002",184,100
"1031",102610,"1993",15,8
"1037",102610,"2006",20,13
"1038",102610,"2005",155,85
"1041",102610,"1994",88,56
"1042",102610,"1993",25,13
"1045",102610,"1997",NA,NA
"1048",102610,"2006",14,4
"1052",102610,"2002",190,119
"1055",102615,"2004",38,22
"1059",102615,"2004",132,72
"1063",102615,"1998",129,65
"1064",102615,"1992",12,6
"1074",102615,"2003",23,15
"1078",102630,"2005",NA,NA
"1080",102630,"2008",NA,NA
"1087",102642,"1999",31,16
"1092",102642,"2007",7,4
"1097",102642,"2005",196,97
"1108",102655,"2002",NA,NA
"1125",102667,"1998",3,2
"1127",102667,"2007",5,3
"1133",102694,"2005",47,33
"1140",102694,"2004",158,81
"1145",102694,"2001",152,80
"1147",102694,"1999",52,34
"1149",102694,"2002",211,111
"1157",102696,"2003",NA,NA
"1159",102703,"1996",NA,NA
"1160",102703,"1997",NA,NA
"1167",102703,"2003",NA,NA
"1170",102703,"2000",NA,NA
"1175",102703,"2009",NA,NA
"1177",102720,"2000",36,22
"1180",102720,"2004",51,24
"1197",102730,"2001",70,34
"1199",102730,"2003",7,4
"1210",102730,"1997",NA,NA
"1212",102737,"2001",NA,NA
"1220",102740,"2003",NA,NA
"1221",102740,"2002",NA,NA
"1222",102740,"1999",NA,NA
"1230",102770,"1998",106,79
"1232",102770,"1998",NA,NA
"1242",102770,"1997",50,34
"1243",102770,"2001",NA,NA
"1244",102780,"2007",NA,NA
"1245",102780,"2008",NA,NA
"1246",102780,"1997",8,5
"1247",102780,"2004",NA,NA
"1248",102780,"1998",6,4
"1249",102780,"2005",NA,NA
"1250",102780,"2000",7,4
"1251",102780,"2003",2,1
"1252",102780,"2009",NA,NA
"1253",102780,"1999",NA,NA
"1254",102780,"2009",5,4
"1255",102780,"2004",5,5
"1256",102780,"2000",NA,NA
"1257",102780,"2002",NA,NA
"1258",102780,"2001",NA,NA
"1259",102780,"2003",NA,NA
"1260",102780,"2002",8,5
"1261",102783,"1998",59,35
"1262",102783,"2008",135,92
"1263",102783,"2001",293,159
"1264",102783,"2010",137,66
"1265",102783,"2007",46,29
"1266",102783,"1999",136,92
"1267",102783,"1995",11,7
"1268",102783,"2004",NA,NA
"1269",102783,"2005",NA,NA
"1270",102783,"2011",26,20
"1271",102783,"1997",22,12
"1272",102783,"2008",182,97
"1273",102783,"2003",NA,NA
"1274",102783,"2002",NA,NA
"1275",102783,"2011",144,92
"1276",102783,"2000",NA,NA
"1277",102783,"2010",NA,NA
"1278",102783,"1998",105,48
"1279",102783,"2007",147,80
"1280",102783,"2005",237,123
"1281",102783,"2009",NA,NA
"1282",102783,"1997",21,8
"1283",102783,"2001",182,116
"1284",102783,"1999",NA,NA
"1285",102783,"2006",NA,NA
"1286",102785,"2001",26,15
"1287",102785,"2004",30,19
"1288",102785,"2002",4,1
"1289",102785,"1998",7,2
"1290",102785,"2003",9,5
"1291",102785,"2005",8,5
"1292",102785,"1997",16,11
"1293",102785,"2005",26,11
"1294",102785,"2004",65,29
"1295",102785,"1996",8,6
"1296",102785,"2001",9,6
"1297",102785,"1998",4,1
"1298",102785,"2000",6,3
"1299",102785,"2006",6,3
"1300",102785,"1997",9,8
"1301",102788,"2004",95,49
"1302",102788,"2001",76,43
"1303",102788,"2001",50,24
"1304",102788,"2005",1,1
"1305",102788,"2006",4,3
"1306",102788,"2003",108,63
"1307",102788,"2006",13,8
"1308",102788,"2008",1,0
"1309",102788,"2002",NA,NA
"1311",102788,"2007",8,4
"1313",102788,"2002",47,30
"1314",102788,"2008",7,5
"1315",102788,"2005",8,4
"1316",102788,"2004",23,16
"1317",102800,"2004",NA,NA
"1318",102800,"1997",NA,NA
"1319",102800,"2004",8,1
"1320",102800,"2001",9,7
"1321",102800,"2001",NA,NA
"1322",102800,"2005",9,6
"1323",102800,"1996",NA,NA
"1324",102800,"2002",NA,NA
"1325",102800,"2007",3,2
"1326",102800,"2006",10,6
"1327",102800,"2005",0,0
"1328",102800,"2013",NA,NA
"1329",102800,"2003",1,1
"1330",102800,"1999",14,8
"1331",102800,"1999",27,14
"1332",102800,"2003",19,9
"1333",102800,"2017",NA,NA
"1334",102800,"1998",NA,NA
"1336",102802,"2005",NA,NA
"1337",102802,"2002",NA,NA
"1338",102802,"2003",NA,NA
"1339",102802,"1997",NA,NA
"1340",102811,"2008",15,11
"1341",102811,"1996",NA,NA
"1342",102811,"2004",NA,NA
"1343",102811,"2006",17,10
"1344",102811,"2003",7,4
"1345",102811,"2006",16,14
"1346",102811,"2008",11,4
"1347",102811,"2007",4,4
"1348",102811,"2002",NA,NA
"1349",102811,"2001",NA,NA
"1350",102811,"2007",32,17
"1351",102811,"1999",NA,NA
"1352",102811,"2005",13,5
"1353",102811,"2003",NA,NA
"1354",102811,"1998",NA,NA
"1355",102811,"2005",17,12
"1356",102812,"2003",NA,NA
"1357",102812,"2005",NA,NA
"1358",102812,"2008",NA,NA
"1359",102812,"2000",NA,NA
"1360",102812,"1999",NA,NA
"1361",102812,"1998",NA,NA
"1362",102812,"1997",NA,NA
"1363",102812,"2001",NA,NA
"1364",102821,"1997",70,38
"1365",102821,"2001",204,119
"1366",102821,"2001",56,40
"1367",102821,"1999",202,106
"1368",102821,"2003",30,22
"1369",102821,"1996",38,18
"1370",102821,"2002",151,81
"1371",102821,"1999",NA,NA
"1372",102821,"2010",NA,NA
"1373",102821,"2000",123,67
"1374",102821,"2003",125,59
"1375",102821,"1997",12,8
"1376",102821,"2004",23,12
"1377",102821,"2009",NA,NA
"1378",102821,"2002",61,47
"1379",102821,"1998",7,3
"1380",102821,"2008",NA,NA
"1381",102821,"2000",28,19
"1382",102821,"2005",13,8
"1383",102821,"2007",NA,NA
"1384",102821,"2005",0,0
"1385",102821,"2004",5,3
"1386",102821,"2011",NA,NA
"1387",102826,"1993",NA,NA
"1388",102826,"2009",NA,NA
"1389",102826,"1995",NA,NA
"1390",102826,"1999",NA,NA
"1391",102826,"1998",NA,NA
"1392",102826,"1994",NA,NA
"1393",102826,"2004",NA,NA
"1394",102830,"2004",NA,NA
"1395",102830,"2003",NA,NA
"1396",102830,"2001",NA,NA
"1397",102830,"1999",NA,NA
"1398",102830,"2000",NA,NA
"1399",102830,"2010",NA,NA
"1400",102834,"1996",9,6
"1401",102834,"2007",60,41
"1402",102834,"2007",132,70
"1403",102834,"2002",12,11
"1404",102834,"1998",16,6
"1405",102834,"1994",NA,NA
"1406",102834,"2000",217,122
"1407",102834,"2005",124,72
"1408",102834,"2003",57,35
"1409",102834,"2001",94,46
"1410",102834,"2006",88,62
"1411",102834,"1995",11,6
"1412",102834,"1999",95,60
"1413",102834,"2002",33,18
"1414",102834,"2001",25,18
"1415",102834,"2004",27,18
"1416",102834,"2003",13,7
"1417",102834,"1998",17,14
"1418",102834,"1993",14,8
"1419",102834,"2005",63,39
"1420",102834,"2004",63,40
"1421",102834,"2000",136,90
"1422",102834,"2006",203,106
"1423",102834,"1999",184,103
"1428",102839,"2007",119,62
"1430",102839,"2010",5,3
"1431",102839,"2001",161,113
"1432",102839,"1995",NA,NA
"1438",102839,"1994",NA,NA
"1445",102839,"2000",NA,NA
"1450",102843,"1994",NA,NA
"1454",102843,"2005",NA,NA
"1462",102845,"2000",147,105
"1482",102845,"1998",NA,NA
"1484",102845,"2009",35,21
"1500",102851,"2002",6,3
"1501",102854,"2005",79,35
"1503",102854,"1998",NA,NA
"1504",102854,"1995",135,72
"1508",102854,"1999",NA,NA
"1510",102854,"1996",NA,NA
"1514",102854,"2001",NA,NA
"1516",102854,"2002",NA,NA
"1517",102854,"2000",NA,NA
"1518",102856,"1997",NA,NA
"1523",102856,"2002",94,50
"1524",102856,"2004",138,85
"1527",102856,"2007",1,0
"1530",102856,"2004",NA,NA
"1537",102860,"2002",NA,NA
"1544",102860,"1999",33,21
"1547",102860,"2007",102,60
"1550",102860,"2009",85,41
"1552",102863,"2000",16,9
"1553",102863,"2003",NA,NA
"1558",102863,"1996",12,7
"1559",102863,"1997",NA,NA
"1562",102863,"1999",NA,NA
"1566",102863,"1996",NA,NA
"1567",102863,"2006",5,5
"1568",102863,"1997",12,9
"1569",102863,"2001",NA,NA
"1570",102863,"2007",NA,NA
"1571",102863,"2004",NA,NA
"1572",102863,"1999",76,46
"1575",102864,"2003",8,4
"1580",102869,"1998",242,136
"1601",102880,"2003",50,32
"1603",102880,"2002",30,17
"1607",102880,"2000",108,58
"1610",102880,"2000",73,50
"1611",102880,"2004",40,31
"1630",102882,"2005",NA,NA
"1646",102882,"2000",NA,NA
"1657",102886,"2005",12,9
"1659",102887,"2005",10,9
"1662",102887,"1999",NA,NA
"1669",102887,"2007",NA,NA
"1672",102887,"1997",NA,NA
"1677",102887,"2006",76,37
"1687",102904,"2000",6,2
"1692",102905,"1999",NA,NA
"1696",102905,"2010",45,20
"1702",102905,"2002",NA,NA
"1705",102905,"2003",NA,NA
"1707",102905,"1996",14,9
"1708",102905,"2008",NA,NA
"1710",102925,"2007",7,3
"1727",102925,"2003",146,84
"1728",102925,"2002",26,14
"1738",102928,"2002",NA,NA
"1739",102928,"2003",NA,NA
"1740",102945,"2005",3,2
"1741",102945,"2007",8,8
"1742",102950,"2008",10,5
"1743",102950,"2004",28,18
"1744",102950,"2001",273,147
"1747",102950,"1998",NA,NA
"1748",102950,"1998",209,114
"1749",102950,"2003",99,67
"1751",102950,"2006",18,13
"1752",102950,"1999",NA,NA
"1753",102950,"2001",172,119
"1754",102950,"1996",23,11
"1755",102950,"2000",NA,NA
"1756",102950,"2005",63,43
"1757",102950,"2009",7,1
"1758",102950,"2006",171,91
"1759",102950,"1996",22,12
"1760",102950,"2007",53,28
"1761",102950,"1997",142,76
"1762",102950,"2002",156,109
"1763",102950,"2005",36,24
"1764",102950,"1997",NA,NA
"1765",102950,"2003",288,166
"1766",102956,"2004",13,7
"1767",102956,"2007",14,9
"1768",102956,"2006",11,6
"1769",102956,"2000",17,11
"1770",102956,"1996",10,4
"1771",102956,"1998",0,0
"1772",102956,"1998",NA,NA
"1773",102956,"2001",6,2
"1774",102956,"1995",NA,NA
"1776",102956,"1999",NA,NA
"1777",102959,"2004",NA,NA
"1778",102959,"2003",NA,NA
"1779",102959,"2002",NA,NA
"1780",102959,"2005",NA,NA
"1781",102959,"1998",NA,NA
"1783",102959,"1999",NA,NA
"1784",102959,"2007",NA,NA
"1785",102959,"2000",NA,NA
"1786",102959,"2006",NA,NA
"1787",102959,"2001",NA,NA
"1788",102963,"2007",NA,NA
"1789",102963,"1999",10,5
"1790",102963,"2011",NA,NA
"1791",102965,"2006",7,4
"1793",102965,"2005",20,9
"1794",102965,"1999",23,12
"1796",102965,"2003",18,6
"1797",102965,"2001",19,16
"1798",102965,"1999",8,6
"1799",102965,"2001",50,23
"1800",102965,"2006",NA,NA
"1801",102965,"2002",NA,NA
"1803",102965,"2000",NA,NA
"1804",102965,"2005",4,3
"1805",102965,"2004",26,18
"1806",102967,"2005",19,9
"1807",102967,"2010",98,49
"1808",102967,"2002",6,6
"1809",102967,"2008",120,92
"1810",102967,"2009",221,128
"1811",102967,"2005",12,7
"1813",102967,"2010",22,17
"1814",102967,"2004",13,3
"1815",102967,"2014",13,9
"1816",102967,"2014",3,1
"1817",102967,"2011",19,8
"1818",102967,"2007",82,57
"1819",102967,"2012",7,3
"1821",102967,"2008",210,118
"1822",102967,"2002",8,6
"1824",102967,"2006",87,58
"1831",102969,"2002",NA,NA
"1837",102987,"1999",10,6
"1842",102987,"2007",4,2
"1843",102987,"2005",NA,NA
"1845",102987,"2003",31,20
"1852",102987,"2002",NA,NA
"1872",102998,"2004",218,132
"1873",102999,"2010",11,6
"1874",102999,"2007",75,41
"1876",102999,"2001",31,19
"1879",102999,"2008",4,2
"1885",102999,"2001",0,0
"1892",103007,"2004",NA,NA
"1893",103007,"2002",19,14
"1897",103007,"2008",NA,NA
"1898",103007,"1997",8,2
"1899",103007,"2002",NA,NA
"1901",103009,"2004",NA,NA
"1902",103009,"1999",18,10
"1904",103009,"1993",NA,NA
"1905",103009,"1995",5,4
"1906",103009,"1997",0,0
"1907",103009,"2006",17,10
"1908",103009,"2006",NA,NA
"1909",103009,"2005",92,43
"1910",103009,"1994",NA,NA
"1911",103009,"2000",NA,NA
"1912",103009,"1995",NA,NA
"1913",103009,"2000",5,4
"1914",103009,"1996",11,4
"1915",103009,"2002",9,5
"1916",103009,"1997",42,25
"1917",103009,"2005",40,25
"1918",103009,"1998",7,2
"1919",103009,"1996",4,2
"1920",103017,"1999",NA,NA
"1921",103017,"1998",NA,NA
"1922",103017,"2009",NA,NA
"1923",103017,"2001",NA,NA
"1924",103017,"2009",134,78
"1925",103017,"2006",NA,NA
"1926",103017,"2000",165,114
"1927",103017,"2007",NA,NA
"1928",103017,"2005",NA,NA
"1929",103017,"2008",NA,NA
"1930",103017,"2002",NA,NA
"1931",103017,"2000",NA,NA
"1932",103017,"1994",0,0
"1933",103017,"1996",NA,NA
"1934",103017,"1997",128,65
"1935",103017,"1995",10,6
"1936",103017,"2007",61,45
"1937",103017,"2004",NA,NA
"1938",103017,"1997",132,89
"1939",103017,"2003",90,62
"1940",103017,"2010",21,10
"1941",103017,"2010",5,4
"1942",103017,"2003",141,73
"1943",103017,"1995",26,15
"1944",103018,"1998",NA,NA
"1945",103018,"2000",NA,NA
"1946",103018,"1997",NA,NA
"1947",103018,"1999",NA,NA
"1948",103018,"2008",NA,NA
"1949",103018,"1996",NA,NA
"1950",103018,"1998",14,10
"1951",103018,"2007",57,41
"1952",103018,"2006",NA,NA
"1953",103018,"2001",NA,NA
"1954",103018,"2004",NA,NA
"1955",103018,"2005",NA,NA
"1956",103018,"2007",NA,NA
"1957",103018,"2008",4,3
"1958",103018,"1995",NA,NA
"1959",103018,"2002",NA,NA
"1960",103018,"2003",NA,NA
"1961",103018,"1997",10,4
"1963",103029,"2004",NA,NA
"1964",103029,"1995",8,3
"1965",103029,"2005",NA,NA
"1966",103029,"2006",NA,NA
"1967",103029,"1998",NA,NA
"1968",103029,"2003",14,9
"1969",103029,"2000",9,5
"1970",103029,"1996",NA,NA
"1972",103029,"1997",6,1
"1973",103029,"1994",NA,NA
"1974",103032,"2005",8,3
"1975",103032,"2005",21,12
"1976",103035,"2003",7,4
"1977",103035,"2007",43,28
"1978",103035,"2005",50,26
"1979",103035,"2007",NA,NA
"1980",103035,"2010",7,4
"1981",103035,"2004",37,24
"1982",103035,"2006",60,41
"1983",103035,"2006",126,52
"1984",103035,"2010",13,10
"1986",103035,"2004",NA,NA
"1987",103043,"2011",NA,NA
"1988",103050,"2003",NA,NA
"1989",103050,"2007",NA,NA
"1991",103050,"2004",NA,NA
"1992",103050,"2001",NA,NA
"1993",103050,"1998",NA,NA
"1994",103053,"1999",NA,NA
"1995",103053,"2005",NA,NA
"1996",103053,"2003",NA,NA
"1998",103053,"2000",NA,NA
"1999",103053,"2001",NA,NA
"2000",103053,"2002",NA,NA
"2001",103053,"1998",10,4
"2002",103060,"1997",11,7
"2003",103060,"2001",4,2
"2005",103060,"1996",NA,NA
"2006",103060,"1994",NA,NA
"2007",103060,"1997",NA,NA
"2008",103060,"1999",NA,NA
"2009",103060,"2002",NA,NA
"2010",103060,"2000",NA,NA
"2011",103060,"2001",NA,NA
"2012",103060,"1998",NA,NA
"2013",103060,"1995",18,9
"2014",103060,"1995",16,11
"2015",103060,"2004",13,8
"2018",103063,"2005",NA,NA
"2019",103063,"2008",4,0
"2020",103063,"2001",9,4
"2022",103063,"2004",37,19
"2023",103063,"2002",31,16
"2024",103063,"2009",48,28
"2025",103063,"2002",16,8
"2026",103063,"2004",30,18
"2027",103063,"2009",43,28
"2028",103063,"2007",20,12
"2029",103063,"2006",10,7
"2030",103066,"1999",NA,NA
"2031",103066,"2000",NA,NA
