"","player_id","year","serves","serves_won"
"459",102233,"2007",NA,NA
"460",102233,"1990",NA,NA
"465",102257,"2000",NA,NA
"468",102257,"1999",NA,NA
"470",102257,"2000",1321,923
"471",102257,"2003",NA,NA
"482",102257,"1995",2253,1412
"483",102257,"1992",140,71
"485",102257,"2002",NA,NA
"486",102267,"2006",NA,NA
"487",102267,"2005",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"1995",107,53
"495",102269,"2004",915,537
"496",102269,"2001",94,60
"500",102269,"1996",139,82
"509",102271,"2005",118,62
"510",102271,"1995",NA,NA
"512",102271,"2003",NA,NA
"514",102271,"1996",NA,NA
"515",102271,"2001",NA,NA
"519",102271,"1994",NA,NA
"524",102271,"1993",NA,NA
"526",102282,"2006",60,37
"527",102282,"1998",75,41
"528",102286,"2005",NA,NA
"529",102286,"1995",NA,NA
"532",102286,"2002",NA,NA
"535",102286,"1996",NA,NA
"536",102286,"2003",NA,NA
"540",102286,"1997",NA,NA
"541",102286,"1994",NA,NA
"543",102287,"2005",459,264
"545",102287,"2003",681,448
"546",102287,"2003",1386,726
"549",102287,"1995",300,187
"551",102287,"1998",1754,943
"552",102287,"2006",856,469
"553",102287,"2000",1719,947
"556",102287,"2004",263,169
"558",102287,"2001",2483,1389
"561",102287,"2001",2298,1486
"562",102287,"1998",1008,634
"564",102287,"1997",1365,768
"566",102287,"1996",260,136
"573",102300,"1998",NA,NA
"574",102300,"2005",NA,NA
"575",102300,"1993",161,80
"577",102300,"1994",107,56
"580",102300,"1997",NA,NA
"581",102300,"2004",NA,NA
"583",102306,"2004",243,136
"584",102306,"2001",175,101
"587",102306,"2002",435,312
"591",102306,"2005",179,109
"593",102306,"1999",470,309
"594",102306,"1998",359,221
"595",102306,"2000",NA,NA
"601",102318,"2009",499,281
"604",102318,"1998",NA,NA
"606",102318,"2003",NA,NA
"607",102318,"1994",NA,NA
"610",102318,"2007",NA,NA
"611",102318,"1995",175,93
"612",102318,"1997",NA,NA
"613",102318,"2001",NA,NA
"616",102318,"1992",NA,NA
"622",102344,"1991",35,11
"623",102344,"2002",1583,1031
"624",102344,"1997",2080,1112
"625",102344,"1993",44,31
"626",102344,"1994",957,498
"627",102344,"2005",NA,NA
"628",102344,"2000",NA,NA
"629",102344,"1994",897,566
"630",102344,"2002",NA,NA
"636",102344,"1992",60,33
"644",102358,"1997",NA,NA
"646",102358,"1993",NA,NA
"647",102358,"2002",NA,NA
"653",102358,"1992",651,368
"655",102358,"1998",NA,NA
"657",102358,"1992",1126,724
"660",102358,"2001",2914,1921
"664",102374,"2005",55,29
"665",102374,"1997",NA,NA
"667",102374,"1998",NA,NA
"670",102374,"2005",386,217
"678",102374,"1995",1821,1155
"681",102374,"2004",1007,661
"683",102374,"2003",NA,NA
"686",102381,"2000",252,145
"687",102381,"2003",293,195
"689",102381,"2000",99,66
"694",102381,"2004",180,93
"696",102381,"2004",70,44
"697",102381,"2001",195,89
"699",102382,"2012",56,28
"700",102382,"2001",252,138
"701",102382,"2003",335,185
"704",102382,"1993",74,37
"708",102382,"2004",443,239
"709",102382,"1994",63,30
"712",102388,"2007",NA,NA
"713",102401,"2002",NA,NA
"717",102401,"1997",NA,NA
"718",102401,"1999",NA,NA
"719",102401,"2001",151,114
"720",102401,"1999",914,606
"723",102401,"2001",656,403
"726",102401,"1997",1816,1224
"727",102401,"2005",453,267
"728",102401,"1996",1779,1190
"729",102401,"1998",NA,NA
"732",102405,"2000",122,78
"733",102405,"2008",NA,NA
"736",102405,"1996",NA,NA
"738",102434,"2000",NA,NA
"739",102434,"2000",361,230
"740",102434,"1996",1857,1238
"741",102434,"2009",579,317
"743",102434,"2008",NA,NA
"746",102434,"2006",2240,1294
"747",102434,"2003",NA,NA
"748",102434,"1993",446,228
"750",102434,"2002",1382,781
"752",102434,"2007",1953,1284
"753",102434,"2010",52,27
"755",102434,"2006",1287,834
"758",102434,"1998",2147,1406
"760",102434,"1996",NA,NA
"763",102434,"1997",2159,1219
"772",102450,"1994",356,202
"774",102450,"2000",NA,NA
"775",102450,"2002",NA,NA
"777",102450,"1997",NA,NA
"781",102450,"1998",NA,NA
"782",102450,"2007",1171,728
"783",102450,"2005",1672,1166
"784",102450,"2006",1673,957
"785",102450,"1996",NA,NA
"787",102450,"2006",2194,1489
"790",102456,"1996",2143,1180
"794",102456,"2000",949,638
"798",102456,"2002",1809,1031
"804",102456,"1998",NA,NA
"809",102456,"2005",1048,676
"811",102494,"2003",829,560
"812",102494,"2003",NA,NA
"813",102494,"2001",318,210
"816",102494,"2001",629,320
"818",102494,"2005",988,548
"822",102494,"2006",359,224
"827",102494,"1997",54,35
"828",102494,"1999",104,61
"830",102496,"2004",NA,NA
"834",102497,"2002",56,26
"840",102497,"1999",188,110
"842",102512,"2008",162,105
"844",102512,"1999",163,97
"847",102512,"2009",170,99
"848",102512,"2006",61,31
"852",102538,"1998",NA,NA
"855",102538,"1995",NA,NA
"859",102538,"2000",NA,NA
"862",102538,"2003",NA,NA
"863",102538,"2001",NA,NA
"868",102539,"2004",1351,772
"871",102539,"2004",680,451
"876",102539,"1995",NA,NA
"881",102539,"1996",2654,1740
"882",102539,"1999",1268,806
"883",102539,"2002",NA,NA
"888",102539,"1999",NA,NA
"892",102548,"2001",NA,NA
"894",102548,"1997",896,478
"897",102548,"2003",128,61
"900",102548,"2002",289,184
"901",102548,"2005",288,149
"906",102548,"2002",396,198
"910",102556,"1995",NA,NA
"913",102556,"2003",NA,NA
"914",102556,"2001",NA,NA
"919",102556,"1998",NA,NA
"920",102558,"1999",63,47
"922",102558,"2005",77,51
"925",102558,"2002",124,64
"927",102558,"1999",116,67
"930",102558,"2000",NA,NA
"932",102558,"2008",NA,NA
"934",102562,"1997",NA,NA
"939",102562,"2002",NA,NA
"942",102562,"2006",1047,617
"945",102562,"2006",NA,NA
"946",102562,"2005",NA,NA
"947",102562,"1993",41,21
"949",102562,"1996",NA,NA
"952",102563,"2002",NA,NA
"953",102563,"1994",234,124
"955",102563,"2007",NA,NA
"957",102563,"1998",NA,NA
"958",102563,"1993",187,121
"964",102563,"2009",NA,NA
"969",102563,"1995",61,43
"971",102563,"1995",223,130
"978",102565,"2005",765,542
"979",102565,"2007",609,363
"981",102565,"2003",188,122
"985",102567,"2005",NA,NA
"988",102567,"2009",59,30
"989",102567,"2002",359,234
"991",102567,"2000",NA,NA
"994",102567,"1999",NA,NA
"995",102567,"2007",109,67
"999",102567,"2006",NA,NA
"1000",102567,"2002",598,347
"1003",102567,"2008",126,75
"1012",102571,"1997",66,38
"1014",102571,"2002",496,307
"1015",102571,"1996",294,156
"1021",102585,"2000",153,90
"1022",102585,"1996",82,54
"1030",102610,"1997",NA,NA
"1031",102610,"1999",1931,1128
"1037",102610,"1993",174,90
"1038",102610,"2006",137,76
"1041",102610,"2006",178,106
"1042",102610,"2004",NA,NA
"1045",102610,"1995",2475,1610
"1048",102610,"1998",NA,NA
"1052",102610,"2002",2929,1968
"1055",102615,"1992",107,62
"1059",102615,"2001",257,146
"1063",102615,"1993",56,33
"1064",102615,"2007",83,65
"1074",102615,"1999",366,207
"1078",102630,"2002",159,89
"1080",102630,"2005",NA,NA
"1087",102642,"2001",NA,NA
"1092",102642,"2000",308,208
"1097",102642,"2007",44,34
"1108",102655,"2004",NA,NA
"1125",102667,"2006",102,73
"1127",102667,"1998",43,27
"1133",102694,"2002",1052,700
"1140",102694,"2006",394,263
"1145",102694,"2004",731,464
"1147",102694,"2007",87,49
"1149",102694,"1994",162,93
"1157",102696,"2007",NA,NA
"1159",102703,"2000",NA,NA
"1160",102703,"2007",1896,1125
"1167",102703,"2009",NA,NA
"1170",102703,"1998",NA,NA
"1175",102703,"2001",NA,NA
"1177",102720,"2004",181,135
"1180",102720,"2006",NA,NA
"1197",102730,"2005",155,113
"1199",102730,"1998",396,266
"1210",102730,"1998",NA,NA
"1212",102737,"1999",NA,NA
"1220",102740,"2006",NA,NA
"1221",102740,"2000",NA,NA
"1222",102740,"2004",NA,NA
"1230",102770,"2001",347,161
"1232",102770,"2004",NA,NA
"1242",102770,"1997",554,393
"1243",102770,"2001",NA,NA
"1244",102780,"1997",78,42
"1245",102780,"2003",NA,NA
"1246",102780,"2004",110,82
"1247",102780,"2009",NA,NA
"1248",102780,"2001",NA,NA
"1249",102780,"2004",NA,NA
"1250",102780,"2000",99,66
"1251",102780,"2005",NA,NA
"1252",102780,"2009",67,44
"1253",102780,"2000",NA,NA
"1254",102780,"2002",58,34
"1255",102780,"2003",132,101
"1256",102780,"1998",62,40
"1257",102780,"2008",NA,NA
"1258",102780,"2002",NA,NA
"1259",102780,"1999",NA,NA
"1260",102780,"2007",NA,NA
"1261",102783,"1998",877,568
"1262",102783,"1999",1539,993
"1263",102783,"2007",1132,629
"1264",102783,"2008",1583,909
"1265",102783,"2006",NA,NA
"1266",102783,"2002",NA,NA
"1267",102783,"1995",74,41
"1268",102783,"2000",NA,NA
"1269",102783,"2010",NA,NA
"1270",102783,"1998",1021,562
"1271",102783,"2007",634,421
"1272",102783,"1997",286,188
"1273",102783,"2001",2549,1702
"1274",102783,"2005",1912,1047
"1275",102783,"2005",NA,NA
"1276",102783,"2011",361,238
"1277",102783,"2011",1162,672
"1278",102783,"2008",1951,1296
"1279",102783,"2010",1514,900
"1280",102783,"2009",NA,NA
"1281",102783,"2003",NA,NA
"1282",102783,"1999",NA,NA
"1283",102783,"1997",132,71
"1284",102783,"2004",NA,NA
"1285",102783,"2001",2604,1487
"1286",102785,"2006",48,28
"1287",102785,"2004",481,332
"1288",102785,"2001",231,160
"1289",102785,"1997",167,115
"1290",102785,"1996",115,71
"1291",102785,"2001",239,138
"1292",102785,"2005",124,88
"1293",102785,"1998",126,78
"1294",102785,"2003",62,33
"1295",102785,"2002",67,41
"1296",102785,"1998",86,56
"1297",102785,"2004",622,359
"1298",102785,"2005",231,129
"1299",102785,"2000",64,37
"1300",102785,"1997",217,143
"1301",102788,"2003",960,548
"1302",102788,"2005",84,46
"1303",102788,"2005",49,34
"1304",102788,"2006",113,82
"1305",102788,"2008",70,43
"1306",102788,"2003",347,229
"1307",102788,"2004",270,173
"1308",102788,"2007",52,25
"1309",102788,"2002",NA,NA
"1311",102788,"2001",672,381
"1313",102788,"2004",922,527
"1314",102788,"2001",639,409
"1315",102788,"2002",791,540
"1316",102788,"2007",66,46
"1317",102800,"1996",NA,NA
"1318",102800,"1999",337,229
"1319",102800,"1998",NA,NA
"1320",102800,"2004",NA,NA
"1321",102800,"1999",202,109
"1322",102800,"2001",83,57
"1323",102800,"2013",NA,NA
"1324",102800,"2008",NA,NA
"1325",102800,"2001",NA,NA
"1326",102800,"2002",NA,NA
"1327",102800,"2006",108,62
"1328",102800,"2004",142,89
"1329",102800,"2005",89,67
"1330",102800,"1997",NA,NA
"1331",102800,"2017",NA,NA
"1332",102800,"2005",78,46
"1333",102800,"2007",61,45
"1334",102800,"2003",231,140
"1336",102802,"2003",NA,NA
"1337",102802,"2005",NA,NA
"1338",102802,"1997",NA,NA
"1339",102802,"2002",NA,NA
"1340",102811,"2006",138,78
"1341",102811,"2001",NA,NA
"1342",102811,"1996",NA,NA
"1343",102811,"2003",55,32
"1344",102811,"2007",47,33
"1345",102811,"2008",133,79
"1346",102811,"2004",NA,NA
"1347",102811,"2003",NA,NA
"1348",102811,"2007",448,298
"1349",102811,"1998",NA,NA
"1350",102811,"2005",134,75
"1351",102811,"1999",NA,NA
"1352",102811,"2005",227,147
"1353",102811,"2006",228,156
"1354",102811,"2002",NA,NA
"1355",102811,"2008",109,65
"1356",102812,"2008",NA,NA
"1357",102812,"1999",NA,NA
"1358",102812,"2001",NA,NA
"1359",102812,"1998",NA,NA
"1360",102812,"2005",NA,NA
"1361",102812,"1997",NA,NA
"1362",102812,"2003",NA,NA
"1363",102812,"2000",NA,NA
"1364",102821,"2001",1654,929
"1365",102821,"1999",NA,NA
"1366",102821,"2004",78,52
"1367",102821,"2009",NA,NA
"1368",102821,"2000",934,511
"1369",102821,"1996",325,179
"1370",102821,"2003",195,115
"1371",102821,"2000",388,267
"1372",102821,"1999",1561,842
"1373",102821,"1997",568,322
"1374",102821,"2005",39,32
"1375",102821,"2010",NA,NA
"1376",102821,"1997",168,109
"1377",102821,"2001",825,554
"1378",102821,"2005",142,90
"1379",102821,"2008",NA,NA
"1380",102821,"1998",78,51
"1381",102821,"2004",201,118
"1382",102821,"2003",995,539
"1383",102821,"2011",NA,NA
"1384",102821,"2002",1225,682
"1385",102821,"2007",NA,NA
"1386",102821,"2002",713,470
"1387",102826,"2009",NA,NA
"1388",102826,"1993",NA,NA
"1389",102826,"1998",NA,NA
"1390",102826,"1994",NA,NA
"1391",102826,"1995",NA,NA
"1392",102826,"1999",NA,NA
"1393",102826,"2004",NA,NA
"1394",102830,"2003",NA,NA
"1395",102830,"2004",NA,NA
"1396",102830,"2001",NA,NA
"1397",102830,"1999",NA,NA
"1398",102830,"2000",NA,NA
"1399",102830,"2010",NA,NA
"1400",102834,"2001",328,213
"1401",102834,"2005",902,567
"1402",102834,"1998",260,166
"1403",102834,"1996",96,60
"1404",102834,"2005",1065,593
"1405",102834,"1999",1190,746
"1406",102834,"2006",1061,682
"1407",102834,"2007",684,431
"1408",102834,"2006",1517,820
"1409",102834,"2004",343,220
"1410",102834,"2007",965,513
"1411",102834,"1995",83,49
"1412",102834,"2002",229,119
"1413",102834,"2001",687,359
"1414",102834,"1993",89,46
"1415",102834,"1999",1492,811
"1416",102834,"1994",NA,NA
"1417",102834,"1998",145,93
"1418",102834,"2003",223,148
"1419",102834,"2004",505,290
"1420",102834,"2002",123,85
"1421",102834,"2000",1780,991
"1422",102834,"2003",424,232
"1423",102834,"2000",1495,957
"1428",102839,"1994",NA,NA
"1430",102839,"2006",1002,664
"1431",102839,"2005",NA,NA
"1432",102839,"2007",887,565
"1438",102839,"1995",NA,NA
"1445",102839,"2009",1349,810
"1450",102843,"2002",NA,NA
"1454",102843,"2006",NA,NA
"1462",102845,"1999",NA,NA
"1482",102845,"1998",NA,NA
"1484",102845,"2002",1808,1090
"1500",102851,"2000",77,45
"1501",102854,"2001",NA,NA
"1503",102854,"2005",706,387
"1504",102854,"1995",1342,861
"1508",102854,"2005",NA,NA
"1510",102854,"1996",NA,NA
"1514",102854,"2003",NA,NA
"1516",102854,"1997",NA,NA
"1517",102854,"2002",NA,NA
