"player_id","year","double_fault","service_points"
103240,"2008",NA,NA
103252,"2010",20,618
103252,"2003",NA,NA
103252,"2007",49,1148
103252,"1998",30,531
103252,"2004",194,3870
103252,"2009",74,1936
103252,"2000",NA,NA
103252,"1996",17,313
103252,"2002",NA,NA
103252,"1999",NA,NA
103252,"2001",284,4603
103252,"1997",NA,NA
103252,"2005",178,3916
103252,"2006",118,2832
103252,"2008",18,511
103305,"2000",31,680
103305,"2004",44,598
103305,"2005",8,177
103305,"2002",NA,NA
103305,"1997",NA,NA
103305,"2001",65,904
103339,"1998",NA,NA
103339,"2007",24,233
103339,"2004",6,131
103339,"2006",21,354
103373,"2009",18,519
103373,"2007",NA,NA
103373,"2000",1,173
103373,"2008",52,1837
103373,"2005",NA,NA
103373,"2003",13,467
103373,"2006",8,698
103401,"2007",34,1551
103401,"2011",11,625
103401,"2005",NA,NA
103401,"2014",3,294
103401,"2015",8,285
103401,"2004",41,1529
103401,"2009",NA,NA
103401,"2016",NA,NA
103401,"2010",NA,NA
103401,"2006",NA,NA
103401,"2002",NA,NA
103401,"2000",NA,NA
103401,"2013",32,705
103401,"2008",31,1080
103401,"2012",12,307
103408,"2002",61,1230
103408,"2006",7,150
103408,"2003",97,2607
103408,"2004",41,847
103408,"2005",6,232
103420,"1996",9,279
103420,"1997",NA,NA
103420,"2001",NA,NA
103420,"2005",119,1166
103420,"2004",NA,NA
103420,"1998",2,146
103420,"2008",NA,NA
103420,"2002",36,826
103420,"2000",30,538
103420,"1999",5,255
103424,"2006",20,373
103448,"2008",3,119
103451,"2010",89,1568
103451,"2002",26,519
103451,"2006",120,3057
103451,"1999",17,304
103451,"2007",63,1166
103451,"2009",102,2003
103451,"2011",32,647
103451,"1998",NA,NA
103451,"2014",16,316
103451,"2004",26,582
103451,"2012",95,1762
103451,"2001",28,487
103451,"2008",27,566
103451,"2005",87,1943
103451,"2013",17,414
103451,"2003",17,451
103451,"2000",NA,NA
103470,"2011",36,962
103470,"2012",NA,NA
103470,"2005",NA,NA
103470,"2009",73,2002
103470,"2007",113,1780
103470,"2008",43,1028
103470,"2003",92,1303
103470,"2004",39,557
103470,"2010",NA,NA
103470,"2006",56,814
103487,"2002",31,469
103487,"2007",NA,NA
103487,"2001",NA,NA
103487,"2005",30,630
103487,"2000",10,322
103487,"2006",11,312
103487,"1998",NA,NA
103490,"2009",35,919
103490,"2007",25,600
103490,"2006",3,228
103490,"2010",50,1068
103490,"2004",NA,NA
103490,"2005",72,1975
103490,"2008",82,1809
103516,"2005",23,378
103516,"2006",35,564
103516,"2004",NA,NA
103516,"2007",37,391
103534,"2004",6,157
103534,"2012",3,232
103534,"2009",74,1693
103534,"2007",57,1961
103534,"2008",63,1174
103534,"2011",NA,NA
103534,"2005",NA,NA
103534,"2006",9,229
103538,"2006",9,219
103543,"2010",8,245
103543,"2008",12,603
103565,"2010",91,2238
103565,"2020",NA,NA
103565,"2011",25,548
103565,"2018",15,258
103565,"2015",28,556
103565,"2004",5,216
103565,"2017",76,808
103565,"2016",142,2533
103565,"2014",73,1235
103565,"2012",NA,NA
103565,"2013",15,385
103566,"2013",NA,NA
103566,"2000",68,1018
103566,"2014",18,724
103566,"2008",NA,NA
103566,"2003",57,1085
103566,"2006",NA,NA
103566,"2010",NA,NA
103566,"2009",87,2214
103566,"2001",123,1569
103566,"2002",NA,NA
103566,"2005",75,2466
103566,"2007",115,2726
103566,"2004",75,2430
103566,"2011",NA,NA
103566,"2012",63,2084
103582,"2016",26,1066
103582,"2007",83,1957
103582,"2010",138,3726
103582,"2005",8,163
103582,"2014",20,739
103582,"2015",84,1385
103582,"2013",18,368
103582,"2011",114,2886
103582,"2012",34,1300
103582,"2004",NA,NA
103582,"2006",74,1259
103582,"2008",NA,NA
103582,"2009",63,1062
103656,"2005",73,2229
103656,"2010",NA,NA
103656,"2007",NA,NA
103656,"2006",104,2031
103656,"2008",171,3427
103656,"2012",79,1644
103656,"2004",70,1770
103656,"2014",86,1915
103656,"2003",81,1711
103656,"2017",4,131
103656,"2001",64,1670
103656,"2011",185,3725
103656,"2002",121,3143
103656,"2009",NA,NA
103656,"2013",125,2786
103656,"2015",56,1031
103656,"2016",45,1034
103675,"2006",5,312
103675,"2007",NA,NA
103675,"2009",48,1500
103675,"2008",7,222
103675,"2010",NA,NA
103675,"2012",5,244
103675,"2011",9,476
103693,"2010",NA,NA
103693,"2006",26,710
103693,"2003",24,558
103693,"2008",18,744
103693,"2009",7,269
103693,"2007",23,579
103693,"2005",16,495
103693,"2002",NA,NA
103693,"2004",NA,NA
103700,"2002",NA,NA
103700,"2004",12,277
103700,"2007",NA,NA
103700,"2006",15,429
103700,"2005",9,226
103701,"2008",23,525
103701,"2007",NA,NA
103701,"2006",10,421
103702,"2006",8,108
103722,"2011",30,1123
103722,"2010",89,3908
103722,"2004",18,424
103722,"2009",114,4218
103722,"2003",NA,NA
103722,"2014",NA,NA
103722,"2006",111,4055
103722,"2005",41,1617
103722,"2007",NA,NA
103722,"2013",NA,NA
103722,"2002",NA,NA
103722,"2012",35,1201
103722,"2008",63,3197
103737,"2005",6,367
103737,"2006",46,865
103737,"2002",NA,NA
103737,"2003",5,126
103747,"2009",NA,NA
103747,"2011",NA,NA
103747,"2008",15,234
103747,"2006",6,79
103747,"2007",21,345
103747,"2010",5,147
103761,"2004",8,163
103761,"2007",9,232
103761,"2008",NA,NA
103761,"2006",NA,NA
103761,"2005",14,262
103763,"2008",16,244
103794,"2007",NA,NA
103794,"2006",59,1519
103794,"2011",33,931
103794,"2008",87,2148
103794,"2015",NA,NA
103794,"2010",NA,NA
103794,"2016",76,1902
103794,"2014",151,3874
103794,"2012",74,1895
103794,"2013",91,2352
103794,"2017",NA,NA
103794,"2009",71,2352
103823,"2006",49,1346
103823,"2009",38,810
103823,"2008",NA,NA
103823,"2012",3,147
103823,"2011",28,1004
103823,"2002",NA,NA
103823,"2007",NA,NA
103823,"2005",10,267
103850,"2008",10,398
103850,"2009",6,196
103850,"2011",NA,NA
103868,"2008",65,1486
103868,"2006",25,655
103868,"2007",NA,NA
103868,"2011",9,224
103868,"2010",25,665
103868,"2004",NA,NA
103868,"2005",15,321
103868,"2009",102,2370
103868,"2012",6,124
103893,"2014",53,1764
103893,"2017",NA,NA
103893,"2011",14,332
103893,"2010",NA,NA
103893,"2016",131,4018
103893,"2015",NA,NA
103893,"2007",6,171
