tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-1536,Madrid Masters,Hard,48,M,20081012,300,103586,103690,7,,102405,101956,4,,6-4 6-2,3,F,Mariusz Fyrstenberg,L,193,POL,28.26557153,Marcin Matkowski,R,188,POL,27.74264203,Mahesh Bhupathi,R,185,IND,34.35181383,Mark Knowles,R,190,BAH,37.10882957,19,1825,19,1825,11,2790,5,3475,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,299,102405,101956,4,,102035,102061,5,,6-2 6-4,3,SF,Mahesh Bhupathi,R,185,IND,34.35181383,Mark Knowles,R,190,BAH,37.10882957,Jonas Bjorkman,R,183,SWE,36.55852156,Kevin Ullyett,R,178,ZIM,36.39151266,11,2790,5,3475,12,2740,9,2875,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,298,103586,103690,7,,102979,103325,8,,6-7 7-6 12-10,3,SF,Mariusz Fyrstenberg,L,193,POL,28.26557153,Marcin Matkowski,R,188,POL,27.74264203,Jeff Coetzee,R,173,RSA,31.46885695,Wesley Moodie,R,196,RSA,29.66187543,19,1825,19,1825,13,2160,18,1845,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,297,102035,102061,5,,103184,103185,1,,6-4 6-4,3,QF,Jonas Bjorkman,R,183,SWE,36.55852156,Kevin Ullyett,R,178,ZIM,36.39151266,Bob Bryan,L,193,USA,30.45859001,Mike Bryan,R,190,USA,30.45859001,12,2740,9,2875,1,5825,1,5825,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,296,103586,103690,7,,102110,102800,2,,6-3 3-6 11-9,3,QF,Mariusz Fyrstenberg,L,193,POL,28.26557153,Marcin Matkowski,R,188,POL,27.74264203,Daniel Nestor,L,190,CAN,36.10677618,Nenad Zimonjic,R,190,SRB,32.35865845,19,1825,19,1825,3,5635,4,5045,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,295,102405,101956,4,,102388,102382,6,,6-3 7-5,3,QF,Mahesh Bhupathi,R,185,IND,34.35181383,Mark Knowles,R,190,BAH,37.10882957,Simon Aspelin,R,185,SWE,34.4257358,Julian Knowle,L,188,AUT,34.45859001,11,2790,5,3475,14,2105,15,2065,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,294,102979,103325,8,,104665,104719,,WC,7-6 6-3,3,QF,Jeff Coetzee,R,173,RSA,31.46885695,Wesley Moodie,R,196,RSA,29.66187543,Pablo Andujar,R,180,ESP,22.72142368,Marcel Granollers,R,190,ESP,22.50513347,13,2160,18,1845,478,98,51,1075,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,293,103184,103185,1,,104249,102987,,,6-1 6-4,3,R16,Bob Bryan,L,193,USA,30.45859001,Mike Bryan,R,190,USA,30.45859001,Marcelo Melo,R,203,BRA,25.0568104,Andre Sa,R,185,BRA,31.43874059,1,5825,1,5825,21,1740,23,1690,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,292,102110,102800,2,,103852,104269,,,7-6 6-4,3,R16,Daniel Nestor,L,190,CAN,36.10677618,Nenad Zimonjic,R,190,SRB,32.35865845,Feliciano Lopez,L,188,ESP,27.06365503,Fernando Verdasco,L,188,ESP,24.91170431,3,5635,4,5045,43,1110,49,1090,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,291,104665,104719,,WC,104160,102233,3,,6-1 3-6 10-7,3,R16,Pablo Andujar,R,180,ESP,22.72142368,Marcel Granollers,R,190,ESP,22.50513347,Lukas Dlouhy,R,185,CZE,25.51403149,Leander Paes,R,178,IND,35.32375086,478,98,51,1075,10,2855,7,3025,,,,,,,,,,,,,,,,,,,
