tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-1536,Madrid Masters,Clay,56,M,20140504,300,102110,102800,6,,103184,103185,1,,6-4 6-2,3,F,Daniel Nestor,L,190,CAN,41.66461328,Nenad Zimonjic,R,190,SRB,37.91649555,Bob Bryan,L,193,USA,36.0164271,Mike Bryan,R,190,USA,36.0164271,12,4050,17,3510,1,14290,1,14290,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,299,103184,103185,1,,103543,104269,4,,7-6 7-5,3,SF,Bob Bryan,L,193,USA,36.0164271,Mike Bryan,R,190,USA,36.0164271,David Marrero,R,185,ESP,34.07255305,Fernando Verdasco,L,188,ESP,30.46954141,1,14290,1,14290,8,4620,11,4145,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,298,102110,102800,6,,108701,104857,,,7-5 6-4,3,SF,Daniel Nestor,L,190,CAN,41.66461328,Nenad Zimonjic,R,190,SRB,37.91649555,Juan Sebastian Cabal,R,,COL,28.02737851,Robert Farah,R,193,COL,27.2881588,12,4050,17,3510,30,2705,32,2605,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,297,103184,103185,1,,103586,103690,,,7-6 6-3,3,QF,Bob Bryan,L,193,USA,36.0164271,Mike Bryan,R,190,USA,36.0164271,Mariusz Fyrstenberg,L,193,POL,33.82340862,Marcin Matkowski,R,188,POL,33.30047912,1,14290,1,14290,24,2900,26,2830,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,296,102110,102800,6,,103580,103946,2,,7-6 6-4,3,QF,Daniel Nestor,L,190,CAN,41.66461328,Nenad Zimonjic,R,190,SRB,37.91649555,Alexander Peya,R,183,AUT,33.85352498,Bruno Soares,R,180,BRA,32.183436,12,4050,17,3510,3,7400,3,7400,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,295,103543,104269,4,,103523,103529,8,,7-6 7-6,3,QF,David Marrero,R,185,ESP,34.07255305,Fernando Verdasco,L,188,ESP,30.46954141,Rohan Bopanna,R,190,IND,34.16837782,Aisam Ul Haq Qureshi,R,183,PAK,34.13278576,8,4620,11,4145,14,4000,27,2790,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,294,108701,104857,,,104731,103781,,PR,6-7 6-3 10-6,3,QF,Juan Sebastian Cabal,R,,COL,28.02737851,Robert Farah,R,193,COL,27.2881588,Kevin Anderson,R,203,RSA,27.96440794,Jurgen Melzer,L,183,AUT,32.95277207,30,2705,32,2605,129,545,61,1125,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,293,103184,103185,1,,103828,104486,,,7-5 3-6 11-9,3,R16,Bob Bryan,L,193,USA,36.0164271,Mike Bryan,R,190,USA,36.0164271,Jean Julien Rojer,R,183,AHO,32.69267625,Horia Tecau,R,193,ROU,29.28952772,1,14290,1,14290,29,2740,20,3150,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,292,103580,103946,2,,104600,104693,,,6-7 6-1 10-8,3,R16,Alexander Peya,R,183,AUT,33.85352498,Bruno Soares,R,180,BRA,32.183436,Treat Conrad Huey,L,178,PHI,28.6844627,Dominic Inglot,R,,GBR,28.16427105,3,7400,3,7400,22,2915,19,3155,,,,,,,,,,,,,,,,,,,
2014-1536,Madrid Masters,Clay,56,M,20140504,291,108701,104857,,,104471,104249,3,,6-4 6-2,3,R16,Juan Sebastian Cabal,R,,COL,28.02737851,Robert Farah,R,193,COL,27.2881588,Ivan Dodig,R,183,CRO,29.33607118,Marcelo Melo,R,203,BRA,30.6146475,30,2705,32,2605,6,5740,5,6200,,,,,,,,,,,,,,,,,,,
