"","player_id","year","matches_won","total_matches"
"199",101675,"2001",0,3
"200",101675,"1998",2,8
"201",101675,"1994",0,1
"202",101675,"1997",1,3
"203",101675,"1999",8,28
"204",101675,"1996",0,1
"205",101675,"2000",5,12
"206",101731,"1988",2,7
"207",101731,"1989",5,15
"208",101731,"1997",4,14
"209",101731,"1992",1,3
"210",101731,"1996",7,24
"211",101731,"1987",3,6
"212",101731,"1993",1,3
"213",101731,"1986",0,2
"214",101731,"1991",11,26
"215",101731,"1998",5,7
"216",101731,"2000",0,1
"217",101731,"1990",7,16
"218",101731,"1994",2,8
"219",101731,"1999",2,5
"220",101731,"1995",6,21
"221",101736,"1993",33,44
"222",101736,"1989",41,60
"223",101736,"1988",63,74
"224",101736,"2001",46,61
"225",101736,"2006",10,18
"226",101736,"1990",45,57
"227",101736,"1998",68,86
"228",101736,"1996",38,52
"229",101736,"1995",73,82
"230",101736,"1986",5,11
"231",101736,"1999",63,77
"232",101736,"2000",40,55
"233",101736,"2004",37,50
"234",101736,"1992",42,57
"235",101736,"1994",52,66
"236",101736,"1997",12,24
"237",101736,"2002",54,66
"238",101736,"2003",47,57
"239",101736,"2005",38,51
"240",101736,"1987",26,43
"241",101736,"1991",39,56
"242",101779,"1988",0,1
"243",101779,"1992",0,1
"244",101779,"1994",0,1
"245",101779,"2008",0,1
"246",101793,"1988",21,36
"247",101793,"1993",58,75
"248",101793,"1999",31,52
"249",101793,"1998",21,43
"250",101793,"1994",47,66
"251",101793,"1987",0,2
"252",101793,"1997",32,51
"253",101793,"1989",30,48
"254",101793,"1996",33,50
"255",101793,"1995",61,83
"256",101793,"1992",70,88
"257",101793,"1990",45,68
"258",101793,"1991",55,74
"259",101793,"2000",4,9
"260",101797,"1994",40,65
"261",101797,"1990",3,6
"262",101797,"1991",12,36
"263",101797,"1995",26,54
"264",101797,"1997",1,6
"265",101797,"1992",18,40
"266",101797,"1993",22,48
"267",101797,"1989",0,1
"268",101797,"1996",5,18
"269",101820,"2002",8,20
"270",101820,"1996",39,68
"271",101820,"2004",4,12
"272",101820,"2003",6,15
"273",101820,"1992",40,66
"274",101820,"1988",0,1
"275",101820,"1995",40,62
"276",101820,"2001",12,36
"277",101820,"1990",36,61
"278",101820,"1999",27,54
"279",101820,"1989",7,9
"280",101820,"1998",29,58
"281",101820,"1993",49,73
"282",101820,"1994",49,76
"283",101820,"1991",23,56
"284",101820,"2000",31,56
"285",101820,"1997",34,66
"286",101826,"2000",1,10
"287",101826,"1998",2,6
"288",101826,"1996",0,2
"289",101826,"1995",11,26
"290",101826,"1997",0,2
"291",101826,"1999",2,5
"292",101826,"1994",2,3
"293",101855,"2003",1,4
"294",101855,"2001",1,4
"295",101855,"2005",0,1
"296",101866,"1993",7,20
"297",101866,"1995",7,20
"298",101866,"1989",1,2
"299",101866,"1990",0,1
"300",101866,"1994",19,47
"301",101866,"1991",1,4
"302",101866,"1996",10,31
"303",101866,"1999",1,2
"304",101866,"1992",5,12
"305",101866,"1997",3,9
"306",101868,"2002",1,7
"307",101868,"2005",2,11
"308",101868,"1993",1,2
"309",101868,"1997",4,8
"310",101868,"2003",3,9
"311",101868,"2004",1,8
"312",101868,"1995",9,16
"313",101868,"2009",1,2
"314",101868,"1996",1,13
"315",101868,"1992",0,1
"316",101868,"2001",0,1
"317",101868,"1998",0,3
"318",101868,"2007",4,5
"319",101868,"2006",3,13
"320",101871,"1996",0,1
"321",101871,"2004",0,1
"322",101871,"1997",0,2
"323",101871,"1994",0,2
"324",101871,"1991",1,2
"325",101871,"1993",2,3
"326",101885,"1998",4,7
"327",101885,"2000",14,33
"328",101885,"1996",1,3
"329",101885,"2004",14,35
"330",101885,"2001",19,44
"331",101885,"2006",7,18
"332",101885,"2002",25,48
"333",101885,"2005",18,37
"334",101885,"2007",4,6
"335",101885,"2003",14,38
"336",101885,"1999",14,25
"337",101889,"2003",0,2
"338",101889,"1992",25,48
"339",101889,"1989",6,12
"340",101889,"1997",27,47
"341",101889,"2000",4,10
"342",101889,"2004",1,1
"343",101889,"1990",17,35
"344",101889,"1991",22,46
"345",101889,"1993",19,39
"346",101889,"1994",15,34
"347",101889,"1996",42,66
"348",101889,"1999",8,24
"349",101889,"2001",4,10
"350",101889,"1988",1,7
"351",101889,"1998",21,44
"352",101889,"1995",32,56
"353",101889,"2005",1,1
"354",101904,"1997",0,1
"355",101904,"1996",1,2
"356",101932,"1989",3,5
"357",101932,"2000",2,4
"358",101932,"1992",2,6
"359",101932,"1990",1,3
"360",101932,"1996",4,11
"361",101932,"1991",1,4
"362",101932,"1999",1,2
"363",101932,"1988",1,3
