player_id,player_name,rating
206173,Jannik Sinner,2209.9188438213487
104925,Novak Djokovic,2102.189996600161
207989,Carlos Alcaraz,2029.429824768352
104417,Robin Soderling,2011.2840904083398
103819,Roger Federer,2010.1617517919535
100644,Alexander Zverev,1983.1619687531872
126203,Taylor Fritz,1955.7365659943753
106401,Nick Kyrgios,1930.3743145817214
105223,Juan Martin del Potro,1926.8104921802842
106421,Daniil Medvedev,1914.0269536748021
207733,Jack Draper,1891.604078461393
105777,Grigor Dimitrov,1880.3482416555032
200282,Alex De Minaur,1876.3669315996606
104745,Rafael Nadal,1870.6636771982844
208029,Holger Rune,1866.1472998545798
200624,Sebastian Korda,1854.8171256218848
126205,Tommy Paul,1839.0729677279473
126774,Stefanos Tsitsipas,1835.567575211908
126610,Matteo Berrettini,1831.129283187578
128034,Hubert Hurkacz,1829.2931659856454
104053,Andy Roddick,1829.1061556819116
111575,Karen Khachanov,1826.496188883047
200005,Ugo Humbert,1825.2342390402298
207830,Tomas Machac,1791.5077320783073
207518,Lorenzo Musetti,1790.465857341711
210097,Ben Shelton,1788.362739577634
200615,Alexei Popyrin,1784.476026945165
104792,Gael Monfils,1775.9082257004688
111442,Jordan Thompson,1770.9461313528343
209950,Arthur Fils,1770.7231296201728
105683,Milos Raonic,1770.2836976717804
105526,Jan Lennard Struff,1768.3699870595751
208103,Jiri Lehecka,1768.1270580683463
126207,Frances Tiafoe,1762.747514635258
105453,Kei Nishikori,1759.1824703149894
207925,Flavio Cobolli,1759.1241015725573
200000,Felix Auger Aliassime,1754.0491833011235
133430,Denis Shapovalov,1753.754597667166
134770,Casper Ruud,1750.7783191695858
103900,David Nalbandian,1749.3113465264507
104607,Tomas Berdych,1745.3091035675482
103888,Mardy Fish,1744.04729407375
134868,Tallon Griekspoor,1743.379900646504
126094,Andrey Rublev,1737.2905950583497
105238,Alexandr Dolgopolov,1735.0283510454276
202103,Francisco Cerundolo,1728.742586053744
202385,Jenson Brooksby,1727.5728861212465
104339,Mario Ancic,1726.1289659276117
105138,Roberto Bautista Agut,1725.5348141963045
111202,Hyeon Chung,1724.9672048890911
105676,David Goffin,1723.6168686424548
103285,Radek Stepanek,1715.4132801831247
106423,Thanasi Kokkinakis,1714.939394930281
206909,Brandon Nakashima,1711.2246912745184
210506,Alex Michelsen,1707.6202287724925
106218,Marcos Giron,1701.9185949553655
103970,David Ferrer,1700.8716927562682
105807,Pablo Carreno Busta,1699.9911943408567
210150,Jakub Mensik,1698.002977999279
208286,Matteo Arnaldi,1695.623925091286
101736,Andre Agassi,1692.9233513990985
208659,Giovanni Mpetshi Perricard,1687.00178523308
144684,Alex Molcan,1685.608115585865
105668,Jerzy Janowicz,1683.951585333666
111815,Cameron Norrie,1683.592029631774
103507,Juan Carlos Ferrero,1680.1537800146068
200325,Emil Ruusuvuori,1678.9692021975973
103898,Julien Benneteau,1677.7594159931948
105870,Yannick Hanfmann,1676.2032928111657
105227,Marin Cilic,1673.6803862668316
144869,Tomas Martin Etcheverry,1670.7103019001008
104338,Juan Monaco,1670.5973815074997
126128,Roman Safiullin,1670.2910326446872
104597,Nicolas Almagro,1669.4201274845457
105656,Marcelo Arevalo,1668.2081189354894
209098,Hamad Medjedovic,1667.923489674659
104871,Jeremy Chardy,1666.7834108213297
106415,Yoshihito Nishioka,1665.081056914458
103498,Marat Safin,1664.9733136091018
103344,Ivan Ljubicic,1663.1604251604742
126846,Aleksandar Vukic,1662.8668864294705
200221,Alejandro Davidovich Fokina,1660.7987567632374
126214,Alejandro Tabilo,1660.0484348805849
103917,Nicolas Mahut,1656.56248530103
144707,Mikael Ymer,1656.2357837501222
103781,Jurgen Melzer,1654.1192679372434
200175,Miomir Kecmanovic,1653.9419660508456
136440,Dominik Koepfer,1650.8374571893612
126239,Arthur Rinderknech,1650.712753827799
103602,Fernando Gonzalez,1650.5310876525205
106148,Roberto Carballes Baena,1650.3158518533971
111581,Michael Mmoh,1647.645504058551
124187,Reilly Opelka,1647.613146049199
127339,Borna Gojo,1646.7929647124547
122298,Botic Van De Zandschulp,1646.2608526052634
106426,Cristian Garin,1645.5943518416375
105916,Marton Fucsovics,1645.3561078849395
132686,Nuno Borges,1641.8866147554552
105575,Ricardas Berankis,1639.005560339179
211663,Joao Fonseca,1638.838278402828
105577,Vasek Pospisil,1638.6860551333532
105583,Dusan Lajovic,1633.628551532171
104731,Kevin Anderson,1633.4163139334785
206681,Fabian Marozsan,1632.4061462988923
104468,Gilles Simon,1631.7285078021232
111190,Zhizhen Zhang,1629.173322953268
103017,Nicolas Kiefer,1625.4078998201785
105985,Darian King,1624.8733266954966
207352,Bu Yunchaokete,1622.8442801054273
104571,Marcos Baghdatis,1622.6708275384983
132283,Lorenzo Sonego,1622.5773040963911
111460,Quentin Halys,1622.4251716016784
106331,Christopher Oconnell,1622.1381087314546
200267,Zizou Bergs,1620.845352886335
209992,Juncheng Shang,1620.5453490021323
103566,Michael Llodra,1620.3722563258475
104547,Horacio Zeballos,1620.078138990113
208502,Dominic Stricker,1617.7153006292137
126127,Benjamin Bonzi,1616.841769380775
104545,John Isner,1616.6377810252113
104527,Stan Wawrinka,1616.5432945183984
202104,Sebastian Baez,1616.4194142191966
111797,Nicolas Jarry,1616.0511291885755
111513,Laslo Djere,1615.6528954986777
205734,Thiago Seyboth Wild,1614.8450595670538
122330,Alexander Bublik,1613.5296826741696
103720,Lleyton Hewitt,1612.7257364772227
104620,Simone Bolelli,1611.429039082869
105723,Andrey Kuznetsov,1609.529176170819
104918,Andy Murray,1609.111693770752
