"","player_id","name_first","name_last","hand","dob","ioc","height"
"6213",201293,"Catalina","Castano","R",19790707,"COL",171
"6299",201294,"Marion","Bartoli","R",19841002,"FRA",170
"6655",201295,"Wynne","Prakusya","R",19810426,"INA",160
"6657",201297,"Maja","Matevzic","L",19800613,"SLO",175
"6658",201298,"Zsofia","Gubacsi","R",19810406,"HUN",173
"6662",201300,"Maria Emilia","Salerni","R",19830514,"ARG",174
"6679",201301,"Camille","Pin","R",19810825,"FRA",162
"6728",201302,"Clarisa","Fernandez","L",19810828,"ARG",179
"6733",201303,"Anne","Keothavong","R",19830916,"GBR",175
"6795",201304,"Elena","Baltacha","R",19830814,"GBR",175
"6854",201305,"Eleni","Daniilidou","R",19820919,"GRE",182
"6956",201306,"Marie Gaiane","Mikaelian","R",19840303,"SUI",172
"6957",201307,"Amber","Liu","R",19840706,"USA",NA
"6958",201308,"Maria Elena","Camerin","R",19820321,"ITA",164
"7020",201309,"Tatiana","Perebiynis","R",19821215,"UKR",173
"7036",201310,"Martina","Muller","R",19821011,"GER",165
"7077",201311,"Roberta","Vinci","R",19830218,"ITA",163
"7390",201313,"Yoon Jeong","Cho","R",19790402,"KOR",167
"7404",201315,"Ashley","Harkleroad","R",19850502,"USA",165
"7432",201317,"Aniko","Kapros","R",19831111,"HUN",173
"7436",201318,"Bethanie","Mattek Sands","R",19850323,"USA",168
"7568",201320,"Svetlana","Kuznetsova","R",19850627,"RUS",174
"8077",201321,"Antonella","Serra Zanetti","R",19800725,"ITA",168
"8098",201323,"Saori","Obata","L",19780423,"JPN",165
"8103",201325,"Samantha","Stosur","R",19840330,"AUS",172
"8571",201327,"Angelique","Widjaja","R",19841212,"INA",173
"8574",201328,"Milagros","Sequera","R",19800930,"VEN",165
"8597",201329,"Vera","Zvonareva","R",19840907,"RUS",172
"8947",201331,"Iveta","Benesova","L",19830201,"CZE",170
"9087",201332,"Jane","Odonoghue","R",19830329,"GBR",172
"9088",201334,"Zuzana","Ondraskova","R",19800503,"CZE",174
"9110",201336,"Dinara","Safina","R",19860427,"RUS",185
"9364",201339,"Renata","Voracova","R",19831006,"CZE",NA
"9384",201343,"Maret","Ani","R",19820131,"EST",176
"9413",201344,"Klara","Koukalova","R",19820224,"CZE",166
"9641",201345,"Maria","Sharapova","R",19870419,"RUS",188
"10169",201346,"Lubomira","Kurhajcova","R",19831011,"SVK",180
"10172",201347,"Jelena","Jankovic","R",19850228,"SRB",177
"10711",201348,"Casey","Dellacqua","L",19850211,"AUS",165
"10797",201349,"Melinda","Czink","L",19821022,"HUN",178
"10881",201352,"Akiko","Morigami","R",19800112,"JPN",165
"10938",201355,"Flavia","Pennetta","R",19820225,"ITA",172
"11328",201356,"Eva","Birnerova","R",19840814,"CZE",170
"11358",201358,"Natalia","Gussoni","R",19810824,"ARG",NA
"11362",201360,"Julia","Vakulenko","R",19830710,"UKR",183
"11396",201361,"Julia","Schruff","R",19820816,"GER",166
"11436",201363,"Gisela","Dulko","R",19850130,"ARG",170
"11611",201364,"Tatiana","Golovin","R",19880125,"FRA",175
"11718",201365,"Edina","Gallovits Hall","R",19841210,"ROU",165
"11767",201366,"Barbora","Strycova","R",19860328,"CZE",164
"12048",201367,"Arantxa","Parra Santonja","R",19821109,"ESP",176
"12093",201368,"Karolina","Sprem","R",19841025,"CRO",174
"12145",201369,"Carly","Gullickson","R",19861126,"USA",178
"12146",201370,"Anastasia","Rodionova","R",19820512,"AUS",167
"12221",201371,"Vera","Dushevina","R",19861006,"RUS",180
"12347",201373,"Maria","Kirilenko","R",19870125,"RUS",173
"12622",201375,"Shenay","Perry","R",19840706,"USA",170
"12652",201376,"Angela","Haynes","L",19840927,"USA",173
"12664",201377,"Yuliya","Beygelzimer","R",19831020,"UKR",174
"12672",201379,"Mara","Santangelo","R",19810628,"ITA",181
"12740",201380,"Claudine","Schaul","R",19830820,"LUX",169
"12754",201381,"Tian Tian","Sun","R",19811012,"CHN",175
"12780",201383,"Marie Eve","Pelletier","R",19820518,"CAN",172
"12789",201384,"Chia Jung","Chuang","R",19850110,"TPE",168
"12790",201385,"Yuliana","Fedak","R",19830608,"UKR",166
"12814",201386,"Jie","Zheng","R",19830705,"CHN",164
"13023",201387,"Sofia","Arvidsson","R",19840216,"SWE",176
"13158",201388,"Sophie","Ferguson","R",19860319,"AUS",177
"13162",201389,"Zuzana","Kucova","R",19820626,"SVK",NA
"13168",201390,"Mervana","Jugic Salkic","R",19800514,"BIH",179
"13180",201391,"Sanda","Mamic","U",19850322,"CRO",179
"13189",201392,"Severine","Beltrame","R",19790814,"FRA",171
"13231",201394,"Anna Lena","Groenefeld","R",19850604,"GER",180
"13341",201396,"Katie","Obrien","R",19860502,"GBR",167
"13352",201397,"Shuai","Peng","R",19860108,"CHN",173
"13658",201400,"Nicole","Vaidisova","R",19890423,"CZE",181
"13810",201401,"Abigail","Spears","R",19810712,"USA",175
"13824",201402,"Sesil","Karatantcheva","R",19890808,"KAZ",171
"13876",201403,"Anna","Chakvetadze","R",19870305,"RUS",172
"14064",201404,"Jessica","Kirkland","R",19871110,"USA",175
"14068",201406,"Shikha","Uberoi","R",19830405,"IND",173
"14080",201407,"Evgenia","Linetskaya","R",19861130,"ISR",NA
"14097",201408,"Jamea","Jackson","R",19860907,"USA",163
"14130",201409,"Michaela","Pastikova","R",19800327,"CZE",176
"14137",201410,"Monique","Adamczak","R",19830121,"AUS",170
"14140",201411,"Aiko","Nakamura","R",19831228,"JPN",163
"14194",201412,"Anastasia","Yakimova","R",19861101,"BLR",165
"14226",201414,"Michaella","Krajicek","R",19890109,"NED",177
"14324",201416,"Alona","Bondarenko","R",19840813,"UKR",168
"14490",201417,"Marta","Domachowska","R",19860116,"POL",176
"14547",201418,"Ting","Li","R",19800105,"CHN",NA
"14549",201419,"Na","Li","R",19820226,"CHN",172
"14893",201420,"Sania","Mirza","R",19861115,"IND",153
"15022",201421,"Ana","Ivanovic","R",19871106,"SRB",184
"15457",201423,"Yvonne","Meusburger","R",19831003,"AUT",175
