"","player_id","name_first","name_last","hand","dob","ioc","height"
"105",100105,"Allan","Stone","R",19451014,"AUS",NA
"106",100106,"Graham","Stilwell","R",19451115,"GBR",173
"107",100107,"Robert","Rheinberger","R",19451118,"AUS",NA
"108",100108,"Chris","Bovett","R",19451225,"GBR",NA
"109",100109,"Jun","Kuki","R",19451228,"JPN",NA
"110",100110,"Terry","Addison","R",19460111,"AUS",180
"111",100111,"Ray","Keldie","R",19460117,"AUS",NA
"112",100112,"John","Clifton","R",19460219,"GBR",NA
"113",100113,"Jan","Kodes","R",19460301,"CZE",175
"114",100114,"Ray","Ruffels","R",19460323,"AUS",NA
"115",100115,"Jaime","Fillol","R",19460603,"CHI",180
"116",100116,"Sherwood","Stewart","R",19460606,"USA",188
"117",100117,"Butch","Seewagen","R",19460613,"USA",188
"118",100118,"Ivan","Molina","L",19460616,"COL",NA
"119",100119,"Ilie","Nastase","R",19460719,"ROU",183
"120",100120,"Robert","Maud","R",19460812,"RSA",180
"121",100121,"Raymond","Moore","R",19460824,"RSA",183
"122",100122,"Julian","Ganzabal","R",19460825,"ARG",NA
"123",100123,"Patrick","Hombergen","R",19460908,"BEL",NA
"124",100124,"Steve","Turner","R",19461017,"USA",NA
"125",100125,"John","Cooper","R",19461104,"AUS",NA
"126",100126,"Stan","Smith","R",19461214,"USA",193
"127",100127,"Tom","Gorman","R",19460119,"USA",180
"128",100128,"Cliff","Richey","R",19461231,"USA",175
"129",100129,"Jean Baptiste","Chanfreau","R",19470117,"FRA",NA
"130",100130,"Vladimir","Zednik","R",19470201,"CZE",NA
"131",100131,"Guillermo","Oropez","R",19470207,"USA",NA
"132",100132,"Armistead","Neely","R",19470319,"USA",NA
"133",100133,"Pat","Cramer","R",19470321,"RSA",NA
"134",100134,"Roy","Barth","R",19470330,"USA",175
"135",100135,"Onny","Parun","R",19470415,"NZL",188
"136",100136,"Humphrey","Hose","R",19470504,"VEN",NA
"137",100137,"Hans Jurgen","Pohmann","R",19470523,"GER",178
"138",100138,"Dan","Bleckinger","R",19470527,"USA",NA
"139",100139,"Gerald","Battrick","R",19470527,"GBR",178
"140",100140,"Steve","Faulk","R",19470601,"USA",NA
"141",100141,"Zeljko","Franulovic","R",19470613,"CRO",NA
"142",100142,"Peter","Szoke","R",19470808,"HUN",NA
"143",100143,"Peter","Fishbach","R",19470829,"USA",180
"144",100144,"Bob","Lutz","R",19470829,"USA",180
"145",100145,"Dick","Dell","R",19470929,"USA",NA
"146",100146,"Jun","Kamiwazumi","R",19471001,"JPN",NA
"147",100147,"Marcello","Lara","R",19471005,"MEX",NA
"148",100148,"Ismail","El Shafei","R",19471115,"EGY",NA
"149",100149,"Toshiro","Sakai","R",19471123,"JPN",NA
"150",100150,"Lito","Alvarez","R",19471205,"ARG",NA
"151",100151,"Karl","Coombes","R",19471217,"AUS",180
"152",100152,"David","Lloyd","R",19480103,"GBR",NA
"153",100153,"Patrice","Hagelauer","R",19480105,"FRA",188
"154",100154,"Peter","Kanderal","R",19480116,"SUI",NA
"155",100155,"Ramiro","Benavides","R",19470130,"BOL",NA
"156",100156,"Jasjit","Singh","R",19480204,"IND",NA
"157",100157,"Stanley","Pasarell","R",19480211,"USA",185
"158",100158,"John","Bartlett","R",19480317,"AUS",188
"159",100159,"Vladimir","Korotkov","R",19480423,"RUS",NA
"160",100160,"Georges","Goven","R",19480426,"FRA",173
"161",100161,"Jurgen","Fassbender","R",19480528,"GER",NA
"162",100162,"Brian","Fairlie","R",19480613,"NZL",173
"163",100163,"Tom","Leonard","R",19480715,"USA",175
"164",100164,"Bill","Lofgren","R",19480731,"USA",NA
"165",100165,"Steve","Siegel","R",19480904,"USA",NA
"166",100166,"Gene","Malin","R",19481001,"USA",NA
"167",100167,"Sever","Muresan","R",19481023,"ROU",NA
"168",100168,"Kenneth","McMillan","R",19481125,"USA",NA
"169",100169,"Ian","Fletcher","R",19481201,"AUS",NA
"170",100170,"Bernard","Mignot","R",19481203,"BEL",NA
"171",100171,"John","Yuill","R",19481212,"RSA",NA
"172",100172,"Tito","Vazquez","R",19490101,"ARG",173
"173",100173,"Andrew","Pattison","R",19490130,"USA",188
"174",100174,"Manuel","Orantes","L",19490206,"ESP",178
"175",100175,"Zan","Guerry","R",19490212,"USA",NA
"176",100176,"Hans","Kary","L",19490223,"AUT",172
"177",100177,"Pavel","Hutka","R",19490228,"CZE",NA
"178",100178,"Bob","Giltinan","R",19490407,"AUS",NA
"179",100179,"Karl","Meiler","R",19490430,"GER",178
"180",100180,"Bill","Lloyd","R",19490507,"AUS",NA
"181",100181,"Larry","Turville","R",19490604,"USA",NA
"182",100182,"Mike","Estep","R",19490719,"USA",173
"183",100183,"Jim","Ward","R",19490728,"USA",NA
"184",100184,"Lars","Elvstrom","R",19490818,"DEN",NA
"185",100185,"Patrick","Proisy","R",19490910,"FRA",180
"186",100186,"Jeff","Borowiak","R",19490925,"USA",193
"187",100187,"Luis Felipe","Tavares","R",19490926,"BRA",NA
"188",100188,"John","Fort","R",19490928,"USA",NA
"189",100189,"Dale","Power","R",19491002,"CAN",NA
"190",100190,"Norman","Holmes","R",19491005,"USA",NA
"191",100191,"Doug","Crawford","R",19491015,"USA",188
"192",100192,"Kent","Crawford","R",19491015,"USA",NA
"193",100193,"Wanaro","N'Godrella","R",19491019,"FRA",NA
"194",100194,"Larry","Parker","R",19491023,"USA",NA
"195",100195,"Nicolas","Kelaidis","R",19491029,"GRE",178
"196",100196,"Haroon","Rahim","R",19491112,"PAK",NA
"197",100197,"Alejandro","Pierola","R",19491120,"CHI",NA
"198",100198,"Alvaro","Betancur","R",19500103,"COL",NA
"199",100199,"Patrice","Dominguez","L",19500112,"FRA",173
"200",100200,"Antonio","Zugarelli","R",19500117,"ITA",NA
"201",100201,"Syd","Ball","R",19500124,"AUS",188
"202",100202,"George","Amaya","L",19500212,"USA",173
"203",100203,"Phil","Dent","R",19500214,"AUS",183
"204",100204,"Pancho","Walthall","L",19500216,"USA",NA
"205",100205,"Paul","Gerken","R",19500315,"USA",185
"206",100206,"Kenichi","Hirai","R",19500319,"JPN",NA
"207",100207,"Noel","Phillips","R",19500328,"AUS",NA
"208",100208,"Dick","Bohrnstedt","R",19500428,"USA",NA
"209",100209,"George","Taylor","R",19500504,"USA",NA
"210",100210,"Steve","Docherty","R",19500506,"AUS",NA
"211",100211,"Louk","Sanders","R",19500509,"NED",NA
"212",100212,"F D","Robbins","R",19500613,"USA",NA
"213",100213,"Fred","Hemmes","U",19500614,"NED",NA
"214",100214,"Adriano","Panatta","R",19500709,"ITA",183
"215",100215,"Fred","Mcnair","R",19500722,"USA",183
"216",100216,"Charlie","Owens","R",19500731,"USA",NA
"217",100217,"Bob","Mckinley","R",19500805,"USA",NA
"218",100218,"Butch","Palmer","R",19500904,"USA",NA
"219",100219,"Geoff","Masters","R",19500919,"AUS",NA
