"player_id","name_first","name_last","hand","dob","ioc","height"
201293,"Catalina","Castano","R",19790707,"COL",171
201294,"Marion","Bartoli","R",19841002,"FRA",170
201295,"Wynne","Prakusya","R",19810426,"INA",160
201297,"Maja","Matevzic","L",19800613,"SLO",175
201298,"Zsofia","Gubacsi","R",19810406,"HUN",173
201300,"Maria Emilia","Salerni","R",19830514,"ARG",174
201301,"Camille","Pin","R",19810825,"FRA",162
201302,"Clarisa","Fernandez","L",19810828,"ARG",179
201303,"Anne","Keothavong","R",19830916,"GBR",175
201304,"Elena","Baltacha","R",19830814,"GBR",175
201305,"Eleni","Daniilidou","R",19820919,"GRE",182
201306,"Marie Gaiane","Mikaelian","R",19840303,"SUI",172
201307,"Amber","Liu","R",19840706,"USA",NA
201308,"Maria Elena","Camerin","R",19820321,"ITA",164
201309,"Tatiana","Perebiynis","R",19821215,"UKR",173
201310,"Martina","Muller","R",19821011,"GER",165
201311,"Roberta","Vinci","R",19830218,"ITA",163
201313,"Yoon Jeong","Cho","R",19790402,"KOR",167
201315,"Ashley","Harkleroad","R",19850502,"USA",165
201317,"Aniko","Kapros","R",19831111,"HUN",173
201318,"Bethanie","Mattek Sands","R",19850323,"USA",168
201320,"Svetlana","Kuznetsova","R",19850627,"RUS",174
201321,"Antonella","Serra Zanetti","R",19800725,"ITA",168
201322,"Eva","Dyrberg","R",19800217,"DEN",175
201323,"Saori","Obata","L",19780423,"JPN",165
201325,"Samantha","Stosur","R",19840330,"AUS",172
201326,"Bahia","Mouhtassine","R",19790823,"MAR",NA
201327,"Angelique","Widjaja","R",19841212,"INA",173
201328,"Milagros","Sequera","R",19800930,"VEN",165
201329,"Vera","Zvonareva","R",19840907,"RUS",172
201331,"Iveta","Benesova","L",19830201,"CZE",170
201332,"Jane","Odonoghue","R",19830329,"GBR",172
201333,"Angelika","Roesch","R",19770608,"GER",172
201334,"Zuzana","Ondraskova","R",19800503,"CZE",174
201335,"Myriam","Casanova","R",19850620,"SUI",172
201336,"Dinara","Safina","R",19860427,"RUS",185
201339,"Renata","Voracova","R",19831006,"CZE",NA
201343,"Maret","Ani","R",19820131,"EST",176
201344,"Klara","Koukalova","R",19820224,"CZE",166
201345,"Maria","Sharapova","R",19870419,"RUS",188
201346,"Lubomira","Kurhajcova","R",19831011,"SVK",180
201347,"Jelena","Jankovic","R",19850228,"SRB",177
201348,"Casey","Dellacqua","L",19850211,"AUS",165
201349,"Melinda","Czink","L",19821022,"HUN",178
201352,"Akiko","Morigami","R",19800112,"JPN",165
201354,"Libuse","Prusova","R",19790713,"CZE",176
