tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-311,Queen's Club,Grass,56,A,20040607,298,101956,102110,2,,101885,103080,3,,7-6 6-7 7-5,3,SF,Mark Knowles,R,190,BAH,32.75838467,Daniel Nestor,L,190,CAN,31.75633128,Wayne Arthurs,L,190,AUS,33.2238193,Paul Hanley,R,183,AUS,26.56810404,9,3425,8,3425,14,2635,13,2995,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,297,103184,103185,1,,103898,103917,,,7-6 2-6 6-4,3,QF,Bob Bryan,L,193,USA,26.10814511,Mike Bryan,R,190,USA,26.10814511,Julien Benneteau,R,185,FRA,22.46406571,Nicolas Mahut,R,190,FRA,22.37645448,4,4595,4,4595,71,800,65,881,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,296,101956,102110,2,,103573,103325,,AL,7-6 6-2,3,QF,Mark Knowles,R,190,BAH,32.75838467,Daniel Nestor,L,190,CAN,31.75633128,Rik De Voest,R,180,RSA,24.0054757,Wesley Moodie,R,196,RSA,25.31143053,9,3425,8,3425,96,550,146,337,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,295,101885,103080,3,,102979,101904,,,7-6 6-4,3,QF,Wayne Arthurs,L,190,AUS,33.2238193,Paul Hanley,R,183,AUS,26.56810404,Jeff Coetzee,R,173,RSA,27.11841205,Chris Haggard,L,178,RSA,33.11156742,14,2635,13,2995,69,822,31,1415,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,294,103018,102800,5,,102286,102061,4,,6-3 6-4,3,QF,Max Mirnyi,R,196,BLR,26.92128679,Nenad Zimonjic,R,190,SRB,28.00821355,Wayne Black,R,170,ZIM,30.56262834,Kevin Ullyett,R,178,ZIM,32.04106776,6,4415,21,1785,12,3090,11,3225,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,293,103184,103185,1,,104339,101964,,,7-5 6-7 7-6,3,R16,Bob Bryan,L,193,USA,26.10814511,Mike Bryan,R,190,USA,26.10814511,Mario Ancic,R,196,CRO,20.1889117,Goran Ivanisevic,L,193,CRO,32.73374401,4,4595,4,4595,50,1002,653,46,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,292,101956,102110,2,,104755,103206,,,6-4 4-6 6-2,3,R16,Mark Knowles,R,190,BAH,32.75838467,Daniel Nestor,L,190,CAN,31.75633128,Richard Gasquet,R,185,FRA,17.97125257,Sebastien Grosjean,R,175,FRA,26.02600958,9,3425,8,3425,613,52,64,885,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,291,101885,103080,3,,101736,104053,,,6-4 7-6,3,R16,Wayne Arthurs,L,190,AUS,33.2238193,Paul Hanley,R,183,AUS,26.56810404,Andre Agassi,R,180,USA,34.10814511,Andy Roddick,R,188,USA,21.77138946,14,2635,13,2995,,,178,270,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,290,102286,102061,4,,103459,102092,,,6-4 6-3,3,R16,Wayne Black,R,170,ZIM,30.56262834,Kevin Ullyett,R,178,ZIM,32.04106776,Jordan Kerr,R,180,AUS,24.61601643,Tom Vanhoudt,R,183,BEL,31.86036961,12,3090,11,3225,53,983,57,943,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,289,103018,102800,5,,101097,102053,,,6-7 6-4 7-6,3,R16,Max Mirnyi,R,196,BLR,26.92128679,Nenad Zimonjic,R,190,SRB,28.00821355,Rick Leach,L,188,USA,39.44147844,Brian Macphie,L,180,USA,32.07392197,6,4415,21,1785,47,1043,49,1008,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,288,103898,103917,,,102477,101675,6,,7-6 7-6,3,R16,Julien Benneteau,R,185,FRA,22.46406571,Nicolas Mahut,R,190,FRA,22.37645448,Gaston Etlis,R,185,ARG,29.59069131,Martin Rodriguez,R,178,ARG,34.46954141,71,800,65,881,18,2145,17,2350,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,287,102979,101904,,,102886,102904,7,,7-6 7-6,3,R16,Jeff Coetzee,R,173,RSA,27.11841205,Chris Haggard,L,178,RSA,33.11156742,Frantisek Cermak,R,193,CZE,27.56194387,Leos Friedl,R,183,CZE,27.43052704,69,822,31,1415,29,1515,24,1605,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,286,103573,103325,,AL,102398,101937,8,,6-3 6-4,3,R16,Rik De Voest,R,180,RSA,24.0054757,Wesley Moodie,R,196,RSA,25.31143053,Massimo Bertolini,R,188,ITA,30.02327173,Robbie Koenig,R,173,RSA,32.92539357,96,550,146,337,63,895,45,1090,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,285,101736,104053,,,104068,102076,,,6-2 6-2,3,R32,Andre Agassi,R,180,USA,34.10814511,Andy Roddick,R,188,USA,21.77138946,Robby Ginepri,R,183,USA,21.66735113,Mark Merklein,R,188,BAH,31.94250513,,,178,270,158,300,48,1033,,,,,,,,,,,,,,,,,,,
2004-311,Queen's Club,Grass,56,A,20040607,284,104339,101964,,,102987,102458,,,6-3 7-5,3,R32,Mario Ancic,R,196,CRO,20.1889117,Goran Ivanisevic,L,193,CRO,32.73374401,Andre Sa,R,185,BRA,27.08829569,Jim Thomas,R,193,USA,29.70294319,50,1002,653,46,58,933,61,901,,,,,,,,,,,,,,,,,,,
