tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2003-1536,Madrid Masters,Hard,48,M,20031013,300,102405,103018,2,,102286,102061,,,6-2 2-6 6-3,3,F,Mahesh Bhupathi,R,185,IND,29.34976044,Max Mirnyi,R,196,BLR,26.2696783,Wayne Black,R,170,ZIM,29.91101985,Kevin Ullyett,R,178,ZIM,31.38945927,4,4240,3,4625,30,1525,18,1950,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,299,102405,103018,2,,102610,103280,,,7-6 4-6 6-2,3,SF,Mahesh Bhupathi,R,185,IND,29.34976044,Max Mirnyi,R,196,BLR,26.2696783,Albert Costa,R,180,ESP,28.30116359,Martin Verkerk,R,196,NED,24.95003422,4,4240,3,4625,170,295,101,540,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,298,102286,102061,,,101932,101866,,,6-4 6-4,3,SF,Wayne Black,R,170,ZIM,29.91101985,Kevin Ullyett,R,178,ZIM,31.38945927,Jared Palmer,R,190,USA,32.28199863,David Rikl,L,178,CZE,32.62422998,30,1525,18,1950,20,1850,14,2735,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,297,102405,103018,2,,102562,101779,,,6-7 7-6 6-3,3,QF,Mahesh Bhupathi,R,185,IND,29.34976044,Max Mirnyi,R,196,BLR,26.2696783,Jiri Novak,R,190,CZE,28.56125941,Pavel Vizner,R,183,CZE,33.24572211,4,4240,3,4625,76,700,24,1765,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,296,102610,103280,,,102035,101889,3,,6-4 7-6,3,QF,Albert Costa,R,180,ESP,28.30116359,Martin Verkerk,R,196,NED,24.95003422,Jonas Bjorkman,R,183,SWE,31.55646817,Todd Woodbridge,R,178,AUS,32.53114305,170,295,101,540,8,4020,5,4195,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,295,102286,102061,,,101956,102110,4,,6-1 6-7 6-3,3,QF,Wayne Black,R,170,ZIM,29.91101985,Kevin Ullyett,R,178,ZIM,31.38945927,Mark Knowles,R,190,BAH,32.10677618,Daniel Nestor,L,190,CAN,31.10472279,30,1525,18,1950,7,4150,6,4150,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,294,101932,101866,,,102093,101327,,,6-3 4-6 7-6,3,QF,Jared Palmer,R,190,USA,32.28199863,David Rikl,L,178,CZE,32.62422998,Martin Damm,R,188,CZE,31.19780972,Cyril Suk,R,180,CZE,36.70362765,20,1850,14,2735,15,2605,16,2605,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,293,101932,101866,,,103184,103185,1,,6-7 6-4 6-4,3,R16,Jared Palmer,R,190,USA,32.28199863,David Rikl,L,178,CZE,32.62422998,Bob Bryan,L,193,USA,25.45653662,Mike Bryan,R,190,USA,25.45653662,20,1850,14,2735,1,4750,1,4750,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,292,102405,103018,2,,102374,103852,,WC,6-7 6-4 7-6,3,R16,Mahesh Bhupathi,R,185,IND,29.34976044,Max Mirnyi,R,196,BLR,26.2696783,Alex Corretja,R,180,ESP,29.50581793,Feliciano Lopez,L,188,ESP,22.06160164,4,4240,3,4625,174,285,112,500,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,291,102035,101889,3,,102860,103990,,,6-3 6-1,3,R16,Jonas Bjorkman,R,183,SWE,31.55646817,Todd Woodbridge,R,178,AUS,32.53114305,Agustin Calleri,R,183,ARG,27.07734428,Tommy Robredo,R,180,ESP,21.45106092,8,4020,5,4195,128,425,65,800,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,290,101956,102110,4,,102845,102950,,WC,7-6 6-4,3,R16,Mark Knowles,R,190,BAH,32.10677618,Daniel Nestor,L,190,CAN,31.10472279,Carlos Moya,R,190,ESP,27.1266256,Fernando Vicente,R,180,ESP,26.5982204,7,4150,6,4150,583,60,132,400,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,289,102286,102061,,,101904,103080,,,6-4 6-4,3,R16,Wayne Black,R,170,ZIM,29.91101985,Kevin Ullyett,R,178,ZIM,31.38945927,Chris Haggard,L,178,RSA,32.45995893,Paul Hanley,R,183,AUS,25.91649555,30,1525,18,1950,21,1845,10,3130,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,288,102610,103280,,,102979,102251,,,4-6 7-6 6-4,3,R16,Albert Costa,R,180,ESP,28.30116359,Martin Verkerk,R,196,NED,24.95003422,Jeff Coetzee,R,173,RSA,26.46680356,Mariano Hood,L,178,ARG,30.16290212,170,295,101,540,55,921,22,1830,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,287,102093,101327,,,103888,104053,,,6-3 6-3,3,R16,Martin Damm,R,188,CZE,31.19780972,Cyril Suk,R,180,CZE,36.70362765,Mardy Fish,R,188,USA,21.84257358,Andy Roddick,R,188,USA,21.11978097,15,2605,16,2605,214,227,92,600,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,286,102562,101779,,,102477,101675,,,6-4 7-6,3,R16,Jiri Novak,R,190,CZE,28.56125941,Pavel Vizner,R,183,CZE,33.24572211,Gaston Etlis,R,185,ARG,28.93908282,Martin Rodriguez,R,178,ARG,33.81793292,76,700,24,1765,23,1820,19,1935,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,300,102968,103544,4,,101983,103813,3,,6-3 7-6,3,F,Jonathan Erlich,R,180,ISR,26.46406571,Andy Ram,R,180,ISR,23.44969199,Andrew Kratzmann,R,193,AUS,31.88501027,Jarkko Nieminen,L,185,FIN,22.16563997,55,895,43,1051,80,679,59,855,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,299,101983,103813,3,,102571,103325,,,7-6 6-3,3,SF,Andrew Kratzmann,R,193,AUS,31.88501027,Jarkko Nieminen,L,185,FIN,22.16563997,Gregory Carraz,R,190,FRA,28.45448323,Wesley Moodie,R,196,RSA,24.60232717,80,679,59,855,360,114,197,245,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,298,102968,103544,4,,103254,103843,,,6-3 6-4,3,SF,Jonathan Erlich,R,180,ISR,26.46406571,Andy Ram,R,180,ISR,23.44969199,Yves Allegro,R,183,SUI,25.07871321,Marco Chiudinelli,R,185,SUI,22.03148528,55,895,43,1051,69,755,153,317,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,297,101983,103813,3,,102097,103387,,WC,6-3 6-4,3,QF,Andrew Kratzmann,R,193,AUS,31.88501027,Jarkko Nieminen,L,185,FIN,22.16563997,Naratorn Srichaphan,R,,THA,31.12936345,Paradorn Srichaphan,R,185,THA,24.27378508,80,679,59,855,1690,1,83,642,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,296,102968,103544,4,,104339,103344,,,6-7 6-4 6-1,3,QF,Jonathan Erlich,R,180,ISR,26.46406571,Andy Ram,R,180,ISR,23.44969199,Mario Ancic,R,196,CRO,19.47980835,Ivan Ljubicic,R,193,CRO,24.5119781,55,895,43,1051,87,606,93,570,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,295,103254,103843,,,102381,102836,,,6-3 7-6,3,QF,Yves Allegro,R,183,SUI,25.07871321,Marco Chiudinelli,R,185,SUI,22.03148528,Werner Eschauer,R,188,AUT,29.4072553,Rogier Wassen,R,190,NED,27.11841205,69,755,153,317,489,78,105,517,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,294,102571,103325,,,102148,102642,,,W/O,3,QF,Gregory Carraz,R,190,FRA,28.45448323,Wesley Moodie,R,196,RSA,24.60232717,Fabrice Santoro,R,178,FRA,30.78439425,Cyril Saulnier,R,190,FRA,28.10130048,360,114,197,245,9,3725,525,68,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,293,102381,102836,,,102979,101904,1,,4-6 7-5 6-2,3,R16,Werner Eschauer,R,188,AUT,29.4072553,Rogier Wassen,R,190,NED,27.11841205,Jeff Coetzee,R,173,RSA,26.40930869,Chris Haggard,L,178,RSA,32.40246407,489,78,105,517,35,1236,19,2035,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,292,102148,102642,,,101097,102053,2,,7-6 6-4,3,R16,Fabrice Santoro,R,178,FRA,30.78439425,Cyril Saulnier,R,190,FRA,28.10130048,Rick Leach,L,188,USA,38.73237509,Brian Macphie,L,180,USA,31.36481862,9,3725,525,68,53,933,38,1170,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,291,101983,103813,3,,102697,102411,,,6-4 7-5,3,R16,Andrew Kratzmann,R,193,AUS,31.88501027,Jarkko Nieminen,L,185,FIN,22.16563997,Stephen Huss,R,180,AUS,27.78370979,Myles Wakefield,R,196,RSA,29.27583847,80,679,59,855,104,519,85,639,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,290,102968,103544,4,,102851,102106,,,6-2 6-1,3,R16,Jonathan Erlich,R,180,ISR,26.46406571,Andy Ram,R,180,ISR,23.44969199,Giorgio Galimberti,R,180,ITA,27.04449008,Davide Sanguinetti,R,188,ITA,31.07460643,55,895,43,1051,216,228,86,610,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,289,103254,103843,,,103920,103921,,WC,7-6 6-4,3,R16,Yves Allegro,R,183,SUI,25.07871321,Marco Chiudinelli,R,185,SUI,22.03148528,Sanchai Ratiwatana,R,175,THA,21.66187543,Sonchat Ratiwatana,R,175,THA,21.66187543,69,755,153,317,395,103,395,103,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,288,104339,103344,,,103221,103525,,,6-3 6-0,3,R16,Mario Ancic,R,196,CRO,19.47980835,Ivan Ljubicic,R,193,CRO,24.5119781,Jason Marshall,L,185,USA,25.25667351,Ivan Miranda,R,175,PER,23.54004107,87,606,93,570,137,365,252,183,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,287,102571,103325,,,102023,102539,,,6-3 6-2,3,R16,Gregory Carraz,R,190,FRA,28.45448323,Wesley Moodie,R,196,RSA,24.60232717,Petr Luxa,R,190,CZE,31.55373032,Bohdan Ulihrach,R,188,CZE,28.57768652,360,114,197,245,56,892,354,116,,,,,,,,,,,,,,,,,,,
2003-1720,Bangkok,Hard,32,A,20030922,286,102097,103387,,WC,103154,103758,,,2-6 6-4 6-2,3,R16,Naratorn Srichaphan,R,,THA,31.12936345,Paradorn Srichaphan,R,185,THA,24.27378508,Jaymon Crabb,R,183,AUS,25.54688569,Taylor Dent,R,188,USA,22.41204654,1690,1,83,642,387,106,771,32,,,,,,,,,,,,,,,,,,,
