tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-1536,Madrid Masters,Clay,56,M,20100509,300,103184,103185,2,,102110,102800,1,,6-3 6-4,3,F,Bob Bryan,L,193,USA,32.03011636,Mike Bryan,R,190,USA,32.03011636,Daniel Nestor,L,190,CAN,37.67830253,Nenad Zimonjic,R,190,SRB,33.9301848,3,9990,3,9990,1,11280,1,11280,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,299,102110,102800,1,,104160,102233,3,,6-3 6-4,3,SF,Daniel Nestor,L,190,CAN,37.67830253,Nenad Zimonjic,R,190,SRB,33.9301848,Lukas Dlouhy,R,185,CZE,27.08555784,Leander Paes,R,178,IND,36.89527721,1,11280,1,11280,5,6830,6,6160,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,298,103184,103185,2,,104719,104678,,,6-0 4-6 10-2,3,SF,Bob Bryan,L,193,USA,32.03011636,Mike Bryan,R,190,USA,32.03011636,Marcel Granollers,R,190,ESP,24.07665982,Viktor Troicki,R,193,SRB,24.24366872,3,9990,3,9990,22,2875,93,890,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,297,102110,102800,1,,103997,103594,6,,6-3 6-4,3,QF,Daniel Nestor,L,190,CAN,37.67830253,Nenad Zimonjic,R,190,SRB,33.9301848,Lukasz Kubot,R,190,POL,27.9835729,Oliver Marach,R,185,AUT,29.81519507,1,11280,1,11280,14,3710,12,3780,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,296,103184,103185,2,,103586,103690,8,,6-3 6-4,3,QF,Bob Bryan,L,193,USA,32.03011636,Mike Bryan,R,190,USA,32.03011636,Mariusz Fyrstenberg,L,193,POL,29.83709788,Marcin Matkowski,R,188,POL,29.31416838,3,9990,3,9990,20,3130,19,3130,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,295,104160,102233,3,,104597,104043,,,2-6 7-5 10-3,3,QF,Lukas Dlouhy,R,185,CZE,27.08555784,Leander Paes,R,178,IND,36.89527721,Nicolas Almagro,R,183,ESP,24.71731691,Marc Lopez,R,175,ESP,27.77549624,5,6830,6,6160,77,990,25,2359,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,294,104719,104678,,,102382,103544,,,5-7 7-5 10-8,3,QF,Marcel Granollers,R,190,ESP,24.07665982,Viktor Troicki,R,193,SRB,24.24366872,Julian Knowle,L,188,AUT,36.03011636,Andy Ram,R,180,ISR,30.0807666,22,2875,93,890,26,2220,18,3160,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,293,102110,102800,1,,102963,104486,,,6-4 6-3,3,R16,Daniel Nestor,L,190,CAN,37.67830253,Nenad Zimonjic,R,190,SRB,33.9301848,Robert Lindstedt,R,190,SWE,33.14168378,Horia Tecau,R,193,ROU,25.30321697,1,11280,1,11280,31,2085,35,1824,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,292,103184,103185,2,,103794,103843,,AL,6-1 7-6,3,R16,Bob Bryan,L,193,USA,32.03011636,Mike Bryan,R,190,USA,32.03011636,Benjamin Becker,R,178,GER,28.89801506,Marco Chiudinelli,R,185,SUI,28.66255989,3,9990,3,9990,85,930,137,550,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,291,104160,102233,3,,103428,104724,,AL,6-4 6-2,3,R16,Lukas Dlouhy,R,185,CZE,27.08555784,Leander Paes,R,178,IND,36.89527721,Juan Ignacio Chela,R,190,ARG,30.69404517,Eduardo Schwank,R,183,ARG,24.04654346,5,6830,6,6160,204,326,216,307,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,290,104719,104678,,,103325,101868,4,,6-3 6-7 14-12,3,R16,Marcel Granollers,R,190,ESP,24.07665982,Viktor Troicki,R,193,SRB,24.24366872,Wesley Moodie,R,196,RSA,31.23340178,Dick Norman,L,203,BEL,39.19233402,22,2875,93,890,9,4575,11,3925,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,289,102382,103544,,,102388,103080,5,,7-6 6-7 10-6,3,R16,Julian Knowle,L,188,AUT,36.03011636,Andy Ram,R,180,ISR,30.0807666,Simon Aspelin,R,185,SWE,35.99726215,Paul Hanley,R,183,AUS,32.49007529,26,2220,18,3160,10,3985,15,3430,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,288,103997,103594,6,,104545,105023,,,6-0 3-6 10-4,3,R16,Lukasz Kubot,R,190,POL,27.9835729,Oliver Marach,R,185,AUT,29.81519507,John Isner,R,206,USA,25.03764545,Sam Querrey,R,198,USA,22.59000684,14,3710,12,3780,30,2108,24,2385,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,287,104597,104043,,,102886,103455,7,,7-5 3-6 12-10,3,R16,Nicolas Almagro,R,183,ESP,24.71731691,Marc Lopez,R,175,ESP,27.77549624,Frantisek Cermak,R,193,CZE,33.48391513,Michal Mertinak,R,180,SVK,30.57905544,77,990,25,2359,16,3360,16,3360,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,286,103586,103690,8,,103888,101956,,,5-7 6-4 10-8,3,R16,Mariusz Fyrstenberg,L,193,POL,29.83709788,Marcin Matkowski,R,188,POL,29.31416838,Mardy Fish,R,188,USA,28.41615332,Mark Knowles,R,190,BAH,38.68035592,20,3130,19,3130,47,1620,8,5045,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,285,104597,104043,,,104871,104792,,,6-4 6-2,3,R32,Nicolas Almagro,R,183,ESP,24.71731691,Marc Lopez,R,175,ESP,27.77549624,Jeremy Chardy,R,188,FRA,23.23887748,Gael Monfils,R,193,FRA,23.68788501,77,990,25,2359,101,805,,,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,284,103794,103843,,AL,103852,104269,,,W/O,3,R32,Benjamin Becker,R,178,GER,28.89801506,Marco Chiudinelli,R,185,SUI,28.66255989,Feliciano Lopez,L,188,ESP,28.63518138,Fernando Verdasco,L,188,ESP,26.48323066,85,930,137,550,62,1120,128,590,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,283,103428,104724,,AL,103540,103828,,,6-2 7-5,3,R32,Juan Ignacio Chela,R,190,ARG,30.69404517,Eduardo Schwank,R,183,ARG,24.04654346,Johan Brunstrom,L,193,SWE,30.09993155,Jean Julien Rojer,R,183,AHO,28.7063655,204,326,216,307,38,1775,39,1775,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,282,103888,101956,,,104593,103868,,WC,6-3 6-1,3,R32,Mardy Fish,R,188,USA,28.41615332,Mark Knowles,R,190,BAH,38.68035592,Daniel Gimeno Traver,R,185,ESP,24.75564682,Ivan Navarro,R,183,ESP,28.55578371,47,1620,8,5045,212,314,352,164,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,281,104719,104678,,,103781,104053,,,6-2 3-6 12-10,3,R32,Marcel Granollers,R,190,ESP,24.07665982,Viktor Troicki,R,193,SRB,24.24366872,Jurgen Melzer,L,183,AUT,28.96646133,Andy Roddick,R,188,USA,27.69336071,22,2875,93,890,23,2410,149,480,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,280,104545,105023,,,105064,103946,,,2-6 7-5 10-8,3,R32,John Isner,R,206,USA,25.03764545,Sam Querrey,R,198,USA,22.59000684,Thomaz Bellucci,L,188,BRA,22.36002738,Bruno Soares,R,180,BRA,28.19712526,30,2108,24,2385,202,328,28,2170,,,,,,,,,,,,,,,,,,,
2010-1536,Madrid Masters,Clay,56,M,20100509,279,102382,103544,,,103333,102811,,AL,6-4 6-4,3,R32,Julian Knowle,L,188,AUT,36.03011636,Andy Ram,R,180,ISR,30.0807666,Ivo Karlovic,R,208,CRO,31.19507187,Dusan Vemic,R,190,SRB,33.89459274,26,2220,18,3160,80,970,51,1440,,,,,,,,,,,,,,,,,,,
