tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-1536,Madrid Masters,Clay,56,M,20090510,300,102110,102800,2,,102388,103325,,,6-4 6-4,3,F,Daniel Nestor,L,190,CAN,36.68172485,Nenad Zimonjic,R,190,SRB,32.93360712,Simon Aspelin,R,185,SWE,35.00068446,Wesley Moodie,R,196,RSA,30.23682409,3,11740,3,11740,37,2560,30,2815,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,299,102110,102800,2,,105223,103888,,,6-4 6-3,3,SF,Daniel Nestor,L,190,CAN,36.68172485,Nenad Zimonjic,R,190,SRB,32.93360712,Juan Martin Del Potro,R,198,ARG,20.62970568,Mardy Fish,R,188,USA,27.41957563,3,11740,3,11740,172,600,19,3330,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,298,102388,103325,,,103946,102061,5,,3-6 7-6 10-6,3,SF,Simon Aspelin,R,185,SWE,35.00068446,Wesley Moodie,R,196,RSA,30.23682409,Bruno Soares,R,180,BRA,27.20054757,Kevin Ullyett,R,178,ZIM,36.96646133,37,2560,30,2815,14,3700,7,6110,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,297,102110,102800,2,,104719,103990,,,4-6 6-3 10-8,3,QF,Daniel Nestor,L,190,CAN,36.68172485,Nenad Zimonjic,R,190,SRB,32.93360712,Marcel Granollers,R,190,ESP,23.08008214,Tommy Robredo,R,180,ESP,27.02806297,3,11740,3,11740,46,2235,38,2545,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,296,103946,102061,5,,102886,103455,,,7-5 6-2,3,QF,Bruno Soares,R,180,BRA,27.20054757,Kevin Ullyett,R,178,ZIM,36.96646133,Frantisek Cermak,R,193,CZE,32.48733744,Michal Mertinak,R,180,SVK,29.58247776,14,3700,7,6110,29,2840,31,2812,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,295,102388,103325,,,104925,102811,,,4-6 6-3 11-9,3,QF,Simon Aspelin,R,185,SWE,35.00068446,Wesley Moodie,R,196,RSA,30.23682409,Novak Djokovic,R,188,SRB,21.97125257,Dusan Vemic,R,190,SRB,32.89801506,37,2560,30,2815,280,360,36,2582,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,294,105223,103888,,,102697,104504,,,6-7 6-2 10-4,3,QF,Juan Martin Del Potro,R,198,ARG,20.62970568,Mardy Fish,R,188,USA,27.41957563,Stephen Huss,R,180,AUS,33.41820671,Ross Hutchins,R,190,GBR,24.21355236,172,600,19,3330,32,2761,34,2697,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,293,102388,103325,,,103184,103185,1,,6-7 6-1 11-9,3,R16,Simon Aspelin,R,185,SWE,35.00068446,Wesley Moodie,R,196,RSA,30.23682409,Bob Bryan,L,193,USA,31.03353867,Mike Bryan,R,190,USA,31.03353867,37,2560,30,2815,1,11810,1,11810,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,292,102110,102800,2,,104043,103105,,WC,6-3 6-7 10-6,3,R16,Daniel Nestor,L,190,CAN,36.68172485,Nenad Zimonjic,R,190,SRB,32.93360712,Marc Lopez,R,175,ESP,26.77891855,Ruben Ramirez Hidalgo,R,183,ESP,31.34291581,3,11740,3,11740,106,980,101,1014,,,,,,,,,,,,,,,,,,,
2009-1536,Madrid Masters,Clay,56,M,20090510,291,102886,103455,,,103169,103656,,3 AL,6-3 6-2,3,R16,Frantisek Cermak,R,193,CZE,32.48733744,Michal Mertinak,R,180,SVK,29.58247776,Oscar Hernandez,R,180,ESP,31.08555784,Albert Montanes,R,175,ESP,28.45448323,29,2840,31,2812,149,707,90,1252,,,,,,,,,,,,,,,,,,,
