tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2007-1536,Madrid Masters,Hard,48,M,20071015,300,103184,103185,1,,103586,103690,,,6-3 7-6,3,F,Bob Bryan,L,193,USA,29.46201232,Mike Bryan,R,190,USA,29.46201232,Mariusz Fyrstenberg,L,193,POL,27.26899384,Marcin Matkowski,R,188,POL,26.74606434,1,5725,1,5725,25,1725,24,1725,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,299,103184,103185,1,,103084,103900,,,6-1 2-6 10-4,3,SF,Bob Bryan,L,193,USA,29.46201232,Mike Bryan,R,190,USA,29.46201232,Guillermo Canas,R,185,ARG,29.88637919,David Nalbandian,R,180,ARG,25.78507871,1,5725,1,5725,656,49,557,65,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,298,103586,103690,,,102035,103018,4,,7-6 5-7 10-6,3,SF,Mariusz Fyrstenberg,L,193,POL,27.26899384,Marcin Matkowski,R,188,POL,26.74606434,Jonas Bjorkman,R,183,SWE,35.56194387,Max Mirnyi,R,196,BLR,30.275154,25,1725,24,1725,6,3425,8,3350,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,297,103184,103185,1,,102318,101779,6,,6-3 7-6,3,QF,Bob Bryan,L,193,USA,29.46201232,Mike Bryan,R,190,USA,29.46201232,Andrei Pavel,R,183,ROU,33.71389459,Pavel Vizner,R,183,CZE,37.25119781,1,5725,1,5725,23,1785,7,3420,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,296,102035,103018,4,,103459,102751,,,6-1 6-2,3,QF,Jonas Bjorkman,R,183,SWE,35.56194387,Max Mirnyi,R,196,BLR,30.275154,Jordan Kerr,R,180,AUS,27.96988364,Todd Perry,R,175,AUS,31.57837098,6,3425,8,3350,27,1556,44,1085,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,295,103084,103900,,,102388,102382,5,,6-3 3-6 10-7,3,QF,Guillermo Canas,R,185,ARG,29.88637919,David Nalbandian,R,180,ARG,25.78507871,Simon Aspelin,R,185,SWE,33.42915811,Julian Knowle,L,188,AUT,33.46201232,656,49,557,65,14,3005,11,3210,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,294,103586,103690,,,102979,102836,,,2-6 7-6 10-6,3,QF,Mariusz Fyrstenberg,L,193,POL,27.26899384,Marcin Matkowski,R,188,POL,26.74606434,Jeff Coetzee,R,173,RSA,30.47227926,Rogier Wassen,R,190,NED,31.18138261,25,1725,24,1725,29,1490,26,1660,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,293,103184,103185,1,,103333,104269,,WC,6-4 6-3,3,R16,Bob Bryan,L,193,USA,29.46201232,Mike Bryan,R,190,USA,29.46201232,Ivo Karlovic,R,208,CRO,28.62696783,Fernando Verdasco,L,188,ESP,23.91512663,1,5725,1,5725,195,285,130,405,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,292,102979,102836,,,102110,102800,2,,6-4 6-4,3,R16,Jeff Coetzee,R,173,RSA,30.47227926,Rogier Wassen,R,190,NED,31.18138261,Daniel Nestor,L,190,CAN,35.11019849,Nenad Zimonjic,R,190,SRB,31.36208077,29,1490,26,1660,4,4050,5,3590,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,291,103084,103900,,,103080,102061,3,,6-3 6-1,3,R16,Guillermo Canas,R,185,ARG,29.88637919,David Nalbandian,R,180,ARG,25.78507871,Paul Hanley,R,183,AUS,29.92197125,Kevin Ullyett,R,178,ZIM,35.39493498,656,49,557,65,9,3260,9,3260,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,290,102035,103018,4,,103602,102987,,,7-6 6-4,3,R16,Jonas Bjorkman,R,183,SWE,35.56194387,Max Mirnyi,R,196,BLR,30.275154,Fernando Gonzalez,R,183,CHI,27.21149897,Andre Sa,R,185,BRA,30.4421629,6,3425,8,3350,171,335,28,1512,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,289,102388,102382,5,,104597,103970,,,6-4 6-2,3,R16,Simon Aspelin,R,185,SWE,33.42915811,Julian Knowle,L,188,AUT,33.46201232,Nicolas Almagro,R,183,ESP,22.14921287,David Ferrer,R,175,ESP,25.53593429,14,3005,11,3210,100,515,230,235,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,288,102318,101779,6,,102886,103096,,,6-4 6-4,3,R16,Andrei Pavel,R,183,ROU,33.71389459,Pavel Vizner,R,183,CZE,37.25119781,Frantisek Cermak,R,193,CZE,30.91581109,Arnaud Clement,R,173,FRA,29.82614648,23,1785,7,3420,31,1435,12,3180,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,287,103459,102751,,,102093,102233,7,,6-2 6-3,3,R16,Jordan Kerr,R,180,AUS,27.96988364,Todd Perry,R,175,AUS,31.57837098,Martin Damm,R,188,CZE,35.20328542,Leander Paes,R,178,IND,34.32717317,27,1556,44,1085,18,2770,17,2770,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,286,103586,103690,,,101956,104679,8,,6-4 7-6,3,R16,Mariusz Fyrstenberg,L,193,POL,27.26899384,Marcin Matkowski,R,188,POL,26.74606434,Mark Knowles,R,190,BAH,36.11225188,Jamie Murray,L,190,GBR,21.66735113,25,1725,24,1725,3,4050,33,1421,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,285,104597,103970,,,102968,103544,,,3-6 7-6 10-4,3,R32,Nicolas Almagro,R,183,ESP,22.14921287,David Ferrer,R,175,ESP,25.53593429,Jonathan Erlich,R,180,ISR,30.52703628,Andy Ram,R,180,ISR,27.51266256,100,515,230,235,19,2520,19,2520,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,284,103084,103900,,,102856,102845,,,6-3 4-6 12-10,3,R32,Guillermo Canas,R,185,ARG,29.88637919,David Nalbandian,R,180,ARG,25.78507871,Gustavo Kuerten,R,190,BRA,31.09377139,Carlos Moya,R,190,ESP,31.1321013,656,49,557,65,475,88,384,125,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,283,102886,103096,,,104607,103017,,,6-4 6-3,3,R32,Frantisek Cermak,R,193,CZE,30.91581109,Arnaud Clement,R,173,FRA,29.82614648,Tomas Berdych,R,196,CZE,22.0752909,Nicolas Kiefer,R,183,GER,30.27789185,31,1435,12,3180,158,355,220,245,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,282,102979,102836,,,103428,104338,,,6-2 6-2,3,R32,Jeff Coetzee,R,173,RSA,30.47227926,Rogier Wassen,R,190,NED,31.18138261,Juan Ignacio Chela,R,190,ARG,28.12594114,Juan Monaco,R,185,ARG,23.54551677,29,1490,26,1660,182,295,291,186,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,281,103586,103690,,,103484,103780,,,7-5 6-4,3,R32,Mariusz Fyrstenberg,L,193,POL,27.26899384,Marcin Matkowski,R,188,POL,26.74606434,James Blake,R,185,USA,27.79739904,Eric Butorac,L,190,USA,26.39835729,25,1725,24,1725,372,130,32,1432,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,280,103602,102987,,,103852,104745,,,6-7 6-3 11-9,3,R32,Fernando Gonzalez,R,183,CHI,27.21149897,Andre Sa,R,185,BRA,30.4421629,Feliciano Lopez,L,188,ESP,26.06707734,Rafael Nadal,L,185,ESP,21.36618754,171,335,28,1512,190,290,117,460,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,279,103333,104269,,WC,102963,103813,,,6-4 6-7 10-7,3,R32,Ivo Karlovic,R,208,CRO,28.62696783,Fernando Verdasco,L,188,ESP,23.91512663,Robert Lindstedt,R,190,SWE,30.57357974,Jarkko Nieminen,L,185,FIN,26.22861054,195,285,130,405,41,1170,54,1000,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,278,103459,102751,,,103254,102148,,,6-3 7-6,3,R32,Jordan Kerr,R,180,AUS,27.96988364,Todd Perry,R,175,AUS,31.57837098,Yves Allegro,R,183,SUI,29.14168378,Fabrice Santoro,R,178,FRA,34.84736482,27,1556,44,1085,52,1020,13,3006,,,,,,,,,,,,,,,,,,,
2007-1720,Bangkok,Hard,32,A,20070924,300,103920,103921,,WC,103566,103917,3,,3-6 7-5 10-7,3,F,Sanchai Ratiwatana,R,175,THA,25.66735113,Sonchat Ratiwatana,R,175,THA,25.66735113,Michael Llodra,L,190,FRA,27.35112936,Nicolas Mahut,R,190,FRA,25.67282683,88,576,87,602,20,2461,48,1091,,,,,,,,,,,,,,,,,,,
