tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-301,Auckland,Hard,32,A,20000110,300,101704,101097,1,,101358,101543,2,,7-5 6-4,3,F,Ellis Ferreira,L,188,RSA,29.88911704,Rick Leach,L,188,USA,35.03353867,Olivier Delaitre,R,170,FRA,32.61054073,Jeff Tarango,L,180,USA,31.137577,13,0,15,0,16,0,17,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,299,101704,101097,1,,102562,101866,3,,6-2 6-4,3,SF,Ellis Ferreira,L,188,RSA,29.88911704,Rick Leach,L,188,USA,35.03353867,Jiri Novak,R,190,CZE,24.80492813,David Rikl,L,178,CZE,28.8678987,13,0,15,0,34,0,29,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,298,101358,101543,2,,102664,101779,,,6-3 6-4,3,SF,Olivier Delaitre,R,170,FRA,32.61054073,Jeff Tarango,L,180,USA,31.137577,Petr Pala,R,193,CZE,24.27378508,Pavel Vizner,R,183,CZE,29.48939083,16,0,17,0,97,0,74,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,297,101704,101097,1,,101342,102162,,WC,6-3 6-4,3,QF,Ellis Ferreira,L,188,RSA,29.88911704,Rick Leach,L,188,USA,35.03353867,Patrick Galbraith,L,183,USA,32.73648186,Chris Woodruff,R,188,USA,27.01984942,13,0,15,0,65,0,248,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,296,101358,101543,2,,103483,102262,,WC,6-2 6-4,3,QF,Olivier Delaitre,R,170,FRA,32.61054073,Jeff Tarango,L,180,USA,31.137577,James Shortall,R,,NZL,20.04380561,Cristiano Testa,L,,BRA,26.29705681,16,0,17,0,779,0,114,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,295,102562,101866,3,,102057,102042,,,7-6 RET,3,QF,Jiri Novak,R,190,CZE,24.80492813,David Rikl,L,178,CZE,28.8678987,Devin Bowen,R,183,USA,27.64681725,Brandon Coupe,R,183,USA,27.74811773,34,0,29,0,82,0,113,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,294,102664,101779,,,101565,101904,,,3-6 6-4 7-6,3,QF,Petr Pala,R,193,CZE,24.27378508,Pavel Vizner,R,183,CZE,29.48939083,Marius Barnard,R,188,RSA,30.9705681,Chris Haggard,L,178,RSA,28.70362765,97,0,74,0,75,0,63,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,293,101704,101097,1,,101639,102430,,,6-4 6-3,3,R16,Ellis Ferreira,L,188,RSA,29.88911704,Rick Leach,L,188,USA,35.03353867,Lan Bale,R,175,RSA,30.34086242,Adam Peterson,R,185,USA,25.48665298,13,0,15,0,64,0,103,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,292,101358,101543,2,,102131,102854,,WC,6-3 7-6,3,R16,Olivier Delaitre,R,170,FRA,32.61054073,Jeff Tarango,L,180,USA,31.137577,Alistair Hunt,R,190,NZL,27.16221766,Sjeng Schalken,R,193,NED,23.33744011,16,0,17,0,616,0,140,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,291,102562,101866,3,,102984,103264,,,6-2 4-6 6-3,3,R16,Jiri Novak,R,190,CZE,24.80492813,David Rikl,L,178,CZE,28.8678987,Martin Garcia,R,190,ARG,22.69130732,Mariano Puerta,L,180,ARG,21.30869268,34,0,29,0,52,0,111,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,290,101565,101904,,,102998,102795,4,,6-4 6-3,3,R16,Marius Barnard,R,188,RSA,30.9705681,Chris Haggard,L,178,RSA,28.70362765,Jan Michael Gambill,R,190,USA,22.6036961,Scott Humphries,R,185,USA,23.62491444,75,0,63,0,70,0,53,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,289,102057,102042,,,103252,102092,,,6-4 3-6 7-6,3,R16,Devin Bowen,R,183,USA,27.64681725,Brandon Coupe,R,183,USA,27.74811773,Alberto Martin,R,175,ESP,21.3908282,Tom Vanhoudt,R,183,BEL,27.45242984,82,0,113,0,101,0,66,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,288,101342,102162,,WC,102035,102536,,,6-4 6-1,3,R16,Patrick Galbraith,L,183,USA,32.73648186,Chris Woodruff,R,188,USA,27.01984942,Jonas Bjorkman,R,183,SWE,27.80013689,James Greenhalgh,R,183,NZL,24.88980151,65,0,248,0,3,0,146,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,287,102664,101779,,,102111,101602,,,6-7 6-3 6-4,3,R16,Petr Pala,R,193,CZE,24.27378508,Pavel Vizner,R,183,CZE,29.48939083,Diego Del Rio,R,175,ARG,27.34839151,Jack Waite,R,185,USA,30.69404517,97,0,74,0,96,0,67,0,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,286,103483,102262,,WC,102076,101660,,Q,7-6 4-6 7-5,3,R16,James Shortall,R,,NZL,20.04380561,Cristiano Testa,L,,BRA,26.29705681,Mark Merklein,R,188,BAH,27.53456537,Francisco Montana,R,183,USA,30.17932923,779,0,114,0,132,0,79,0,,,,,,,,,,,,,,,,,,,
2000-306,St. Poelten,Clay,32,A,20000522,300,102405,101983,1,,102247,101717,,WC,7-6 6-7 6-4,3,F,Mahesh Bhupathi,R,185,IND,25.95756331,Andrew Kratzmann,R,193,AUS,28.55030801,Andrea Gaudenzi,R,183,ITA,26.81177276,Diego Nargiso,L,188,ITA,30.18754278,13,2285,22,1630,214,232,98,615,,,,,,,,,,,,,,,,,,,
