tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-301,Auckland,Hard,32,A,20010108,300,101565,102458,,,101682,102984,1,,7-6 6-4,3,F,Marius Barnard,R,188,RSA,31.96714579,Jim Thomas,R,193,USA,26.29158111,David Adams,R,188,RSA,31.00889802,Martin Garcia,R,190,ARG,23.68788501,54,1125,105,580,19,2220,31,1621,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,299,101682,102984,1,,102149,102636,,Q,6-2 6-3,3,SF,David Adams,R,188,RSA,31.00889802,Martin Garcia,R,190,ARG,23.68788501,Paul Rosner,R,193,RSA,28.07665982,Jason Weir Smith,L,188,RSA,25.42094456,19,2220,31,1621,108,559,107,562,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,298,101565,102458,,,102529,102411,,,6-3 1-6 6-1,3,SF,Marius Barnard,R,188,RSA,31.96714579,Jim Thomas,R,193,USA,26.29158111,Thomas Shimada,R,178,JPN,25.91101985,Myles Wakefield,R,196,RSA,26.57357974,54,1125,105,580,66,936,65,945,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,297,101682,102984,1,,103103,102344,,WC,7-5 6-4,3,QF,David Adams,R,188,RSA,31.00889802,Martin Garcia,R,190,ARG,23.68788501,Dominik Hrbaty,R,183,SVK,23.01163587,Karol Kucera,R,188,SVK,26.85010267,19,2220,31,1621,16,2285,533,60,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,296,102529,102411,,,102388,101937,2,,6-4 6-3,3,QF,Thomas Shimada,R,178,JPN,25.91101985,Myles Wakefield,R,196,RSA,26.57357974,Simon Aspelin,R,185,SWE,26.66392882,Robbie Koenig,R,173,RSA,29.51403149,66,936,65,945,51,1201,52,1170,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,295,101565,102458,,,102860,102644,,WC,7-5 7-6,3,QF,Marius Barnard,R,188,RSA,31.96714579,Jim Thomas,R,193,USA,26.29158111,Agustin Calleri,R,183,ARG,24.31759069,Franco Squillari,L,183,ARG,25.38261465,54,1125,105,580,391,100,,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,294,102149,102636,,Q,102664,101779,,,6-7 6-4 6-4,3,QF,Paul Rosner,R,193,RSA,28.07665982,Jason Weir Smith,L,188,RSA,25.42094456,Petr Pala,R,193,CZE,25.27036277,Pavel Vizner,R,183,CZE,30.48596851,108,559,107,562,56,1023,61,988,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,293,101682,102984,1,,102998,101890,,,6-7 7-6 6-4,3,R16,David Adams,R,188,RSA,31.00889802,Martin Garcia,R,190,ARG,23.68788501,Jan Michael Gambill,R,190,USA,23.60027379,Jonathan Stark,R,188,USA,29.76865161,19,2220,31,1621,43,1330,99,655,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,292,102388,101937,2,,102139,102312,,,6-4 6-4,3,R16,Simon Aspelin,R,185,SWE,26.66392882,Robbie Koenig,R,173,RSA,29.51403149,Eyal Ran,R,183,ISR,28.13141684,Jairo Velasco Jr,R,183,ESP,26.9650924,51,1201,52,1170,78,794,97,696,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,291,102149,102636,,Q,101904,102092,3,,6-3 3-6 7-6,3,R16,Paul Rosner,R,193,RSA,28.07665982,Jason Weir Smith,L,188,RSA,25.42094456,Chris Haggard,L,178,RSA,29.70020534,Tom Vanhoudt,R,183,BEL,28.44900753,108,559,107,562,50,1215,53,1140,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,290,101565,102458,,,102463,102501,4,,6-4 6-4,3,R16,Marius Barnard,R,188,RSA,31.96714579,Jim Thomas,R,193,USA,26.29158111,Lucas Arnold Ker,R,180,ARG,26.24229979,Johan Landsberg,R,183,SWE,26.02600958,54,1125,105,580,47,1250,57,1010,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,289,102860,102644,,WC,102369,102247,,,7-6 4-6 6-3,3,R16,Agustin Calleri,R,183,ARG,24.31759069,Franco Squillari,L,183,ARG,25.38261465,Julien Boutter,R,190,FRA,26.76249144,Andrea Gaudenzi,R,183,ITA,27.44421629,391,100,,,74,838,80,787,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,288,103103,102344,,WC,102057,101602,,,6-3 6-1,3,R16,Dominik Hrbaty,R,183,SVK,23.01163587,Karol Kucera,R,188,SVK,26.85010267,Devin Bowen,R,183,USA,28.64339494,Jack Waite,R,185,USA,31.69062286,16,2285,533,60,94,715,81,785,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,287,102664,101779,,,103115,102904,,,7-6 6-7 7-6,3,R16,Petr Pala,R,193,CZE,25.27036277,Pavel Vizner,R,183,CZE,30.48596851,Tomas Cibulec,R,180,CZE,22.98151951,Leos Friedl,R,183,CZE,24.01916496,56,1023,61,988,63,954,63,954,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,286,102529,102411,,,102536,102131,,WC,6-2 7-6,3,R16,Thomas Shimada,R,178,JPN,25.91101985,Myles Wakefield,R,196,RSA,26.57357974,James Greenhalgh,R,183,NZL,25.88637919,Alistair Hunt,R,190,NZL,28.15879535,66,936,65,945,272,176,946,15,,,,,,,,,,,,,,,,,,,
2001-306,St. Poelten,Clay,32,A,20010521,300,102664,101866,1,,101761,101490,2,,6-3 5-7 7-5,3,F,Petr Pala,R,193,CZE,25.63449692,David Rikl,L,178,CZE,30.22861054,Jaime Oncins,R,196,BRA,30.92950034,Daniel Orsanic,L,183,ARG,32.94182067,32,1635,6,2985,34,1590,41,1440,,,,,,,,,,,,,,,,,,,
2001-306,St. Poelten,Clay,32,A,20010521,299,102664,101866,1,,101565,102458,,,7-6 7-6,3,SF,Petr Pala,R,193,CZE,25.63449692,David Rikl,L,178,CZE,30.22861054,Marius Barnard,R,188,RSA,32.33127995,Jim Thomas,R,193,USA,26.65571526,32,1635,6,2985,63,1045,73,889,,,,,,,,,,,,,,,,,,,
