tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-M020,Brisbane,Hard,32,A,20180101,269,105573,105188,1,,104919,104547,,,3-6 6-3 (10-2),3,F,Henri Kontinen,R,,FIN,27.53730322,John Peers,R,,AUS,29.43737166,Leonardo Mayer,R,188,ARG,30.63381246,Horacio Zeballos,L,188,ARG,32.68172485,3,8540,4,8540,155,469,38,1813,70,2,5,55,37,30,10,9,1,2,4,1,49,34,25,9,9,1,2
2018-M020,Brisbane,Hard,32,A,20180101,268,105573,105188,1,,105777,105992,,,W/O,3,SF,Henri Kontinen,R,,FIN,27.53730322,John Peers,R,,AUS,29.43737166,Grigor Dimitrov,R,188,BUL,26.63107461,Ryan Harrison,R,183,USA,25.65366188,3,8540,4,8540,553,90,16,3900,,,,,,,,,,,,,,,,,,,
2018-M020,Brisbane,Hard,32,A,20180101,267,104919,104547,,,105323,104677,,,4-6 6-1 (10-6),3,SF,Leonardo Mayer,R,188,ARG,30.63381246,Horacio Zeballos,L,188,ARG,32.68172485,Wesley Koolhof,R,,NED,28.70910335,Artem Sitak,R,,NZL,31.89596167,155,469,38,1813,46,1561,55,1470,80,6,2,57,41,33,8,9,0,1,4,2,57,33,24,9,8,7,9
2018-M020,Brisbane,Hard,32,A,20180101,266,105573,105188,1,,105051,105357,,WC,6-4 6-3,3,QF,Henri Kontinen,R,,FIN,27.53730322,John Peers,R,,AUS,29.43737166,Matthew Ebden,R,188,AUS,30.09993155,John Millman,R,183,AUS,28.55030801,3,8540,4,8540,233,272,227,285,60,7,1,48,36,28,7,9,2,3,3,2,57,43,28,5,10,2,6
2018-M020,Brisbane,Hard,32,A,20180101,265,105777,105992,,,106401,105591,,,7-6(2) 7-6(3),3,QF,Grigor Dimitrov,R,188,BUL,26.63107461,Ryan Harrison,R,183,USA,25.65366188,Nick Kyrgios,R,193,AUS,22.68309377,Matt Reid,R,,AUS,27.46064339,553,90,16,3900,75,1170,97,922,84,13,3,73,51,45,11,12,3,4,11,2,72,43,34,17,12,3,4
2018-M020,Brisbane,Hard,32,A,20180101,264,105323,104677,,,105449,104180,,,7-6(6) 7-5,3,QF,Wesley Koolhof,R,,NED,28.70910335,Artem Sitak,R,,NZL,31.89596167,Steve Johnson,R,188,USA,28.02190281,Gilles Muller,L,193,LUX,34.65023956,46,1561,55,1470,167,420,104,825,88,5,2,67,49,41,12,12,4,4,3,4,72,46,35,13,12,3,4
2018-M020,Brisbane,Hard,32,A,20180101,263,104919,104547,,,105269,105030,2,,7-6(1) 6-7(5) (13-11),3,QF,Leonardo Mayer,R,188,ARG,30.63381246,Horacio Zeballos,L,188,ARG,32.68172485,Marcelo Demoliner,R,,BRA,28.95277207,Michael Venus,R,,NZL,30.21218344,155,469,38,1813,34,1955,15,4065,127,6,2,86,58,49,14,12,3,3,8,4,89,58,43,17,12,3,3
2018-M020,Brisbane,Hard,32,A,20180101,262,105573,105188,1,,105683,133430,,,7-6(3) 6-4,3,R32,Henri Kontinen,R,,FIN,27.53730322,John Peers,R,,AUS,29.43737166,Milos Raonic,R,196,CAN,27.01437372,Denis Shapovalov,L,,CAN,18.71594798,3,8540,4,8540,,,755,52,72,1,2,63,38,31,17,11,6,6,7,1,62,43,35,9,11,3,4
2018-M020,Brisbane,Hard,32,A,20180101,261,105051,105357,,WC,104592,106000,,PR,6-1 6-2,3,R32,Matthew Ebden,R,188,AUS,30.09993155,John Millman,R,183,AUS,28.55030801,Ilija Bozoljac,R,193,SRB,32.41615332,Damir Dzumhur,R,172,BIH,25.61806982,233,272,227,285,335,169,368,150,47,3,0,43,30,21,10,8,3,4,1,2,37,25,10,3,7,1,6
2018-M020,Brisbane,Hard,32,A,20180101,260,106401,105591,,,105428,104693,4,,4-6 6-1 (10-7),3,R32,Nick Kyrgios,R,193,AUS,22.68309377,Matt Reid,R,,AUS,27.46064339,Marcus Daniell,R,190,NZL,28.14510609,Dominic Inglot,R,,GBR,31.82477755,75,1170,97,922,37,1900,51,1505,64,7,2,50,35,30,6,8,1,2,3,5,61,37,27,9,9,7,10
2018-M020,Brisbane,Hard,32,A,20180101,259,105777,105992,,,103720,111442,,WC,6-3 1-6 (10-5),3,R32,Grigor Dimitrov,R,188,BUL,26.63107461,Ryan Harrison,R,183,USA,25.65366188,Lleyton Hewitt,R,180,AUS,36.85147159,Jordan Thompson,R,,AUS,23.70157426,553,90,16,3900,,,88,1025,68,2,2,53,29,22,12,8,5,7,3,1,53,40,25,8,8,2,3
2018-M020,Brisbane,Hard,32,A,20180101,258,105323,104677,,,104600,104802,,,6-3 6-2,3,R32,Wesley Koolhof,R,,NED,28.70910335,Artem Sitak,R,,NZL,31.89596167,Treat Conrad Huey,L,178,PHI,32.3449692,Fabrice Martin,R,,FRA,31.30732375,46,1561,55,1470,65,1285,33,2110,58,4,2,46,29,25,11,9,0,0,1,3,46,30,18,7,8,1,4
2018-M020,Brisbane,Hard,32,A,20180101,257,105449,104180,,,104136,103841,3,,7-6(2) 4-6 (11-9),3,R32,Steve Johnson,R,188,USA,28.02190281,Gilles Muller,L,193,LUX,34.65023956,Santiago Gonzalez,R,190,MEX,34.85284052,Julio Peralta,R,,CHI,36.31211499,167,420,104,825,28,2500,29,2470,99,11,2,67,43,37,15,11,2,4,3,3,82,52,40,11,11,9,10
2018-M020,Brisbane,Hard,32,A,20180101,256,104919,104547,,,106043,104999,,,6-2 6-0,3,R32,Leonardo Mayer,R,188,ARG,30.63381246,Horacio Zeballos,L,188,ARG,32.68172485,Diego Sebastian Schwartzman,R,170,ARG,25.37713895,Mischa Zverev,L,190,GER,30.36276523,155,469,38,1813,148,495,52,1495,52,4,0,40,25,19,9,7,6,6,0,0,40,28,15,0,7,5,10
2018-M020,Brisbane,Hard,32,A,20180101,255,105269,105030,2,,103977,105441,,,4-6 6-3 (10-5),3,R32,Marcelo Demoliner,R,,BRA,28.95277207,Michael Venus,R,,NZL,30.21218344,Nicholas Monroe,R,178,USA,35.72347707,John Patrick Smith,L,,AUS,28.07665982,34,1955,15,4065,30,2325,68,1246,72,5,3,56,37,31,12,10,1,3,0,0,52,41,31,7,9,1,3
2018-0451,Doha,Hard,32,A,20180101,269,103594,106207,2,,104679,103946,1,,6-2 7-6(6),3,F,Oliver Marach,R,185,AUT,37.46201232,Mate Pavic,L,,CRO,24.49555099,Jamie Murray,L,190,GBR,31.88227242,Bruno Soares,R,180,BRA,35.84394251,19,3730,17,3870,9,4980,10,4980,74,4,1,58,40,33,12,10,1,1,3,1,61,43,30,9,10,2,4
2018-0451,Doha,Hard,32,A,20180101,268,104679,103946,1,,103852,104330,3,,6-3 4-6 (10-6),3,SF,Jamie Murray,L,190,GBR,31.88227242,Bruno Soares,R,180,BRA,35.84394251,Feliciano Lopez,L,188,ESP,36.28199863,Rajeev Ram,R,193,USA,33.79055441,9,4980,10,4980,24,3090,22,3250,77,1,2,54,35,25,11,9,1,3,4,2,66,45,26,13,10,6,9
2018-0451,Doha,Hard,32,A,20180101,267,103594,106207,2,,105807,104198,,,6-3 6-4,3,SF,Oliver Marach,R,185,AUT,37.46201232,Mate Pavic,L,,CRO,24.49555099,Pablo Carreno Busta,R,188,ESP,26.47501711,Guillermo Garcia Lopez,R,188,ESP,34.57905544,19,3730,17,3870,44,1625,84,1035,62,6,0,51,32,26,14,10,3,3,0,0,47,35,26,8,9,2,4
2018-0451,Doha,Hard,32,A,20180101,266,104679,103946,1,,106432,105526,,,6-3 6-4,3,QF,Jamie Murray,L,190,GBR,31.88227242,Bruno Soares,R,180,BRA,35.84394251,Borna Coric,R,,CRO,21.13073238,Jan Lennard Struff,R,,GER,27.68788501,9,4980,10,4980,,,190,340,60,3,1,56,43,31,9,10,1,1,1,0,48,35,23,8,9,0,2
